"","V1","Date","Cases_0_10","Cases_11_17","Cases_18_24","Cases_25_34","Cases_35_44","Cases_45_54","Cases_55_64","Cases_65","Cases_Unknown","Deaths_0_10","Deaths_11_17","Deaths_18_24","Deaths_25_34","Deaths_35_44","Deaths_45_54","Deaths_55_64","Deaths_65","Deaths_Unknown","Cases_0_17","Cases_25_44","Cases_45_64","Deaths_0_17","Deaths_25_44","Deaths_45_64","New_Cases_0_10","New_Cases_11_17","New_Cases_18_24","New_Cases_25_34","New_Cases_35_44","New_Cases_45_54","New_Cases_55_64","New_Cases_65","New_Deaths_0_10","New_Deaths_11_17","New_Deaths_18_24","New_Deaths_25_34","New_Deaths_35_44","New_Deaths_45_54","New_Deaths_55_64","New_Deaths_65","New_Cases_0_17","New_Cases_25_44","New_Cases_45_64","New_Deaths_0_17","New_Deaths_25_44","New_Deaths_45_64"
"1:55","1:54","2021-08-12",27548,35067,53024,68393,63828,57641,49760,57889,NA,NA,NA,12,51,137,323,838,5032,NA,NA,NA,NA,3,NA,NA,390,179,245,375,369,297,241,222,NA,NA,0,0,2,3,8,17,NA,NA,NA,0,NA,NA
"1:56","1:55","2021-08-11",27158,34888,52779,68018,63459,57344,49519,57667,NA,NA,NA,12,51,135,320,830,5015,NA,NA,NA,NA,3,NA,NA,335,235,367,522,470,380,290,341,NA,NA,0,0,0,2,4,14,NA,NA,NA,0,NA,NA
"1:57","1:56","2021-08-10",26823,34653,52412,67496,62989,56964,49229,57326,NA,NA,NA,12,51,135,318,826,5001,NA,NA,NA,NA,3,NA,NA,231,190,311,501,449,361,287,290,NA,NA,0,1,3,4,6,10,NA,NA,NA,0,NA,NA
"1:58","1:57","2021-08-09",26592,34463,52101,66995,62540,56603,48942,57036,NA,NA,NA,12,50,132,314,820,4991,NA,NA,NA,NA,3,NA,NA,103,73,125,209,146,119,99,121,NA,NA,0,1,2,3,1,14,NA,NA,NA,0,NA,NA
"1:59","1:58","2021-08-08",26489,34390,51976,66786,62394,56484,48843,56915,NA,NA,NA,12,49,130,311,819,4977,NA,NA,NA,NA,3,NA,NA,125,100,189,256,219,169,162,149,NA,NA,0,1,0,2,2,6,NA,NA,NA,0,NA,NA
"1:60","1:59","2021-08-07",26364,34290,51787,66530,62175,56315,48681,56766,NA,NA,NA,12,48,130,309,817,4971,NA,NA,NA,NA,3,NA,NA,301,189,312,463,403,331,295,339,NA,NA,1,0,2,2,6,10,NA,NA,NA,0,NA,NA
"1:61","1:60","2021-08-06",26063,34101,51475,66067,61772,55984,48386,56427,NA,NA,NA,11,48,128,307,811,4961,NA,NA,NA,NA,3,NA,NA,112,270,421,622,502,416,354,340,NA,NA,0,0,1,1,5,14,NA,NA,NA,3,NA,NA
"1:62","1:61","2021-08-05",25951,33831,51054,65445,61270,55568,48032,56087,NA,2,NA,11,48,127,306,806,4947,NA,NA,NA,NA,NA,NA,NA,419,232,303,453,425,341,268,336,0,NA,0,1,2,3,2,9,NA,NA,NA,NA,NA,NA
"1:63","1:62","2021-08-04",25532,33599,50751,64992,60845,55227,47764,55751,NA,2,NA,11,47,125,303,804,4938,NA,NA,NA,NA,NA,NA,NA,411,208,329,527,454,372,302,235,0,NA,0,0,1,1,3,10,NA,NA,NA,NA,NA,NA
"1:64","1:63","2021-08-03",25121,33391,50422,64465,60391,54855,47462,55516,NA,2,NA,11,47,124,302,801,4928,NA,NA,NA,NA,NA,NA,NA,227,226,265,427,379,295,245,279,0,NA,0,1,0,4,4,7,NA,NA,NA,NA,NA,NA
"1:65","1:64","2021-08-02",24894,33165,50157,64038,60012,54560,47217,55237,NA,2,NA,11,46,124,298,797,4921,NA,NA,NA,NA,NA,NA,NA,93,55,114,162,141,104,88,87,0,NA,0,0,2,6,11,23,NA,NA,NA,NA,NA,NA
"1:66","1:65","2021-08-01",24801,33110,50043,63876,59871,54456,47129,55150,NA,2,NA,11,46,122,292,786,4898,NA,NA,NA,NA,NA,NA,NA,184,156,233,412,322,251,216,210,0,NA,0,0,0,1,7,8,NA,NA,NA,NA,NA,NA
"1:67","1:66","2021-07-31",24617,32954,49810,63464,59549,54205,46913,54940,NA,2,NA,11,46,122,291,779,4890,NA,NA,NA,NA,NA,NA,NA,-29,128,193,286,234,181,165,181,0,NA,0,2,0,0,2,14,NA,NA,NA,NA,NA,NA
"1:68","1:67","2021-07-30",24646,32826,49617,63178,59315,54024,46748,54759,NA,2,NA,11,44,122,291,777,4876,NA,NA,NA,NA,NA,NA,NA,443,203,290,467,389,297,210,245,0,NA,0,0,0,3,2,8,NA,NA,NA,NA,NA,NA
"1:69","1:68","2021-07-29",24203,32623,49327,62711,58926,53727,46538,54514,NA,2,NA,11,44,122,288,775,4868,NA,NA,NA,NA,NA,NA,NA,259,230,349,567,448,355,339,296,0,NA,0,0,-2,1,4,8,NA,NA,NA,NA,NA,NA
"1:70","1:69","2021-07-28",23944,32393,48978,62144,58478,53372,46199,54218,NA,2,NA,11,44,124,287,771,4860,NA,NA,NA,NA,NA,NA,NA,219,179,233,296,256,195,152,173,0,NA,0,0,0,1,5,6,NA,NA,NA,NA,NA,NA
"1:71","1:70","2021-07-27",23725,32214,48745,61848,58222,53177,46047,54045,NA,2,NA,11,44,124,286,766,4854,NA,NA,NA,NA,NA,NA,NA,184,155,250,377,369,271,239,207,0,NA,0,0,0,0,2,8,NA,NA,NA,NA,NA,NA
"1:72","1:71","2021-07-26",23541,32059,48495,61471,57853,52906,45808,53838,NA,2,NA,11,44,124,286,764,4846,NA,NA,NA,NA,NA,NA,NA,83,71,72,117,102,61,63,52,0,NA,0,1,2,3,5,12,NA,NA,NA,NA,NA,NA
"1:73","1:72","2021-07-25",23458,31988,48423,61354,57751,52845,45745,53786,NA,2,NA,11,43,122,283,759,4834,NA,NA,NA,NA,NA,NA,NA,92,78,107,230,161,113,105,136,0,NA,0,0,2,1,0,3,NA,NA,NA,NA,NA,NA
"1:74","1:73","2021-07-24",23366,31910,48316,61124,57590,52732,45640,53650,NA,2,NA,11,43,120,282,759,4831,NA,NA,NA,NA,NA,NA,NA,156,175,270,365,336,273,227,213,0,NA,0,0,0,1,2,4,NA,NA,NA,NA,NA,NA
"1:75","1:74","2021-07-23",23210,31735,48046,60759,57254,52459,45413,53437,NA,2,NA,11,43,120,281,757,4827,NA,NA,NA,NA,NA,NA,NA,240,193,235,398,301,249,184,187,1,NA,0,0,0,0,2,3,NA,NA,NA,NA,NA,NA
"1:76","1:75","2021-07-22",22970,31542,47811,60361,56953,52210,45229,53250,NA,1,NA,11,43,120,281,755,4824,NA,NA,NA,NA,NA,NA,NA,118,162,272,339,289,278,192,210,1,NA,1,0,0,2,7,4,NA,NA,NA,NA,NA,NA
"1:77","1:76","2021-07-21",22852,31380,47539,60022,56664,51932,45037,53040,NA,0,0,10,43,120,279,748,4820,NA,NA,NA,NA,NA,NA,NA,214,139,195,236,214,197,147,117,0,0,0,0,2,1,3,7,NA,NA,NA,NA,NA,NA
"1:78","1:77","2021-07-20",22638,31241,47344,59786,56450,51735,44890,52923,NA,0,0,10,43,118,278,745,4813,NA,NA,NA,NA,NA,NA,NA,-72,148,258,337,313,248,238,405,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"1:79","1:78","2021-07-19",22710,31093,47086,59449,56137,51487,44652,52518,0,0,0,10,43,118,278,745,4813,0,NA,NA,NA,NA,NA,NA,204,211,381,484,394,318,277,283,0,0,0,1,2,0,4,8,NA,NA,NA,NA,NA,NA
"1:80","1:79","2021-07-16",22506,30882,46705,58965,55743,51169,44375,52235,NA,0,0,10,42,116,278,741,4805,NA,NA,NA,NA,NA,NA,NA,397,198,316,456,346,292,249,68,0,0,0,2,1,0,5,7,NA,NA,NA,NA,NA,NA
"1:81","1:80","2021-07-15",22109,30684,46389,58509,55397,50877,44126,52167,NA,0,0,10,40,115,278,736,4798,NA,NA,NA,NA,NA,NA,NA,-274,134,210,334,284,220,198,203,0,0,0,0,0,1,4,2,NA,NA,NA,NA,NA,NA
"1:82","1:81","2021-07-13",22383,30550,46179,58175,55113,50657,43928,51964,NA,0,0,10,40,115,277,732,4796,NA,NA,NA,NA,NA,NA,NA,254,247,495,635,537,438,350,533,0,0,0,0,1,0,5,16,NA,NA,NA,NA,NA,NA
"1:83","1:82","2021-07-12",22129,30303,45684,57540,54576,50219,43578,51431,0,0,0,10,40,114,277,727,4780,0,NA,NA,NA,NA,NA,NA,332,61,114,191,159,119,85,94,0,0,0,0,0,1,0,3,NA,NA,NA,NA,NA,NA
"1:84","1:83","2021-07-08",21797,30242,45570,57349,54417,50100,43493,51337,0,0,0,10,40,114,276,727,4777,0,NA,NA,NA,NA,NA,NA,64,75,163,232,226,161,142,147,0,0,0,1,0,2,5,3,NA,NA,NA,NA,NA,NA
"1:85","1:84","2021-07-07",21733,30167,45407,57117,54191,49939,43351,51190,0,0,0,10,39,114,274,722,4774,0,NA,NA,NA,NA,NA,NA,86,84,139,187,159,122,105,118,0,0,0,0,0,1,1,5,NA,NA,NA,NA,NA,NA
"1:86","1:85","2021-07-06",21647,30083,45268,56930,54032,49817,43246,51072,0,0,0,10,39,114,273,721,4769,0,NA,NA,NA,NA,NA,NA,16,22,18,51,56,42,28,37,0,0,0,0,1,0,1,4,NA,NA,NA,NA,NA,NA
"1:87","1:86","2021-07-05",21631,30061,45250,56879,53976,49775,43218,51035,0,0,0,10,39,113,273,720,4765,0,NA,NA,NA,NA,NA,NA,99,105,156,237,198,160,139,152,0,0,0,2,0,0,3,2,NA,NA,NA,NA,NA,NA
