"","county_nam","mydate","deaths","fhwa_numbe","fips","positive","negative","recoveries","total_tests","active_cases","pop_5yr_est_2018","confirmed_pos","probable_pos","confirmed_neg","probable_neg","confirmed_recov","probable_recov","confirmed_death","probable_death","confirmed_active","probable_active","pcr_test","antigen_test","pcr_pos_test","pcr_neg_test","antigen_pos_test","antigen_neg_test","total_pos_test","total_neg_test","New_Cases_Today","Recovered_Since_Yesterday","New_Deaths_Today","New_Tests_Dashboard","Cases_Population","Tested_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","lab_prvt","lab_pub"
"1","Arkansas",2020-10-01,10,1,1,432,6137,359,6579,63,18124,404,28,5899,238,339,20,9,1,56,7,6303,276,404,5899,38,238,442,6137,6,5,1,103,2.383579784,36.24475833,3.310527477,30.89825646,6.576343431,5.825242718,369,2.7100271,97.2899729,5288,1281
"2","Arkansas_all_counties",2020-10-01,1384,5630,5630,84821,969560,76186,1054699,7244,2990671,81531,3290,961085,8475,73734,2452,1238,146,6552,692,1042616,12083,81531,961085,3608,8475,85139,969560,1124,874,15,13260,2.836186261,35.2556667,3.758353894,21.90812697,8.044625235,8.476621418,77570,1.784194921,98.21580508,855742,198639
"3","Ashley",2020-10-01,11,3,3,443,5233,411,5678,21,20537,437,6,5208,25,407,4,11,0,19,2,5645,33,437,5208,8,25,445,5233,7,1,1,56,2.157082339,27.6379218,3.408482252,9.251594683,7.804792107,12.5,422,2.606635071,97.39336493,4951,725
"4","Baxter",2020-10-01,2,5,5,383,4169,310,4553,71,41219,337,46,4152,17,279,31,2,0,56,15,4489,64,337,4152,47,17,384,4169,17,5,0,73,0.929183144,11.04345084,4.124311604,13.58596764,8.413884007,23.28767123,312,0.641025641,99.35897436,2784,1768
"5","Benton",2020-10-01,93,7,7,6767,73192,6277,79994,396,258980,6519,248,72734,458,6089,188,76,17,353,43,79253,741,6519,72734,283,458,6802,73192,68,44,0,777,2.612943084,30.87458491,2.625685381,13.63039617,8.463087332,8.751608752,6370,1.459968603,98.5400314,70890,9069
"6","Boone",2020-10-01,14,9,9,774,10683,643,11457,117,37288,714,60,10668,15,608,35,12,2,94,23,11382,75,714,10668,60,15,774,10683,22,12,1,362,2.075734821,30.72570264,5.900021455,25.20918258,6.755695208,6.077348066,657,2.130898021,97.86910198,9354,2103
"7","Bradley",2020-10-01,8,11,11,344,3563,327,3906,9,10948,342,2,3558,5,326,1,7,1,9,0,3900,6,342,3558,1,5,343,3563,2,2,0,26,3.142126416,35.68688345,1.826817684,8.220679576,8.804709496,7.692307692,335,2.388059701,97.6119403,2581,1326
"8","Calhoun",2020-10-01,0,13,13,36,1728,34,1764,2,5202,35,1,1723,5,33,1,0,0,2,0,1758,6,35,1723,1,5,36,1728,0,0,0,17,0.692041522,33.9100346,0,3.844675125,2.040816327,0,34,0,100,1570,194
"9","Carroll",2020-10-01,10,15,15,725,7322,622,8051,93,27887,714,11,7318,4,615,7,10,0,89,4,8032,19,714,7318,15,4,729,7322,15,13,0,67,2.599777674,28.85573923,5.37885036,31.91451214,9.009568783,22.3880597,632,1.582278481,98.41772152,5705,2342
"10","Chicot",2020-10-01,22,17,17,1009,4956,980,5966,7,10826,1000,9,4939,17,972,8,21,1,7,0,5939,27,1000,4939,10,17,1010,4956,2,2,0,32,9.320155182,55.09883614,1.847404397,6.465915389,16.91533948,6.25,1002,2.195608782,97.80439122,4010,1955
"11","Clark",2020-10-01,4,19,19,367,6463,317,6830,46,22385,347,20,6418,45,305,12,4,0,38,8,6765,65,347,6418,20,45,367,6463,10,2,0,82,1.63949073,30.51150324,4.467277195,16.97565334,5.373352855,12.19512195,321,1.246105919,98.75389408,5586,1244
"12","Clay",2020-10-01,8,21,21,324,4328,259,4652,56,15061,309,15,4322,6,253,6,6,2,49,7,4631,21,309,4322,15,6,324,4328,10,1,0,48,2.151251577,30.88772326,6.639665361,32.53436027,6.964746346,20.83333333,267,2.996254682,97.00374532,4129,523
"13","Cleburne",2020-10-01,9,23,23,343,6613,313,6957,21,25230,325,18,6521,92,298,15,9,0,18,3,6846,111,325,6521,19,92,344,6613,5,1,0,68,1.359492667,27.57035275,1.981767737,7.134363853,4.930994825,7.352941176,322,2.795031056,97.20496894,6394,562
"14","Cleveland",2020-10-01,12,25,25,187,2731,169,2918,6,8226,184,3,2701,30,167,2,11,1,6,0,2885,33,184,2701,3,30,187,2731,1,1,0,54,2.273279844,35.47289083,1.215657671,7.293946025,6.408498972,1.851851852,181,6.629834254,93.37016575,1881,1037
"15","Columbia",2020-10-01,18,27,27,520,5065,400,5596,102,23892,480,40,5033,32,385,15,18,0,77,25,5513,83,480,5033,51,32,531,5065,20,13,0,53,2.17646074,23.37602545,8.371002846,32.22836096,9.310653536,37.73584906,418,4.306220096,95.6937799,3923,1662
"16","Conway",2020-10-01,3,29,29,279,6462,253,6741,23,20906,269,10,6394,68,246,7,3,0,20,3,6663,78,269,6394,10,68,279,6462,6,2,0,109,1.334545107,32.24433177,2.869989477,9.566631589,4.138851802,5.504587156,256,1.171875,98.828125,5167,1574
"17","Craighead",2020-10-01,23,31,31,3124,33373,2710,36504,390,105701,3033,91,33282,91,2644,66,20,3,368,22,36315,189,3033,33282,98,91,3131,33373,48,77,1,364,2.95550657,34.52852859,4.541111248,34.81518623,8.559607639,13.18681319,2733,0.841566045,99.15843396,32967,3530
"18","Crawford",2020-10-01,16,33,33,1503,20471,1278,21974,209,62472,1462,41,20461,10,1244,34,13,3,205,4,21923,51,1462,20461,41,10,1503,20471,38,22,0,343,2.405877833,35.17415802,6.082725061,32.81470099,6.839901702,11.0787172,1294,1.236476043,98.76352396,19446,2528
"19","Crittenden",2020-10-01,46,35,35,1983,13696,1875,15669,62,49013,1963,20,13688,8,1862,13,39,7,62,0,15651,18,1963,13688,10,8,1973,13696,13,11,0,43,4.045865383,31.98947218,2.652357538,12.64970518,12.64749027,30.23255814,1921,2.394586153,97.60541385,13583,2096
"20","Cross",2020-10-01,13,37,37,461,4917,408,5373,40,16998,442,19,4894,23,397,11,11,2,34,6,5336,37,442,4894,14,23,456,4917,8,3,0,29,2.712083775,31.63901635,4.706436051,20.00235322,8.571959836,27.5862069,421,3.087885986,96.91211401,4537,841
"21","Dallas",2020-10-01,5,39,39,167,1988,153,2155,9,7432,165,2,1979,9,152,1,5,0,8,1,2144,11,165,1979,2,9,167,1988,1,1,0,28,2.247039828,28.99623251,1.345532831,10.76426265,7.749419954,3.571428571,158,3.164556962,96.83544304,1565,590
"22","Desha",2020-10-01,6,41,41,307,3985,273,4291,28,11887,303,4,3953,32,270,3,6,0,27,1,4256,35,303,3953,3,32,306,3985,7,2,0,50,2.582653319,36.10667115,5.888786069,22.71388912,7.152842498,14,279,2.150537634,97.84946237,3639,653
"23","Drew",2020-10-01,7,43,43,359,5836,341,6198,11,18502,347,12,5787,49,331,10,6,1,10,1,6134,64,347,5787,15,49,362,5836,0,0,0,67,1.940330775,33.48286672,0,5.4048211,5.794995964,0,348,2.011494253,97.98850575,5239,956
"24","Faulkner",2020-10-01,20,45,45,2596,37632,2293,40243,283,122416,2492,104,36942,690,2205,88,17,3,270,13,39434,809,2492,36942,119,690,2611,37632,30,27,0,383,2.120637825,32.86171742,2.450660044,22.0559404,6.453216665,7.832898172,2313,0.864677907,99.13532209,32078,8150
"25","Franklin",2020-10-01,2,47,47,304,6437,258,6742,44,17780,292,12,6428,9,248,10,2,0,42,2,6720,22,292,6428,13,9,305,6437,11,8,0,126,1.709786277,37.91338583,6.186726659,23.62204724,4.509716659,8.73015873,260,0.769230769,99.23076923,5409,1332
"26","Fulton",2020-10-01,4,49,49,186,1329,130,1517,52,12139,166,20,1328,1,120,10,3,1,43,9,1494,23,166,1328,22,1,188,1329,9,5,0,28,1.532251421,12.48043496,7.414119779,35.42301672,12.27722772,32.14285714,134,2.985074627,97.01492537,1104,411
"27","Garland",2020-10-01,53,51,51,1977,31357,1748,33335,176,98296,1947,30,31265,92,1730,18,48,5,169,7,33212,123,1947,31265,31,92,1978,31357,28,26,0,659,2.011272076,33.91185806,2.848539106,17.19296818,5.930881382,4.248861912,1801,2.94280955,97.05719045,26416,6918
"28","Grant",2020-10-01,2,53,53,274,5177,249,5457,23,18086,264,10,5123,54,240,9,2,0,22,1,5387,70,264,5123,16,54,280,5177,2,6,0,73,1.514983965,30.13933429,1.105827712,12.16410483,5.026600624,2.739726027,251,0.796812749,99.20318725,4482,969
"29","Greene",2020-10-01,11,55,55,928,14050,818,14979,99,44623,891,37,13948,102,789,29,11,0,91,8,14839,140,891,13948,38,102,929,14050,19,19,1,166,2.079645026,33.56565,4.257893911,20.39307084,6.195753772,11.44578313,829,1.326899879,98.67310012,12792,2186
"30","Hempstead",2020-10-01,4,57,57,393,4959,355,5353,34,22018,374,19,4934,25,348,7,4,0,22,12,5308,45,374,4934,20,25,394,4959,11,2,0,51,1.784903261,24.30738487,4.995912435,9.991824871,7.343049327,21.56862745,359,1.114206128,98.88579387,4028,1324
"31","HotSpring",2020-10-01,27,59,59,1928,13043,1837,14974,64,33520,1917,11,13004,39,1830,7,25,2,62,2,14921,53,1917,13004,14,39,1931,13043,7,3,0,94,5.751789976,44.66288783,2.088305489,18.49642005,12.87823125,7.446808511,1864,1.448497854,98.55150215,8738,6233
"32","Howard",2020-10-01,12,61,61,493,3795,459,4290,22,13389,468,25,3764,31,444,15,12,0,12,10,4232,58,468,3764,27,31,495,3795,8,3,0,41,3.682127119,32.02629024,5.975054149,8.962581223,11.49720149,19.51219512,471,2.547770701,97.4522293,3165,1123
"33","Independence",2020-10-01,21,63,63,1162,11534,1055,12704,86,37264,1026,136,11480,54,948,107,20,1,58,28,12506,198,1026,11480,144,54,1170,11534,14,20,0,104,3.118291112,34.07041649,3.756977243,15.56462001,9.152488973,13.46153846,1076,1.951672862,98.04832714,10570,2126
"34","Izard",2020-10-01,0,65,65,260,3502,161,3770,99,13559,245,15,3490,12,150,11,0,0,95,4,3735,35,245,3490,23,12,268,3502,7,7,0,28,1.917545542,27.74540895,5.162622612,70.06416402,6.911217438,25,161,0,100,1903,1859
"35","Jackson",2020-10-01,1,67,67,380,6249,314,6644,65,17225,287,93,6238,11,256,58,1,0,30,35,6525,119,287,6238,108,11,395,6249,21,14,0,92,2.206095791,38.48476052,12.191582,17.41654572,5.732387992,22.82608696,315,0.317460317,99.68253968,1592,5037
"36","Jefferson",2020-10-01,80,69,69,3413,29783,2818,33206,514,70424,3357,56,29607,176,2781,37,72,8,503,11,32964,242,3357,29607,66,176,3423,29783,20,55,1,383,4.846359196,47.13733954,2.839940929,71.42451437,10.2813592,5.221932115,2898,2.7605245,97.2394755,19302,13894
"37","Johnson",2020-10-01,7,71,71,866,7951,819,8820,40,26291,859,7,7924,27,817,2,7,0,35,5,8783,37,859,7924,10,27,869,7951,7,6,0,44,3.293902856,33.53619109,2.662508083,13.31254041,9.821934898,15.90909091,826,0.847457627,99.15254237,6402,2415
"38","Lafayette",2020-10-01,2,73,73,118,1129,95,1249,21,6915,113,5,1127,2,93,2,2,0,18,3,1240,9,113,1127,7,2,120,1129,1,1,0,10,1.706435286,18.03326103,1.446131598,26.03036876,9.462710505,10,97,2.06185567,97.93814433,959,288
"39","Lawrence",2020-10-01,12,75,75,471,4437,382,4911,77,16669,430,41,4424,13,344,38,12,0,74,3,4854,57,430,4424,44,13,474,4437,10,9,0,143,2.825604415,29.44387786,5.999160118,44.39378487,9.596577017,6.993006993,394,3.045685279,96.95431472,4057,851
"40","Lee",2020-10-01,18,77,77,1068,4014,1035,5083,15,9398,1065,3,4009,5,1033,2,17,1,15,0,5074,9,1065,4009,4,5,1069,4014,3,2,0,12,11.36412003,54.07533518,3.192168546,15.96084273,21.01534829,25,1053,1.709401709,98.29059829,2909,2173
"41","Lincoln",2020-10-01,15,79,79,2026,6822,1819,8857,192,13695,2018,8,6804,18,1816,3,14,1,188,4,8822,35,2018,6804,17,18,2035,6822,1,16,0,18,14.79372034,64.60752099,0.730193501,137.2763782,22.89783002,5.555555556,1834,0.817884406,99.18211559,3488,5360
"42","LittleRiver",2020-10-01,26,81,81,366,1788,327,2145,13,12417,347,19,1771,17,314,13,21,5,12,1,2118,27,347,1771,10,17,357,1788,4,2,0,13,2.947571877,17.34718531,3.22139003,9.664170089,16.99164345,30.76923077,353,7.365439093,92.63456091,1765,389
"43","Logan",2020-10-01,1,83,83,425,7425,392,7851,32,21757,424,1,7415,10,391,1,1,0,32,0,7839,12,424,7415,2,10,426,7425,4,2,0,167,1.95339431,36.08034196,1.838488762,14.7079101,5.414012739,2.395209581,393,0.254452926,99.74554707,6180,1670
"44","Lonoke",2020-10-01,17,85,85,1263,20013,1052,21325,194,72206,1118,145,19021,992,927,125,16,1,175,19,20139,1186,1118,19021,194,992,1312,20013,33,19,0,493,1.749162119,29.46569537,4.570257319,24.23621306,5.936266215,6.693711968,1069,1.590271282,98.40972872,16694,4582
"45","Madison",2020-10-01,3,87,87,370,4102,336,4474,31,16076,355,15,4088,14,326,10,3,0,26,5,4443,31,355,4088,17,14,372,4102,5,2,0,35,2.301567554,27.81786514,3.110226424,16.17317741,8.273703041,14.28571429,339,0.884955752,99.11504425,4073,399
"46","Marion",2020-10-01,0,89,89,105,2381,84,2486,21,16438,100,5,2374,7,79,5,0,0,21,0,2474,12,100,2374,5,7,105,2381,3,-1,0,33,0.63876384,15.12349434,1.825039543,12.7752768,4.223652454,9.090909091,84,0,100,1854,632
"47","Miller",2020-10-01,11,91,91,867,6546,804,7412,52,43759,816,51,6477,69,756,48,10,1,50,2,7293,119,816,6477,50,69,866,6546,10,11,0,54,1.981306703,16.94051509,2.285244178,11.42622089,11.69566977,18.51851852,815,1.349693252,98.65030675,5126,2287
"48","MissingCountyInfo",2020-10-01,0,5,5,1970,59777,1464,61745,506,NA,1767,203,59776,1,1332,132,0,0,435,71,61543,202,1767,59776,201,1,1968,59777,59,36,0,2278,NA,NA,NA,NA,3.190438402,2.58999122,1464,0,100,61499,248
"49","Mississippi",2020-10-01,51,93,93,1728,11742,1583,13457,94,42831,1692,36,11726,16,1566,17,40,11,86,8,13418,39,1692,11726,23,16,1715,11742,20,17,0,102,4.034461021,31.449184,4.669515071,20.0789148,12.8285078,19.60784314,1634,3.121175031,96.87882497,10103,3367
"50","Monroe",2020-10-01,0,95,95,139,2263,118,2402,21,7249,137,2,2249,14,117,1,0,0,20,1,2386,16,137,2249,2,14,139,2263,4,6,0,18,1.917505863,33.13560491,5.518002483,27.59001242,5.786844296,22.22222222,118,0,100,1991,411
"51","Montgomery",2020-10-01,6,97,97,160,2271,133,2431,21,8993,159,1,2254,17,132,1,6,0,21,0,2413,18,159,2254,1,17,160,2271,5,1,0,35,1.77916157,27.03213611,5.559879907,23.35149561,6.58165364,14.28571429,139,4.316546763,95.68345324,1521,910
"52","Nevada",2020-10-01,13,99,99,226,3296,198,3519,15,8440,216,10,3285,11,191,7,12,1,13,2,3501,18,216,3285,7,11,223,3296,2,3,0,20,2.677725118,41.72985782,2.369668246,15.4028436,6.416808631,10,211,6.161137441,93.83886256,2810,712
"53","Newton",2020-10-01,19,101,101,250,1766,202,2011,29,7848,235,15,1765,1,195,7,16,3,24,5,2000,11,235,1765,10,1,245,1766,2,2,0,23,3.185524975,25.68807339,2.54841998,30.58103976,12.40079365,8.695652174,221,8.597285068,91.40271493,1475,541
"54","Ouachita",2020-10-01,6,103,103,270,5685,241,5961,23,24106,263,7,5658,27,235,6,6,0,22,1,5921,40,263,5658,13,27,276,5685,1,2,0,79,1.120053099,24.70339335,0.414834481,9.126358583,4.534005038,1.265822785,247,2.429149798,97.5708502,4882,1073
"55","Perry",2020-10-01,0,105,105,90,3251,82,3341,8,10322,86,4,3191,60,78,4,0,0,8,0,3277,64,86,3191,4,60,90,3251,1,0,0,81,0.871924046,32.36775819,0.968804495,7.750435962,2.69380425,1.234567901,82,0,100,2433,908
"56","Phillips",2020-10-01,13,107,107,529,6728,460,7260,56,19034,523,6,6698,30,458,2,13,0,52,4,7221,39,523,6698,9,30,532,6728,14,4,1,53,2.779237155,38.12651045,7.35525901,27.31953347,7.289513573,26.41509434,473,2.748414376,97.25158562,4808,2449
"57","Pike",2020-10-01,3,109,109,234,2284,219,2517,12,10808,231,3,2263,21,218,1,2,1,11,1,2494,23,231,2263,2,21,233,2284,0,2,0,43,2.165062916,23.29755736,0,10.17764619,9.293089754,0,222,1.351351351,98.64864865,2071,447
"58","Poinsett",2020-10-01,14,111,111,693,7720,612,8408,67,24054,668,25,7708,12,598,14,13,1,57,10,8376,32,668,7708,20,12,688,7720,18,11,0,76,2.88101771,34.97547185,7.483162884,23.69668246,8.237251872,23.68421053,626,2.236421725,97.76357827,6696,1717
"59","Polk",2020-10-01,4,113,113,272,4522,252,4795,16,20163,270,2,4517,5,251,1,4,0,15,1,4787,8,270,4517,3,5,273,4522,4,3,0,45,1.349005604,23.77622378,1.983831771,7.439369141,5.673758865,8.888888889,256,1.5625,98.4375,3606,1188
"60","Pope",2020-10-01,33,115,115,2180,22424,2025,24595,122,63644,2154,26,22282,142,2011,14,29,4,114,8,24436,159,2154,22282,17,142,2171,22424,14,9,0,252,3.425303249,38.65878952,2.199736032,17.91213626,8.860347911,5.555555556,2058,1.603498542,98.39650146,21597,3007
"61","Prairie",2020-10-01,2,117,117,158,2128,135,2288,21,8244,151,7,2096,32,130,5,2,0,19,2,2247,41,151,2096,9,32,160,2128,4,1,0,52,1.916545366,27.72925764,4.852013586,23.04706453,6.911636045,7.692307692,137,1.459854015,98.54014599,1815,471
"62","Pulaski",2020-10-01,154,119,119,9612,133739,8749,143418,708,393463,9291,321,131953,1786,8480,269,141,13,669,39,141244,2174,9291,131953,388,1786,9679,133739,103,67,1,1084,2.442923477,36.4331589,2.617781087,17.00286939,6.705220054,9.501845018,8903,1.729754016,98.27024598,115882,27469
"63","Randolph",2020-10-01,22,121,121,448,4970,378,5424,48,17603,401,47,4918,52,349,29,18,4,34,14,5319,105,401,4918,53,52,454,4970,6,6,0,90,2.545020735,30.77884452,3.408509913,19.31488951,8.26873385,6.666666667,400,5.5,94.5,4462,956
"64","Saline",2020-10-01,23,125,125,2197,31010,1967,33220,206,118009,2101,96,30544,466,1888,79,21,2,191,15,32645,575,2101,30544,109,466,2210,31010,67,15,0,409,1.861722411,28.1393792,5.67753307,16.18520621,6.616074924,16.38141809,1990,1.155778894,98.84422111,25835,7372
"65","Scott",2020-10-01,1,127,127,111,2782,94,2893,16,10442,110,1,2782,0,94,0,1,0,15,1,2892,1,110,2782,1,0,111,2782,5,0,0,121,1.063014748,27.70542042,4.788354721,14.36506416,3.836847563,4.132231405,95,1.052631579,98.94736842,2574,319
"66","Searcy",2020-10-01,1,129,129,151,2083,142,2233,8,7923,145,6,2065,18,138,4,1,0,6,2,2210,23,145,2065,5,18,150,2083,3,-1,0,17,1.905843746,28.19639026,3.786444529,7.572889057,6.759176365,17.64705882,143,0.699300699,99.3006993,1894,340
"67","Sebastian",2020-10-01,61,131,131,3856,45962,3465,49819,329,127461,3803,53,45950,12,3432,33,53,8,317,12,49753,66,3803,45950,54,12,3857,45962,44,56,0,683,3.025239093,39.08489656,3.452036309,24.8703525,7.740174234,6.442166911,3526,1.730005672,98.26999433,45393,4425
"68","Sevier",2020-10-01,18,133,133,1208,6628,1181,7834,9,17193,1193,15,6571,57,1168,13,18,0,7,2,7764,70,1193,6571,13,57,1206,6628,1,0,0,19,7.026115279,45.57668819,0.58163206,4.071424417,15.41602859,5.263157895,1199,1.501251043,98.49874896,7316,520
"69","Sharp",2020-10-01,6,135,135,242,4018,201,4260,35,17043,224,18,4010,8,188,13,6,0,30,5,4234,26,224,4010,18,8,242,4018,3,-1,0,44,1.419937804,24.99559937,1.760253477,17.60253477,5.680751174,6.818181818,207,2.898550725,97.10144928,3574,686
"70","St.Francis",2020-10-01,6,123,123,1547,12298,1452,13846,89,26294,1545,2,12290,8,1452,0,6,0,87,2,13835,11,1545,12290,3,8,1548,12298,5,33,0,28,5.883471514,52.65459801,1.901574504,33.08739636,11.17370892,17.85714286,1458,0.411522634,99.58847737,11134,2711
"71","Stone",2020-10-01,13,137,137,367,3424,302,3794,52,12446,360,7,3412,12,296,6,13,0,51,1,3772,22,360,3412,10,12,370,3424,2,5,0,38,2.948738551,30.45958541,1.606941989,40.97702073,9.680823002,5.263157895,315,4.126984127,95.87301587,2458,1333
"72","Union",2020-10-01,46,139,139,924,9326,838,10251,40,39732,889,35,9250,76,821,17,41,5,27,13,10139,112,889,9250,36,76,925,9326,13,5,6,152,2.325581395,25.79784557,3.271921877,6.795530051,9.014634146,8.552631579,884,5.20361991,94.79638009,7942,2308
"73","VanBuren",2020-10-01,3,141,141,178,4166,167,4349,8,16684,175,3,4107,59,164,3,3,0,8,0,4282,67,175,4107,8,59,183,4166,2,0,0,48,1.066890434,26.0369216,1.198753297,4.795013186,4.097605893,4.166666667,170,1.764705882,98.23529412,3734,610
"74","Washington",2020-10-01,118,143,143,9763,77293,9125,87103,520,228529,9109,654,75976,1317,8579,546,102,16,428,92,85085,2018,9109,75976,701,1317,9810,77293,118,74,0,875,4.27210551,38.09407121,5.163458467,18.72847647,11.21462047,13.48571429,9243,1.276641783,98.72335822,71987,15069
"75","White",2020-10-01,29,145,145,925,15824,785,16763,111,78804,829,96,15416,408,712,73,25,4,92,19,16245,518,829,15416,110,408,939,15824,27,26,0,206,1.173798284,21.25399726,3.426222019,11.67453429,5.522717774,13.10679612,814,3.562653563,96.43734644,12573,4176
"76","Woodruff",2020-10-01,0,147,147,57,1703,49,1761,8,6660,50,7,1693,10,43,6,0,0,7,1,1743,18,50,1693,8,10,58,1703,2,3,0,6,0.855855856,26.42642643,3.003003003,10.51051051,3.238636364,33.33333333,49,0,100,1526,234
"77","Yell",2020-10-01,30,149,149,1260,10111,1215,11368,15,21573,1252,8,10063,48,1211,4,27,3,14,1,11315,53,1252,10063,5,48,1257,10111,1,5,1,182,5.840634126,52.70940528,0.463542391,6.489593473,11.08081963,0.549450549,1245,2.409638554,97.59036145,9876,1495
"78","Arkansas",2020-09-30,9,1,1,426,6040,354,6475,63,18124,400,26,5802,238,336,18,8,1,56,7,6202,273,400,5802,35,238,435,6040,9,10,1,81,2.350474509,35.67645111,4.965791216,30.89825646,6.588308073,11.11111111,363,2.479338843,97.52066116,5202,1264
"79","Arkansas_all_counties",2020-09-30,1369,5630,5630,83697,957424,75312,1041417,7009,2990671,80610,3087,949107,8317,73007,2305,1223,146,6373,636,1029717,11700,80610,949107,3383,8317,83993,957424,942,872,19,22487,2.798602722,34.81228794,3.149794812,21.30959908,8.039123214,4.189087028,76681,1.785318397,98.2146816,844917,196204
"80","Ashley",2020-09-30,10,3,3,436,5184,410,5622,16,20537,430,6,5159,25,406,4,10,0,14,2,5589,33,430,5159,8,25,438,5184,1,4,0,25,2.122997517,27.36524322,0.486926036,6.816964503,7.758007117,4,420,2.380952381,97.61904762,4896,724
"81","Baxter",2020-09-30,2,5,5,366,4113,305,4480,59,41219,324,42,4096,17,275,30,2,0,47,12,4420,60,324,4096,43,17,367,4113,9,10,0,40,0.887940028,10.86634804,2.183459084,11.40250855,8.171466845,22.5,307,0.651465798,99.3485342,2740,1739
"82","Benton",2020-09-30,93,7,7,6699,72483,6233,79214,372,258980,6463,236,72039,444,6054,179,76,17,332,40,78502,712,6463,72039,268,444,6731,72483,64,63,1,555,2.586686231,30.57456174,2.4712333,12.81952274,8.460256119,11.53153153,6326,1.470123301,98.5298767,70143,9039
"83","Boone",2020-09-30,13,9,9,752,10343,631,11096,108,37288,699,53,10328,15,597,34,11,2,91,17,11027,69,699,10328,54,15,753,10343,16,10,0,85,2.016734606,29.75488093,4.290924694,24.4046342,6.77782785,18.82352941,644,2.01863354,97.98136646,8994,2101
"84","Bradley",2020-09-30,8,11,11,342,3539,325,3880,9,10948,340,2,3534,5,324,1,7,1,9,0,3874,6,340,3534,1,5,341,3539,0,0,0,6,3.123858239,35.44939715,0,8.220679576,8.812161814,0,333,2.402402402,97.5975976,2560,1321
"85","Calhoun",2020-09-30,0,13,13,36,1711,34,1747,2,5202,35,1,1706,5,33,1,0,0,2,0,1741,6,35,1706,1,5,36,1711,0,0,0,9,0.692041522,33.58323722,0,3.844675125,2.060675444,0,34,0,100,1557,190
"86","Carroll",2020-09-30,10,15,15,710,7270,609,7984,91,27887,700,10,7266,4,603,6,10,0,87,4,7966,18,700,7266,14,4,714,7270,22,10,0,174,2.545989171,28.61548392,7.888980529,31.19733209,8.897243108,12.64367816,619,1.615508885,98.38449111,5642,2338
"87","Chicot",2020-09-30,22,17,17,1007,4926,978,5934,7,10826,998,9,4909,17,971,7,21,1,6,1,5907,27,998,4909,10,17,1008,4926,0,1,0,15,9.301681138,54.80325143,0,5.54221319,16.97286364,0,1000,2.2,97.8,3980,1953
"88","Clark",2020-09-30,4,19,19,357,6391,315,6748,38,22385,341,16,6346,45,304,11,4,0,33,5,6687,61,341,6346,16,45,357,6391,7,5,0,91,1.594817958,30.14518651,3.127094036,14.74201474,5.290456432,7.692307692,319,1.253918495,98.7460815,5522,1226
"89","Clay",2020-09-30,8,21,21,314,4290,258,4604,47,15061,300,14,4284,6,252,6,6,2,41,6,4584,20,300,4284,14,6,314,4290,10,5,0,48,2.084854923,30.56901932,6.639665361,27.22262798,6.820156386,20.83333333,266,3.007518797,96.9924812,4084,520
"90","Cleburne",2020-09-30,9,23,23,338,6550,312,6889,17,25230,323,15,6460,90,298,14,9,0,16,1,6783,106,323,6460,16,90,339,6550,4,2,1,63,1.33967499,27.30083234,1.585414189,6.341656758,4.907084785,6.349206349,321,2.803738318,97.19626168,6331,557
"91","Cleveland",2020-09-30,12,25,25,186,2678,168,2864,6,8226,183,3,2648,30,166,2,11,1,6,0,2831,33,183,2648,3,30,186,2678,0,12,0,9,2.261123268,34.81643569,0,7.293946025,6.494413408,0,180,6.666666667,93.33333333,1869,995
"92","Columbia",2020-09-30,18,27,27,500,5032,387,5546,95,23892,465,35,5000,32,374,13,18,0,73,22,5465,81,465,5000,49,32,514,5032,20,6,0,35,2.092750712,23.15419387,8.371002846,30.55416039,9.038322487,57.14285714,405,4.444444444,95.55555556,3881,1651
"93","Conway",2020-09-30,3,29,29,273,6359,251,6632,19,20906,265,8,6289,70,244,7,3,0,18,1,6554,78,265,6289,8,70,273,6359,1,6,0,34,1.305845212,31.72295035,0.478331579,8.60996843,4.116405308,2.941176471,254,1.181102362,98.81889764,5147,1485
"94","Craighead",2020-09-30,22,31,31,3076,33057,2633,36140,420,105701,2987,89,32966,91,2570,63,19,3,397,23,35953,187,2987,32966,96,91,3083,33057,61,52,0,424,2.910095458,34.18416098,5.770995544,37.55877428,8.512993662,14.38679245,2655,0.828625235,99.17137476,32606,3527
"95","Crawford",2020-09-30,16,33,33,1465,20166,1256,21629,193,62472,1426,39,20156,10,1226,30,13,3,187,6,21582,47,1426,20156,37,10,1463,20166,29,21,0,178,2.345050583,34.62511205,4.642079652,29.93341017,6.772687347,16.29213483,1272,1.257861635,98.74213836,19127,2504
"96","Crittenden",2020-09-30,46,35,35,1970,13666,1864,15626,60,49013,1950,20,13658,8,1851,13,39,7,60,0,15608,18,1950,13658,10,8,1960,13666,11,13,0,94,4.019341807,31.90174035,2.244302532,12.24165017,12.59913021,11.70212766,1910,2.408376963,97.59162304,13547,2089
"97","Cross",2020-09-30,13,37,37,453,4896,405,5344,35,16998,438,15,4873,23,394,11,11,2,33,2,5311,33,438,4873,10,23,448,4896,7,4,0,133,2.665019414,31.46840805,4.118131545,19.41404871,8.468872686,5.263157895,418,3.110047847,96.88995215,4517,832
