"","county_nam","mydate","deaths","fhwa_numbe","fips","positive","negative","recoveries","total_tests","active_cases","pop_5yr_est_2018","confirmed_pos","probable_pos","confirmed_neg","probable_neg","confirmed_recov","probable_recov","confirmed_death","probable_death","confirmed_active","probable_active","pcr_test","antigen_test","pcr_pos_test","pcr_neg_test","antigen_pos_test","antigen_neg_test","total_pos_test","total_neg_test","New_Cases_Today","Recovered_Since_Yesterday","New_Deaths_Today","New_Tests_Dashboard","Cases_Population","Tested_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","lab_prvt","lab_pub"
"6280","Lonoke",2020-07-12,0,0,0,0,0,0,0,0,0,197,0,5303,0,146,0,1,0,50,0,5500,0,0,0,0,0,0,0,3,10,0,160,0.272830513,7.617095532,0.276985292,6.924632302,3.581818182,1.875,147,0.680272109,99.31972789,0,0
"6281","Madison",2020-07-12,0,0,0,0,0,0,0,0,0,223,0,1996,0,197,0,1,0,25,0,2219,0,0,0,0,0,0,0,1,0,0,29,1.386988431,12.41447941,0,15.54919766,10.04957188,3.448275862,198,0.505050505,99.49494949,0,0
"6282","Marion",2020-07-12,0,0,0,0,0,0,0,0,0,13,0,1033,0,10,0,0,0,3,0,1046,0,0,0,0,0,0,0,0,0,0,9,0.079085047,6.284219491,0,1.825039543,1.242829828,0,10,0,100,0,0
"6283","Miller",2020-07-12,0,0,0,0,0,0,0,0,0,265,0,2611,0,128,0,2,0,135,0,2876,0,0,0,0,0,0,0,11,2,0,79,0.605589707,5.96677255,0.914097671,30.85079641,9.21418637,13.92405063,130,1.538461538,98.46153846,0,0
"6284","MissingCountyInfo",2020-07-12,0,0,0,0,0,0,0,0,0,1073,0,55903,0,644,0,0,0,429,0,56976,0,0,0,0,0,0,0,25,20,0,395,NA,NA,NA,NA,1.883249087,6.329113924,644,0,100,0,0
"6285","Mississippi",2020-07-12,0,0,0,0,0,0,0,0,0,314,0,4323,0,185,0,3,0,126,0,4637,0,0,0,0,0,0,0,10,7,0,63,0.733113866,10.09315683,2.334757535,29.41794495,6.771619582,15.87301587,188,1.595744681,98.40425532,0,0
"6286","Monroe",2020-07-12,0,0,0,0,0,0,0,0,0,21,0,839,0,15,0,0,0,6,0,860,0,0,0,0,0,0,0,1,0,0,17,0.28969513,11.57401021,2.759001242,8.277003725,2.441860465,5.882352941,15,0,100,0,0
"6287","Montgomery",2020-07-12,0,0,0,0,0,0,0,0,0,7,0,686,0,6,0,0,0,1,0,693,0,0,0,0,0,0,0,-1,0,0,9,0.077838319,7.628155232,1.111975981,1.111975981,1.01010101,0,6,0,100,0,0
"6288","Nevada",2020-07-12,0,0,0,0,0,0,0,0,0,109,0,1250,0,87,0,3,0,19,0,1359,0,0,0,0,0,0,0,0,0,0,15,1.291469194,14.81042654,1.184834123,22.51184834,8.020603385,0,90,3.333333333,96.66666667,0,0
"6289","Newton",2020-07-12,0,0,0,0,0,0,0,0,0,10,0,552,0,7,0,0,0,3,0,562,0,0,0,0,0,0,0,2,0,0,7,0.127420999,7.033639144,0,3.822629969,1.779359431,28.57142857,7,0,100,0,0
"6290","Ouachita",2020-07-12,0,0,0,0,0,0,0,0,0,34,0,2045,0,24,0,0,0,10,0,2079,0,0,0,0,0,0,0,1,0,0,29,0.141043724,8.624408861,0.414834481,4.14834481,1.635401635,3.448275862,24,0,100,0,0
"6291","Perry",2020-07-12,0,0,0,0,0,0,0,0,0,34,0,923,0,29,0,0,0,5,0,957,0,0,0,0,0,0,0,1,0,0,6,0.329393528,8.942065491,0,4.844022476,3.55276907,16.66666667,29,0,100,0,0
"6292","Phillips",2020-07-12,0,0,0,0,0,0,0,0,0,173,0,2721,0,133,0,5,0,35,0,2894,0,0,0,0,0,0,0,1,2,0,76,0.908899863,15.20437113,2.626878218,18.38814753,5.97788528,1.315789474,138,3.623188406,96.37681159,0,0
"6293","Pike",2020-07-12,0,0,0,0,0,0,0,0,0,19,0,1974,0,9,0,0,0,10,0,1993,0,0,0,0,0,0,0,-4,2,0,9,0.175795707,18.44004441,6.476683938,9.252405625,0.953336678,0,9,0,100,0,0
"6294","Poinsett",2020-07-12,0,0,0,0,0,0,0,0,0,75,0,1808,0,54,0,3,0,18,0,1883,0,0,0,0,0,0,0,3,0,0,15,0.311798453,7.828219839,0,7.483162884,3.983005842,20,57,5.263157895,94.73684211,0,0
"6295","Polk",2020-07-12,0,0,0,0,0,0,0,0,0,88,0,1645,0,77,0,0,0,11,0,1733,0,0,0,0,0,0,0,2,1,0,15,0.43644299,8.158508159,1.487873828,5.45553737,5.077899596,13.33333333,77,0,100,0,0
"6296","Pope",2020-07-12,0,0,0,0,0,0,0,0,0,655,0,6442,0,507,0,4,0,144,0,7097,0,0,0,0,0,0,0,14,7,0,85,1.029162215,10.12192823,3.613852052,22.62585633,9.229251797,16.47058824,511,0.782778865,99.21722114,0,0
"6297","Prairie",2020-07-12,0,0,0,0,0,0,0,0,0,30,0,663,0,21,0,0,0,9,0,693,0,0,0,0,0,0,0,2,0,0,19,0.363901019,8.042212518,1.213003396,10.91703057,4.329004329,10.52631579,21,0,100,0,0
"6298","Pulaski",2020-07-12,0,0,0,0,0,0,0,0,0,2938,0,41204,0,2054,0,65,0,819,0,44142,0,0,0,0,0,0,0,52,36,0,1052,0.746702994,10.47214096,2.592365737,20.81517195,6.655792669,4.942965779,2119,3.067484663,96.93251534,0,0
"6299","Randolph",2020-07-12,0,0,0,0,0,0,0,0,0,76,0,2124,0,49,0,1,0,26,0,2200,0,0,0,0,0,0,0,1,1,0,16,0.431744589,12.49786968,1.136169971,14.77020962,3.454545455,6.25,50,2,98,0,0
"6300","Saline",2020-07-12,0,0,0,0,0,0,0,0,0,471,0,10338,0,329,0,3,0,139,0,10809,0,0,0,0,0,0,0,13,11,0,179,0.399122101,9.159470888,1.77952529,11.77876264,4.357479878,7.262569832,332,0.903614458,99.09638554,0,0
"6301","Scott",2020-07-12,0,0,0,0,0,0,0,0,0,16,0,598,0,12,0,0,0,4,0,614,0,0,0,0,0,0,0,0,1,0,6,0.153227351,5.880099598,1.915341889,3.830683777,2.605863192,0,12,0,100,0,0
"6302","Searcy",2020-07-12,0,0,0,0,0,0,0,0,0,17,0,880,0,11,0,0,0,6,0,897,0,0,0,0,0,0,0,1,0,0,3,0.21456519,11.32146914,0,7.572889057,1.895206243,33.33333333,11,0,100,0,0
"6303","Sebastian",2020-07-12,0,0,0,0,0,0,0,0,0,834,0,12852,0,518,0,7,0,309,0,13686,0,0,0,0,0,0,0,28,28,0,449,0.654317791,10.73740203,4.393500757,24.24270953,6.093818501,6.236080178,525,1.333333333,98.66666667,0,0
