"","V1","date","County_Name","County_Vax_Total","Dose_1","Dose_2","Unk_Dose","Partial_Vax","Fully_Vax","White_Total","White_Full_Pct","Black_Total","Black_Full_Pct","Native_American_Total","Asian_Total","Asian_Full_Pct","Pacific_Islander_Total","Unk_Race_Total","Other_Race_Total","Hispanic_Total","Hispanic_Partial_Vax","Hispanic_Full_Vax","Population","County_Pct_Dose_1","County_Pct_Dose_2","White_Partial_Pct","Black_Partial_Pct","Asian_Partial_Pct","Non_Hispanic_Partial_Pct","Non_Hispanic_Full_Pct"
"2:58",58,"2021-05-17","St. Francis",10928,6450,4472,6,979,5471,5403,26.2,4769,22.6,5,79,1.1,7,544,121,199,2,6.9,21496,30,20.8,4.4,3.7,1.1,1,1.8
"2:59",59,"2021-05-17","Crittenden",17333,11052,6281,0,2806,8246,7803,20.4,7468,16.8,25,117,11,19,1649,252,341,7,15.9,39319,28.2,16,6.2,6.6,1.4,1,2.4
"2:60",60,"2021-05-17","Cross",9632,5464,4162,6,937,4527,6954,31.6,1983,28.5,7,80,7.8,7,510,91,135,9,22.7,13912,39.1,29.9,5.2,7,1.6,2,1.7
"2:61",61,"2021-05-17","Woodruff",4245,2287,1955,3,298,1989,2907,35,951,30.4,1,6,0,5,322,53,49,2,23.3,5426,41.7,36.2,4,5.1,3.6,0,10
"2:62",62,"2021-05-17","White",41646,22751,18877,18,3486,19265,35529,26.4,1399,19.8,76,293,6.7,18,1979,2352,1106,7,17.5,67007,34,28.2,4.5,4.4,1.3,0,1.6
"2:63",63,"2021-05-17","Faulkner",76853,42357,34493,3,6479,35878,61242,31.5,6811,24,132,996,6.6,87,5116,2469,1731,6,19.2,107247,39.5,32.2,5,5.2,3.2,1,2.1
"2:64",64,"2021-05-17","Conway",13616,7516,6100,0,933,6583,10760,33.9,1507,34.6,30,71,10.1,8,1025,215,456,9,33.1,17726,42.4,34.4,4.2,5.1,0.7,1,5.5
"2:65",65,"2021-05-17","Newton",3102,1790,1308,4,450,1340,2655,17.8,5,1.6,6,3,3.3,3,397,33,107,11,38.8,6827,26.4,19.2,5,4.9,0,3,3.2
"2:66",66,"2021-05-17","Pope",33706,19463,14243,0,2844,16619,27592,26.6,731,18.7,90,296,6.3,20,3025,1952,2035,5,23.3,54387,35.7,26.2,3.9,4.1,1.7,0,1.2
"2:67",67,"2021-05-17","Johnson",12004,6886,5118,0,1033,5853,9758,22.8,227,20.3,31,187,5.5,20,1129,652,1294,5,23.4,22287,30.8,23,3.3,3.3,0.6,0,2.5
"2:68",68,"2021-05-17","Van Buren",8878,4811,4067,0,630,4181,8193,27.2,50,20,24,23,9.5,3,503,82,162,6,16.5,14547,33.1,27.9,3.9,0.8,0,0,1.5
"2:69",69,"2021-05-17","Cleburne",13597,7511,6083,3,1118,6393,11937,26.3,45,13.9,22,51,5.6,1,1396,145,164,4,15.8,21965,34.1,27.6,4.1,1.4,0.6,0,0.7
"2:70",70,"2021-05-17","Poinsett",11463,6577,4877,9,1509,5068,10138,25.1,644,17.4,10,40,4.4,2,511,118,218,4,18.2,19810,33.2,24.7,7,6.3,1.1,0,1.2
"2:71",71,"2021-05-17","Craighead",58062,33457,24577,28,7725,25732,47974,28.3,4230,13,90,1145,6.2,46,3271,1306,1591,9,14.9,91830,36.4,26.8,8,4.6,4,1,1.5
"2:72",72,"2021-05-17","Sharp",7848,4525,3319,4,1152,3373,7208,21.1,20,5.6,14,26,3.4,1,539,40,123,4,15.8,15166,29.8,21.9,7.1,1.1,1.1,0,0.8
"2:73",73,"2021-05-17","Izard",5761,3240,2518,3,648,2592,5297,20.5,22,2.6,8,16,3.9,0,345,73,46,2,6.9,12084,26.7,20.8,5.1,1.3,1,0,0
"2:74",74,"2021-05-17","Fulton",4243,2347,1896,0,403,1944,3831,16.7,9,3.5,8,5,3.4,0,361,29,47,2,12.5,10804,21.7,17.6,3.1,0.9,1.1,0,0
"2:75",75,"2021-05-17","Stone",6249,3356,2893,0,402,2954,5667,25.2,23,15.7,15,6,8,0,450,88,47,2,12.2,10998,30.4,26.4,2.8,0,0,0,0
"2:76",76,"2021-05-17","Boone",17115,9629,7479,7,1931,7698,15131,21.9,55,13.9,20,99,2.9,4,1512,294,1039,14,61.1,31850,30.3,23.4,5.4,2.1,1,0,1.2
"2:77",77,"2021-05-17","Out of State",28825,18095,10730,0,5248,12847,16898,0,2336,0,215,848,0,51,7199,1278,1763,0,0,0,0,0,0,0,0,0,0
