"","V1","date","County_Name","County_Vax_Total","Dose_1","Dose_2","Unk_Dose","Partial_Vax","Fully_Vax","White_Total","White_Full_Pct","Black_Total","Black_Full_Pct","Native_American_Total","Asian_Total","Asian_Full_Pct","Pacific_Islander_Total","Unk_Race_Total","Other_Race_Total","Hispanic_Total","Hispanic_Partial_Vax","Hispanic_Full_Vax","Population","County_Pct_Dose_1","County_Pct_Dose_2","White_Partial_Pct","Black_Partial_Pct","Asian_Partial_Pct","Non_Hispanic_Partial_Pct","Non_Hispanic_Full_Pct"
"1:30",30,"2021-05-18","Carroll",14168,8256,5906,6,1294,6962,11259,23.5,37,6.7,39,118,5.8,64,1603,1048,1144,4,19.5,24422,33.8,24.2,4.2,2.8,1.9,1,6.3
"1:31",31,"2021-05-18","Madison",7520,4346,3171,3,857,3489,6430,22.3,18,5.9,36,43,6.7,17,637,339,484,8,28.8,14093,30.8,22.5,5,1.3,0.4,1,5.2
"1:32",32,"2021-05-18","Sebastian",46414,27369,19044,1,5492,21877,34923,18.1,2112,12.2,238,1883,3.4,34,4274,2950,3382,4,10.9,107538,25.5,17.7,4,4.2,1.6,0,0.3
"1:33",33,"2021-05-18","Polk",7733,4531,3201,1,845,3686,6698,19.4,31,12.3,39,54,5.1,4,655,252,419,4,20,17073,26.5,18.7,4.3,1.6,0.3,1,1.7
"1:34",34,"2021-05-18","Sevier",7932,4349,3583,0,519,3830,5058,19.8,316,25.6,39,33,3.5,18,1253,1215,1765,3,19.6,13767,31.6,26,2.2,3.4,1,2,4.4
"1:35",35,"2021-05-18","Garland",59508,33583,25919,6,7157,26426,50691,29.4,2914,17.4,134,527,7.7,41,2754,2447,2340,11,21.8,86444,38.8,30,7.4,4.4,1.4,1,2
"1:36",36,"2021-05-18","Saline",68685,38107,30552,26,5981,32126,55069,27.8,5270,29.5,116,891,7.3,61,4958,2320,2084,6,21,104254,36.6,29.3,4.5,5.4,1.9,1,1.6
"1:37",37,"2021-05-18","Franklin",10054,5549,4505,0,745,4804,9080,29.8,47,9.7,32,109,6.8,4,616,166,148,4,15.1,15200,36.5,29.6,4.4,4.6,0,0,1
"1:38",38,"2021-05-18","Scott",4045,2429,1616,0,413,2016,3407,20.7,18,6.5,16,73,5.2,3,397,131,157,3,13.3,8746,27.8,18.5,3.8,8.6,0,0,0.4
"1:39",39,"2021-05-18","Logan",11191,6170,5018,3,851,5319,9977,27.1,138,18,42,149,9.5,1,683,201,304,7,27.6,18547,33.3,27.1,4,5,0.5,0,0.2
"1:40",40,"2021-05-18","Yell",10507,6029,4478,0,869,5160,8733,24.7,152,17.8,44,100,10.4,2,639,837,1214,6,18.3,18012,33.5,24.9,3.6,2.4,1.4,0,0.4
"1:41",41,"2021-05-18","Montgomery",4023,2352,1671,0,241,2111,3593,25,12,7.6,2,16,0.8,1,319,80,63,2,9.2,7929,29.7,21.1,2.5,0,0.8,0,0.9
"1:42",42,"2021-05-18","Pike",4342,2430,1909,3,464,1966,3714,19.8,133,16,6,23,2.5,0,313,153,147,5,11.6,9246,26.3,20.6,3.6,7,0.8,0,0
"1:43",43,"2021-05-18","Hempstead",7214,4218,2981,15,890,3328,4059,15.4,1902,16.3,33,49,13.8,6,670,495,632,5,14.6,17816,23.7,16.7,3.9,4.1,0.8,0,2.2
"1:44",44,"2021-05-18","Drew",10617,5880,4737,0,852,5028,6889,29.5,2675,29.6,12,78,6.5,16,498,449,309,10,26.4,15607,37.7,30.4,4.7,4.1,2.6,0,7.1
"1:45",45,"2021-05-18","Bradley",6751,4073,2678,0,739,3334,4265,32.9,1758,35.3,18,31,5.4,7,196,476,532,8,20.5,9068,44.9,29.5,6.1,8.5,2,2,5.6
"1:46",46,"2021-05-18","Calhoun",2174,1157,1017,0,128,1029,1551,21.1,424,20.1,0,6,0,0,168,25,20,0,6.1,4546,25.5,22.4,2.2,2.7,0,0,0
"1:47",47,"2021-05-18","Ouachita",14162,7743,6413,6,1044,6699,7953,32.3,5065,29.7,7,62,2.9,11,803,261,231,8,23.8,20023,38.7,32,4.1,5.1,1,1,4.7
"1:48",48,"2021-05-18","Nevada",3269,1972,1188,109,536,1436,2130,19.2,867,17.3,4,23,6.1,0,192,53,75,4,12.8,7050,28,16.9,6.6,7.2,3,0,0
"1:49",49,"2021-05-18","Clark",13569,7393,6176,0,1026,6367,9935,32.3,2796,27.5,18,114,7.4,3,434,269,524,8,29,19472,38,31.7,4.8,4.5,0,2,0
"1:50",50,"2021-05-18","Dallas",4838,2599,2239,0,318,2281,2705,36.9,1809,34.2,4,20,2.4,0,245,55,75,7,15.3,6069,42.8,36.9,3.5,5,4.9,0,0
"1:51",51,"2021-05-18","Cleveland",5037,2767,2270,0,358,2409,4261,33.6,567,34.1,3,4,2.8,1,125,76,56,2,19.3,6927,39.9,32.8,4.9,4.3,2.8,0,5
"1:52",52,"2021-05-18","Lincoln",5094,2849,2242,3,388,2461,3853,23.8,977,12.3,7,17,5.4,1,88,151,182,3,20.5,11689,24.4,19.2,3.2,2.7,1.8,2,0
"1:53",53,"2021-05-18","Arkansas",11455,6435,5020,0,914,5521,8555,37.8,1838,24,8,75,9.4,1,600,378,290,6,33.9,14786,43.5,34,5.4,4.6,0,0,0.8
"1:54",54,"2021-05-18","Grant",9544,5263,4281,0,832,4431,8843,27.2,240,24.3,11,42,7.1,5,269,134,163,5,18,15720,33.5,27.2,5,4.3,0,1,2.3
"1:55",55,"2021-05-18","Monroe",4282,2463,1819,0,489,1974,2492,33.9,1450,29.8,5,8,8.1,1,210,116,113,10,47,5758,42.8,31.6,7.6,6.3,0,2,0
"1:56",56,"2021-05-18","Lee",3687,2129,1555,3,367,1762,1575,21.5,1730,19.9,4,12,4.3,4,312,50,72,3,21.8,7777,27.4,20,3.6,4.4,2.2,8,0
