"","Date","Cases_African_American","Cases_Asian","Cases_Hispanic","Cases_Multi_Racial","Cases_Native_American","Cases_Pacific_Islander","Cases_White","Cases_Other","Cases_Race_Or_Ethnicity_Unknown","New_Cases_African_American","New_Cases_Asian","New_Cases_Hispanic","New_Cases_Multi_Racial","New_Cases_Native_American","New_Cases_Pacific_Islander","New_Cases_White","New_Cases_Other","New_Cases_Race_Or_Ethnicity_Unknown","Deaths_African_American","Deaths_Asian","Deaths_Hispanic","Deaths_Multi_Racial","Deaths_Native_American","Deaths_Pacific_Islander","Deaths_White","Deaths_Other","Deaths_Race_Or_Ethnicity_Unknown","New_Deaths_African_American","New_Deaths_Asian","New_Deaths_Hispanic","New_Deaths_Multi_Racial","New_Deaths_Native_American","New_Deaths_Pacific_Islander","New_Deaths_White","New_Deaths_Other","New_Deaths_Race_Or_Ethnicity_Unknown","Total_State_Population_African_American","Total_State_Population_Asian","Total_State_Population_Hispanic","Total_State_Population_Multi_Racial","Total_State_Population_Native_American","Total_State_Population_Pacific_Islander","Total_State_Population_White","Total_State_Population_Other","Total_State_Population_Race_Or_Ethnicity_Unknown","Pct_State_Population_African_American","Pct_State_Population_Asian","Pct_State_Population_Hispanic","Pct_State_Population_Multi_Racial","Pct_State_Population_Native_American","Pct_State_Population_Pacific_Islander","Pct_State_Population_White","Pct_State_Population_Other","Pct_State_Population_Race_Or_Ethnicity_Unknown","Cases_Per_10_000_African_American","Cases_Per_10_000_Asian","Cases_Per_10_000_Hispanic","Cases_Per_10_000_Multi_Racial","Cases_Per_10_000_Native_American","Cases_Per_10_000_Pacific_Islander","Cases_Per_10_000_White","Cases_Per_10_000_Other","Cases_Per_10_000_Race_Or_Ethnicity_Unknown","Deaths_Per_10_000_African_American","Deaths_Per_10_000_Asian","Deaths_Per_10_000_Hispanic","Deaths_Per_10_000_Multi_Racial","Deaths_Per_10_000_Native_American","Deaths_Per_10_000_Pacific_Islander","Deaths_Per_10_000_White","Deaths_Per_10_000_Other","Deaths_Per_10_000_Race_Or_Ethnicity_Unknown","Cases_Other_Race","Cases_Unknown_Race","Deaths_Other_Race","Deaths_Unknown_Race","Na","Deaths_Na","Objectid","Fips","Nonhispanic","Cases_0_10","Cases_11_17","Cases_18_24","Cases_25_34","Cases_35_44","Deaths_0_10","Deaths_11_17","Deaths_18_24","Deaths_25_34","Deaths_35_44","Male","Female","Unk_Gender","Diabetes","Cardiac_Disease","Hypertension","Cpd","Ckd","Immunocompromised","Healthcare","Nursing_Home","Jailed","Positives","Deaths_Nursing_Home","Deaths_Jailed","Deaths","Deaths_Nonhispanic","Cases_45_54","Deaths_45_54","Cases_55_64","Deaths_55_64","Cases_65","Deaths_65","Noncovid_Death","Pos_24Hr","Cases_Unknown","Deaths_Unknown"
"1:171","2020-06-13",3317,110,2573,163,35,678,5535,1031,1389,144,5,121,2,1,29,213,968,93,53,1,10,2,0,8,102,8,5,0,0,-1,0,0,1,2,0,-2,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,70.01,21.44,110.73,24.55,11.6,561.68,23.19,NA,NA,1.12,0.19,0.43,0.3,0,6.63,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:172","2020-06-12",3173,105,2452,161,34,649,5322,968,1296,189,11,141,11,1,48,192,11,279,53,1,11,2,0,7,100,8,7,1,0,1,0,0,1,1,0,2,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,66.97,20.47,105.52,24.25,11.27,537.65,22.29,NA,NA,1.12,0.19,0.47,0.3,0,5.8,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:173","2020-06-11",2984,94,2311,150,33,601,5130,957,1017,60,1,108,5,0,40,157,36,150,52,1,10,2,0,6,99,8,5,1,0,2,0,0,0,3,0,2,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,62.98,18.32,99.45,22.59,10.94,497.89,21.49,NA,NA,1.1,0.19,0.43,0.3,0,4.97,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:174","2020-06-10",2920,93,2203,145,33,561,4973,921,867,76,2,146,1,1,40,207,24,-62,51,1,8,2,0,6,96,8,3,1,0,0,0,0,1,2,0,0,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,61.63,18.13,94.81,21.84,10.94,464.75,20.83,NA,NA,1.08,0.19,0.34,0.3,0,4.97,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:175","2020-06-09",2844,91,2057,144,32,521,4766,897,929,67,1,143,3,0,29,172,44,27,50,1,8,2,0,5,94,8,3,2,0,1,0,0,0,4,0,0,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,60.03,17.74,88.52,21.69,10.6,431.61,19.97,NA,NA,1.06,0.19,0.34,0.3,0,4.14,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:176","2020-06-08",2777,90,1941,141,32,492,4594,853,902,52,3,110,1,2,42,125,44,46,48,1,7,2,0,5,90,8,3,0,0,0,0,0,0,1,0,0,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,58.61,17.54,83.53,21.24,10.6,407.59,19.25,NA,NA,1.01,0.19,0.3,0.3,0,4.14,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:177","2020-06-07",2725,87,1831,140,30,450,4469,809,856,33,1,114,1,1,27,118,34,115,48,1,7,2,0,5,89,8,3,1,0,0,0,0,0,0,0,-1,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,57.51,16.96,78.8,21.09,9.94,372.79,18.72,NA,NA,1.01,0.19,0.3,0.3,0,4.14,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:178","2020-06-06",2692,86,1717,139,29,423,4351,779,741,125,5,95,0,1,28,185,39,97,47,1,7,2,0,5,89,8,4,0,0,0,0,0,0,0,0,2,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,56.82,16.76,73.89,20.94,9.61,350.43,18.23,NA,NA,0.99,0.19,0.3,0.3,0,4.14,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:179","2020-06-05",2567,81,1622,139,28,395,4166,740,644,4,0,107,3,0,22,169,23,-23,47,1,7,2,0,5,89,8,2,0,0,0,0,0,0,1,0,0,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,54.18,15.79,69.8,20.94,9.28,327.23,17.45,NA,NA,0.99,0.19,0.3,0.3,0,4.14,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:180","2020-06-04",2563,80,1515,136,28,373,3997,717,667,48,0,159,5,1,27,181,62,39,47,1,7,2,0,5,88,8,2,1,0,1,1,0,2,8,0,-2,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,54.1,15.59,65.2,20.48,9.28,309.01,16.74,NA,NA,0.99,0.19,0.3,0.3,0,4.14,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:181","2020-06-03",2515,80,1356,131,27,346,3816,655,628,40,2,111,-3,0,27,101,54,27,46,1,6,1,0,3,80,8,4,0,0,1,0,0,0,3,1,2,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,53.08,15.59,58.35,19.73,8.95,286.64,15.99,NA,NA,0.97,0.19,0.26,0.15,0,2.49,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:182","2020-06-02",2475,78,1245,133,27,319,3715,601,601,69,3,141,-4,1,18,159,35,88,46,1,5,1,0,3,77,7,2,0,0,0,0,0,0,0,0,2,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,52.24,15.2,53.58,20.03,8.95,264.27,15.56,NA,NA,0.97,0.19,0.22,0.15,0,2.49,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:183","2020-06-01",2406,75,1104,137,26,301,3556,566,513,34,1,73,-1,0,6,93,28,28,46,1,5,1,0,3,76,7,0,0,0,0,0,0,0,0,0,0,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,50.78,14.62,47.51,20.64,8.62,249.36,14.9,NA,NA,0.97,0.19,0.22,0.15,0,2.49,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:184","2020-05-31",2372,74,1031,138,26,295,3463,538,485,32,1,110,1,1,39,94,22,51,46,1,5,1,0,3,76,7,0,0,0,0,0,0,0,0,0,0,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,50.06,14.42,44.37,20.79,8.62,244.39,14.51,NA,NA,0.97,0.19,0.22,0.15,0,2.49,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:185","2020-05-30",2340,73,921,137,25,256,3369,516,434,104,6,204,-1,3,44,250,57,11,46,1,5,1,0,3,76,7,0,1,0,1,1,0,0,7,1,0,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,49.39,14.23,39.63,20.64,8.28,212.08,14.11,NA,NA,0.97,0.19,0.22,0.15,0,2.49,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:186","2020-05-28",2236,67,717,138,22,212,3119,459,423,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,1,4,0,0,3,69,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,47.19,13.06,30.86,20.79,7.29,175.63,13.07,NA,NA,0.95,0.19,0.17,0,0,2.49,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
