"","County","Date","Population","Cases_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Current_Infections","Positive","New_Cases_Today","Recovered","Recovered_Since_Yesterday","Total_Deaths","New_Deaths_Today","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","Hospitalized","Hosp_Change_from_Yesterday","Ever_Hospitalized","New_Admits","New_Discharges_Deaths","Pct_Hospitalized","Vent","Ever_on_a_Vent","New_on_Vent","Pct_Vent"
"14","Arkansas_all_counties",2020-09-03,3017804,2.09029479714388,3.21094411698043,17.6651631451214,5331,63081,969,56889,628,861,20,57750,1.49090909090909,98.5090909090909,425,-10,4386,45,55,7.97223785406115,91,562,6,21.4117647058824
"15","Arkansas_all_counties",2020-09-02,3017804,2.05818535597408,2.03790570891947,16.6014757751,5010,62112,615,56261,614,841,27,57102,1.47280305418374,98.5271969458163,435,12,4341,35,23,8.68263473053892,90,556,2,20.6896551724138
"16","Arkansas_all_counties",2020-09-01,3017804,2.03780629888488,0.90463131469108,16.687631138404,5036,61497,273,55647,686,814,17,56461,1.44170312250934,98.5582968774907,423,3,4306,93,90,8.39952343129468,85,554,12,20.0945626477541
"17","Arkansas_all_counties",2020-08-31,3017804,2.02875998573797,1.2194297575323,18.1125083007379,5466,61224,368,54961,553,797,13,55758,1.42939129810969,98.5706087018903,420,29,4213,31,2,7.68386388583974,87,542,1,20.7142857142857
"18","Arkansas_all_counties",2020-08-30,3017804,2.01656568816265,1.58393321766424,18.7686145289754,5664,60856,478,54408,275,784,12,55192,1.42049572401797,98.579504275982,391,7,4182,5,-2,6.90324858757062,84,541,1,21.4833759590793
"19","Arkansas_all_counties",2020-08-29,3017804,2.00072635598601,2.63436591640809,18.1357039754736,5473,60378,795,54133,468,772,16,54905,1.4060650214006,98.5939349785994,384,-23,4177,35,58,7.01626164809063,90,540,2,23.4375
"20","Arkansas_all_counties",2020-08-28,3017804,1.97438269682193,2.77685363264148,17.105153283646,5162,59583,838,53665,1000,756,17,54421,1.38916962202091,98.6108303779791,407,-26,4142,41,67,7.8845408756296,95,538,5,23.3415233415233
"21","Arkansas_all_counties",2020-08-27,3017804,1.94661416049551,2.39246816559326,17.6982998233152,5341,58745,722,52665,764,739,7,53404,1.38379147629391,98.6162085237061,433,-2,4101,40,42,8.10709604942894,99,533,8,22.8637413394919
"22","Arkansas_all_counties",2020-08-26,3017804,1.92268947883958,2.15057041477843,17.8606695464649,5390,58023,649,51901,550,732,21,52633,1.39076244941387,98.6092375505861,435,-7,4061,48,55,8.07050092764378,108,525,11,24.8275862068966
"23","Arkansas_all_counties",2020-08-25,3017804,1.9011837746918,1.590560553303,17.6022034565532,5312,57374,480,51351,662,711,15,52062,1.36567938227498,98.634320617725,442,-24,4013,51,75,8.32078313253012,108,514,7,24.4343891402715
"24","Arkansas_all_counties",2020-08-24,3017804,1.88527816915877,1.060373702202,18.2549960169713,5509,56894,320,50689,438,696,9,51385,1.35448087963413,98.6455191203659,466,-34,3962,42,76,8.45888546015611,108,507,5,23.175965665236
"25","Arkansas_all_counties",2020-08-23,3017804,1.87467443213675,1.24262543226797,18.6758318300327,5636,56574,375,50251,487,687,13,50938,1.34869841768424,98.6513015823158,500,8,3920,12,4,8.87154009936125,110,502,0,22
"26","Arkansas_all_counties",2020-08-22,3017804,1.86224817781407,1.81257629720154,19.0900403074554,5761,56199,547,49764,629,674,11,50438,1.33629406399937,98.6637059360006,492,-17,3908,52,69,8.54018399583406,108,502,3,21.9512195121951
"27","Arkansas_all_counties",2020-08-21,3017804,1.84412241484205,2.93922335579116,19.3982114146578,5854,55652,887,49135,677,663,22,49798,1.33137877023174,98.6686212297683,509,10,3856,66,56,8.69490946361462,120,499,11,23.5756385068762
"28","Arkansas_all_counties",2020-08-20,3017804,1.81473018128414,1.8192036328403,18.7752418646141,5666,54765,549,48458,792,641,10,49099,1.30552557078556,98.6944744292144,499,0,3790,47,47,8.80691846099541,108,488,5,21.6432865731463
"29","Arkansas_all_counties",2020-08-19,3017804,1.79653814495574,2.41566384032893,19.6135998229176,5919,54216,729,47666,696,631,12,48297,1.3064993684908,98.6935006315092,499,7,3743,48,41,8.43047812130427,114,483,5,22.8456913827655
"30","Arkansas_all_counties",2020-08-18,3017804,1.77238150655245,1.35860380594631,19.5440127987106,5898,53487,410,46970,837,619,16,47589,1.30072075479628,98.6992792452037,492,6,3695,74,68,8.34181078331638,122,478,6,24.7967479674797
"31","Arkansas_all_counties",2020-08-17,3017804,1.75879546849298,1.36523114158507,21.0119676426965,6341,53077,412,46133,561,603,4,46736,1.29022595001712,98.7097740499829,486,8,3621,51,43,7.66440624507175,120,472,12,24.6913580246914
"32","Arkansas_all_counties",2020-08-16,3017804,1.74514315707713,2.23009844244358,21.5189588190618,6494,52665,673,45572,667,599,-1,46171,1.29735115115549,98.7026488488445,478,14,3570,8,-6,7.36064059131506,120,460,0,25.1046025104602
"33","Arkansas_all_counties",2020-08-15,3017804,1.7228421726527,-1.3254671277525,21.4957631443261,6487,51992,-400,44905,-541,600,13,45505,1.31853642456873,98.6814635754313,464,-2,3562,-46,-44,7.15276707260675,108,460,-7,23.2758620689655
"34","Arkansas_all_counties",2020-08-14,3017804,1.73609684393022,2.07435605493266,21.0716136634453,6359,52392,626,45446,844,587,5,46033,1.27517215910325,98.7248278408968,466,-7,3608,42,49,7.32819625727316,113,467,1,24.2489270386266
"35","Arkansas_all_counties",2020-08-13,3017804,1.7153532833809,2.16051141823657,21.8105615871674,6582,51766,652,44602,786,582,9,45184,1.28806657223796,98.711933427762,473,-13,3566,94,107,7.18626557277423,112,466,11,23.6786469344609
"36","Arkansas_all_counties",2020-08-12,3017804,1.69374816919853,2.32950847702502,22.2844160853389,6725,51114,703,43816,828,573,7,44389,1.29086034828448,98.7091396517155,486,-21,3472,71,92,7.22676579925651,113,455,5,23.2510288065844
"37","Arkansas_all_counties",2020-08-11,3017804,1.67045308442828,1.26913477482302,22.7218202374972,6857,50411,383,42988,858,566,11,43554,1.29953620792579,98.7004637920742,507,-1,3401,65,66,7.39390403966749,116,450,7,22.879684418146
"38","Arkansas_all_counties",2020-08-10,3017804,1.65776173668005,2.1373157435009,24.3322627977165,7343,50028,645,42130,678,555,11,42685,1.30022256061848,98.6997774393815,508,-6,3336,48,54,6.91815334332017,117,443,5,23.0314960629921
"39","Arkansas_all_counties",2020-08-09,3017804,1.63638857924504,1.89541799268607,24.4780641817693,7387,49383,572,41452,475,544,9,41996,1.29536146299648,98.7046385370035,514,17,3288,4,-13,6.95816975768242,115,438,1,22.3735408560311
"40","Arkansas_all_counties",2020-08-08,3017804,1.61743439931818,2.55815155656232,24.1864614136637,7299,48811,772,40977,617,535,14,41512,1.2887839660821,98.7112160339179,497,-26,3284,61,87,6.80915193862173,117,437,2,23.5412474849095
