"","County","Date","Population","Cases_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Current_Infections","Positive","New_Cases_Today","Recovered","Recovered_Since_Yesterday","Total_Deaths","New_Deaths_Today","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","Hospitalized","Hosp_Change_from_Yesterday","Ever_Hospitalized","New_Admits","New_Discharges_Deaths","Pct_Hospitalized","Vent","Ever_on_a_Vent","New_on_Vent","Pct_Vent","Negative","Number_Tested","New_Tests_Dashboard","Tested_Population","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard"
"15","Arkansas_all_counties",2020-08-29,3017804,2.00072635598601,2.63436591640809,18.1357039754736,5473,60378,795,54133,468,772,16,54905,1.4060650214006,98.5939349785994,384,-23,4177,35,58,7.01626164809063,90,540,2,23.4375,646592,706970,8915,23.4266373826796,8.54039068135847,8.91755468311834
"16","Arkansas_all_counties",2020-08-28,3017804,1.97438269682193,2.77685363264148,17.105153283646,5162,59583,838,53665,1000,756,17,54421,1.38916962202091,98.6108303779791,407,-26,4142,41,67,7.8845408756296,95,538,5,23.3415233415233,638472,698055,8027,23.1312238965818,8.53557384446784,10.4397657904572
"17","Arkansas_all_counties",2020-08-27,3017804,1.94661416049551,2.39246816559326,17.6982998233152,5341,58745,722,52665,764,739,7,53404,1.38379147629391,98.6162085237061,433,-2,4101,40,42,8.10709604942894,99,533,8,22.8637413394919,631283,690028,6755,22.86523578072,8.51342264371881,10.6883789785344
"18","Arkansas_all_counties",2020-08-26,3017804,1.92268947883958,2.15057041477843,17.8606695464649,5390,58023,649,51901,550,732,21,52633,1.39076244941387,98.6092375505861,435,-7,4061,48,55,8.07050092764378,108,525,11,24.8275862068966,625250,683273,4716,22.6413975195208,8.49192050615201,13.7616624257846
"19","Arkansas_all_counties",2020-08-25,3017804,1.9011837746918,1.590560553303,17.6022034565532,5312,57374,480,51351,662,711,15,52062,1.36567938227498,98.634320617725,442,-24,4013,51,75,8.32078313253012,108,514,7,24.4343891402715,621183,678557,4853,22.4851249451588,8.45529557575856,9.89078920255512
"20","Arkansas_all_counties",2020-08-24,3017804,1.88527816915877,1.060373702202,18.2549960169713,5509,56894,320,50689,438,696,9,51385,1.35448087963413,98.6455191203659,466,-34,3962,42,76,8.45888546015611,108,507,5,23.175965665236,616810,673704,2878,22.3243126458842,8.44495505444528,11.1188325225851
"21","Arkansas_all_counties",2020-08-23,3017804,1.87467443213675,1.24262543226797,18.6758318300327,5636,56574,375,50251,487,687,13,50938,1.34869841768424,98.6513015823158,500,8,3920,12,4,8.87154009936125,110,502,0,22,614252,670826,5501,22.2289452860424,8.43348349646555,6.8169423741138
"22","Arkansas_all_counties",2020-08-22,3017804,1.86224817781407,1.81257629720154,19.0900403074554,5761,56199,547,49764,629,674,11,50438,1.33629406399937,98.6637059360006,492,-17,3908,52,69,8.54018399583406,108,502,3,21.9512195121951,609126,665325,6734,22.0466604192983,8.44684928418442,8.12295812295812
"23","Arkansas_all_counties",2020-08-21,3017804,1.84412241484205,2.93922335579116,19.3982114146578,5854,55652,887,49135,677,663,22,49798,1.33137877023174,98.6686212297683,509,10,3856,66,56,8.69490946361462,120,499,11,23.5756385068762,602939,658591,10082,21.8235180283411,8.4501610255834,8.79785756794287
"24","Arkansas_all_counties",2020-08-20,3017804,1.81473018128414,1.8192036328403,18.7752418646141,5666,54765,549,48458,792,641,10,49099,1.30552557078556,98.6944744292144,499,0,3790,47,47,8.80691846099541,108,488,5,21.6432865731463,593744,648509,7229,21.4894340387911,8.4447555855046,7.59441139853368
"25","Arkansas_all_counties",2020-08-19,3017804,1.79653814495574,2.41566384032893,19.6135998229176,5919,54216,729,47666,696,631,12,48297,1.3064993684908,98.6935006315092,499,7,3743,48,41,8.43047812130427,114,483,5,22.8456913827655,587064,641280,4550,21.2498889921281,8.45434131736527,16.021978021978
"26","Arkansas_all_counties",2020-08-18,3017804,1.77238150655245,1.35860380594631,19.5440127987106,5898,53487,410,46970,837,619,16,47589,1.30072075479628,98.6992792452037,492,6,3695,74,68,8.34181078331638,122,478,6,24.7967479674797,583243,636730,4078,21.0991171063462,8.40026384809888,10.0539480137322
"27","Arkansas_all_counties",2020-08-17,3017804,1.75879546849298,1.36523114158507,21.0119676426965,6341,53077,412,46133,561,603,4,46736,1.29022595001712,98.7097740499829,486,8,3621,51,43,7.66440624507175,120,472,12,24.6913580246914,579575,632652,10602,20.9639857326718,8.38960439546544,3.88605923410677
"28","Arkansas_all_counties",2020-08-16,3017804,1.74514315707713,2.23009844244358,21.5189588190618,6494,52665,673,45572,667,599,-1,46171,1.29735115115549,98.7026488488445,478,14,3570,8,-6,7.36064059131506,120,460,0,25.1046025104602,569385,622050,5949,20.612670670461,8.46636122498191,11.3128256849891
"29","Arkansas_all_counties",2020-08-15,3017804,1.7228421726527,-1.3254671277525,21.4957631443261,6487,51992,-400,44905,-541,600,13,45505,1.31853642456873,98.6814635754313,464,-2,3562,-46,-44,7.15276707260675,108,460,-7,23.2758620689655,564109,616101,27441,20.415540571886,8.43887609336781,-1.45767282533435
"30","Arkansas_all_counties",2020-08-14,3017804,1.73609684393022,2.07435605493266,21.0716136634453,6359,52392,626,45446,844,587,5,46033,1.27517215910325,98.7248278408968,466,-7,3608,42,49,7.32819625727316,113,467,1,24.2489270386266,536268,588660,5180,19.5062369855696,8.90021404545918,12.0849420849421
"31","Arkansas_all_counties",2020-08-13,3017804,1.7153532833809,2.16051141823657,21.8105615871674,6582,51766,652,44602,786,582,9,45184,1.28806657223796,98.711933427762,473,-13,3566,94,107,7.18626557277423,112,466,11,23.6786469344609,531714,583480,4692,19.3345889925257,8.87194076917804,13.8959931798806
"32","Arkansas_all_counties",2020-08-12,3017804,1.69374816919853,2.32950847702502,22.2844160853389,6725,51114,703,43816,828,573,7,44389,1.29086034828448,98.7091396517155,486,-21,3472,71,92,7.22676579925651,113,455,5,23.2510288065844,527674,578788,5920,19.1791116984403,8.83121281021721,11.875
"33","Arkansas_all_counties",2020-08-11,3017804,1.67045308442828,1.26913477482302,22.7218202374972,6857,50411,383,42988,858,566,11,43554,1.29953620792579,98.7004637920742,507,-1,3401,65,66,7.39390403966749,116,450,7,22.879684418146,522457,572868,3548,18.982942563533,8.79975840856881,10.7948139797069
