"","county_nam","fhwa_numbe","FIPS","positive","negative","pending","lab_prvt","lab_pub","Recoveries","deaths","total_tests","lcase_name","pos_range","neg_range","border_report","active_cases","POP_5YR_EST_2018","confirmed_pos","probable_pos","confirmed_neg","probable_neg","confirmed_recov","probable_recov","confirmed_death","probable_death","confirmed_active","probable_active","pcr_test","antigen_test","pcr_pos_test","pcr_neg_test","antigen_pos_test","antigen_neg_test","total_pos_test","total_neg_test","Shape__Area","Shape__Length","mydate"
"105","Benton",7,7,5862,63203,0,60780,8285,5516,62,69098,"benton",5862,63203,"https://bit.ly/2T74BCM",284,"258980",5806,56,63120,83,5475,41,62,0,269,15,68926,172,5806,63120,89,83,5895,63203,2289858796.17493,259063.794058411,2020-09-14
"106","Carroll",15,15,555,6148,0,4860,1843,480,9,6703,"carroll",555,6148,"https://bit.ly/2T74BCM",66,"27887",553,2,6145,3,479,1,9,0,65,1,6698,5,553,6145,2,3,555,6148,1653084714.83582,212425.446763967,2020-09-14
"107","Madison",87,87,319,3612,0,3604,327,306,2,3933,"madison",319,3612,"Not Applicable",11,"16076",313,6,3601,11,302,4,2,0,9,2,3914,19,313,3601,8,11,321,3612,2166601172.44824,215220.142258456,2020-09-14
"108","Sebastian",131,131,3192,35557,0,34584,4165,2935,41,38753,"sebastian",3192,35557,"https://bit.ly/2T74BCM",215,"127461",3181,11,35547,10,2928,7,41,0,211,4,38728,25,3181,35547,15,10,3196,35557,1411978552.98157,217534.899566746,2020-09-14
"109","Polk",113,113,248,3410,0,2629,1029,231,4,3658,"polk",248,3410,"https://bit.ly/2T74BCM",13,"20163",246,2,3408,2,230,1,4,0,12,1,3654,4,246,3408,2,2,248,3410,2230612446.49585,218300.901651637,2020-09-14
"110","Sevier",133,133,1183,6068,0,6772,479,1150,16,7254,"sevier",1183,6068,"https://bit.ly/2T74BCM",17,"17193",1182,1,6058,10,1149,1,16,0,17,0,7240,14,1182,6058,4,10,1186,6068,1504881480.02832,254407.216997404,2020-09-14
"111","Garland",51,51,1630,23631,0,22826,2435,1461,37,25261,"garland",1630,23631,"Not Applicable",132,"98296",1623,7,23561,70,1456,5,37,0,130,2,25184,77,1623,23561,7,70,1630,23631,1900949402.75073,198708.79682618,2020-09-14
"112","Saline",125,125,1842,23649,0,20601,4890,1683,17,25503,"saline",1842,23649,"Not Applicable",142,"118009",1790,52,23337,312,1641,42,16,1,133,9,25127,376,1790,23337,64,312,1854,23649,1890391625.52527,259324.450169752,2020-09-14
"113","Franklin",47,47,213,4688,0,3756,1145,180,2,4900,"franklin",213,4688,"Not Applicable",31,"17780",210,3,4681,7,177,3,2,0,31,0,4891,9,210,4681,2,7,212,4688,1604366855.28687,221024.220903981,2020-09-14
"114","Scott",127,127,93,1613,0,1438,268,89,1,1706,"scott",93,1613,"https://bit.ly/2T74BCM",3,"10442",93,0,1613,0,89,0,1,0,3,0,1706,0,93,1613,0,0,93,1613,2325588371.05237,235654.491961227,2020-09-14
"115","Logan",83,83,381,5707,0,4574,1514,367,1,6090,"logan",381,5707,"Not Applicable",13,"21757",381,0,5699,8,367,0,1,0,13,0,6080,10,381,5699,2,8,383,5707,1893020842.90564,260765.966043996,2020-09-14
"116","Yell",149,149,1202,8558,0,8350,1410,1153,26,9760,"yell",1202,8558,"Not Applicable",23,"21573",1200,2,8517,41,1151,2,26,0,23,0,9717,43,1200,8517,2,41,1202,8558,2456264851.60352,285291.072549929,2020-09-14
"117","Montgomery",97,97,123,1803,0,1265,661,103,4,1926,"montgomery",123,1803,"Not Applicable",16,"8993",122,1,1788,15,102,1,4,0,16,0,1910,16,122,1788,1,15,123,1803,2072865931.63159,187272.030588765,2020-09-14
"118","Pike",109,109,212,1893,0,1726,379,188,2,2105,"pike",212,1893,"Not Applicable",22,"10808",211,1,1878,15,187,1,2,0,22,0,2089,16,211,1878,1,15,212,1893,1588931949.6095,227895.830370576,2020-09-14
"119","Hempstead",57,57,344,3745,0,2959,1130,336,4,4092,"hempstead",344,3745,"Not Applicable",4,"22018",340,4,3729,16,332,4,4,0,4,0,4069,23,340,3729,7,16,347,3745,1918024030.47583,254684.611749633,2020-09-14
"120","Drew",43,43,333,4836,0,4308,861,315,5,5172,"drew",333,4836,"Not Applicable",13,"18502",329,4,4800,36,312,3,5,0,12,1,5129,43,329,4800,7,36,336,4836,2164050280.56885,194673.142048166,2020-09-14
"121","Bradley",11,11,321,3222,0,2295,1248,302,6,3543,"bradley",321,3222,"Not Applicable",13,"10948",321,0,3220,2,302,0,6,0,13,0,3541,2,321,3220,0,2,321,3222,1689743159.67859,251246.751516417,2020-09-14
"122","Calhoun",13,13,29,1339,0,1204,164,24,0,1368,"calhoun",29,1339,"Not Applicable",5,"5202",28,1,1335,4,23,1,0,0,5,0,1363,5,28,1335,1,4,29,1339,1636688781.8551,257923.684200782,2020-09-14
"123","Ouachita",103,103,214,4606,0,3838,982,171,5,4822,"ouachita",214,4606,"Not Applicable",38,"24106",211,3,4587,19,169,2,5,0,37,1,4798,24,211,4587,5,19,216,4606,1914451452.26355,288817.222837729,2020-09-14
"124","Nevada",99,99,182,2355,0,2034,503,156,12,2536,"nevada",182,2355,"Not Applicable",14,"8440",181,1,2347,8,156,0,12,0,13,1,2528,8,181,2347,0,8,181,2355,1606223501.79431,203918.602261097,2020-09-14
"125","Clark",19,19,283,5260,0,4484,1059,254,4,5543,"clark",283,5260,"Not Applicable",25,"22385",279,4,5241,19,252,2,4,0,23,2,5520,23,279,5241,4,19,283,5260,2285025128.83716,305327.404740804,2020-09-14
"126","Dallas",39,39,154,1740,0,1363,531,131,2,1894,"dallas",154,1740,"Not Applicable",21,"7432",153,1,1732,8,130,1,2,0,21,0,1885,9,153,1732,1,8,154,1740,1728752981.36938,248335.581705109,2020-09-14
"127","Cleveland",25,25,161,2210,0,1647,724,129,9,2372,"cleveland",161,2210,"Not Applicable",23,"8226",159,2,2192,18,128,1,9,0,22,1,2351,21,159,2192,3,18,162,2210,1550112202.25488,191785.27846286,2020-09-14
"128","Lincoln",79,79,1785,5923,0,3159,4549,1597,13,7711,"lincoln",1785,5923,"Not Applicable",175,"13695",1785,0,5914,9,1597,0,13,0,175,0,7699,12,1785,5914,3,9,1788,5923,1475144651.05298,200391.193259746,2020-09-14
"129","Arkansas",1,1,316,4799,0,4048,1067,292,4,5123,"arkansas",316,4799,"Not Applicable",20,"18124",310,6,4603,196,288,4,4,0,18,2,4913,210,310,4603,14,196,324,4799,2689458657.14087,337890.821693229,2020-09-14
"130","Grant",53,53,222,4077,0,3743,556,208,1,4304,"grant",222,4077,"Not Applicable",13,"18086",215,7,4040,37,201,7,1,0,13,0,4255,49,215,4040,12,37,227,4077,1638299260.79211,192015.431574621,2020-09-14
"131","Monroe",95,95,103,1977,0,1746,334,97,0,2080,"monroe",103,1977,"Not Applicable",6,"7249",103,0,1963,14,97,0,0,0,6,0,2066,14,103,1963,0,14,103,1977,1608814698.93091,246946.068155265,2020-09-14
"132","Lee",77,77,1024,3482,0,2395,2111,996,15,4506,"lee",1024,3482,"https://bit.ly/2T74BCM",13,"9398",1023,1,3477,5,996,0,15,0,12,1,4500,6,1023,3477,1,5,1024,3482,1615973756.60767,249884.035819293,2020-09-14
"133","Hot Spring",59,59,1787,9768,0,7080,4475,1723,23,11555,"hot spring",1787,9768,"Not Applicable",41,"33520",1784,3,9740,28,1720,3,23,0,41,0,11524,31,1784,9740,3,28,1787,9768,1610166631.76538,219757.280649162,2020-09-14
"134","St. Francis",123,123,1388,10434,0,9522,2300,1351,4,11822,"saint francis",1388,10434,"Not Applicable",33,"26294",1388,0,10427,7,1351,0,4,0,33,0,11815,7,1388,10427,0,7,1388,10434,1664523033.28198,200638.765000852,2020-09-14
"135","Crittenden",35,35,1802,12415,0,12327,1890,1660,37,14215,"crittenden",1802,12415,"https://bit.ly/2T74BCM",105,"49013",1800,2,12411,4,1658,2,37,0,105,0,14211,4,1800,12411,0,4,1800,12415,1653092887.37305,250119.071780147,2020-09-14
"136","Cross",37,37,377,3902,0,3543,736,301,5,4277,"cross",377,3902,"Not Applicable",71,"16998",373,4,3892,10,297,4,5,0,71,0,4265,12,373,3892,2,10,375,3902,1612034657.20508,165977.208530094,2020-09-14
"137","Woodruff",147,147,36,1444,0,1311,169,31,0,1481,"woodruff",36,1444,"Not Applicable",5,"6660",33,3,1436,8,28,3,0,0,5,0,1469,12,33,1436,4,8,37,1444,1538509114.34155,261925.286117796,2020-09-14
"138","White",145,145,643,11795,0,9923,2515,570,14,12454,"white",643,11795,"Not Applicable",59,"78804",608,35,11501,294,541,29,14,0,53,6,12109,345,608,11501,51,294,659,11795,2697526482.04468,339075.602124193,2020-09-14
"139","Faulkner",45,45,2031,31187,0,27723,5495,1804,12,33229,"faulkner",2031,31187,"Not Applicable",215,"122416",1978,53,30593,594,1762,42,10,2,206,9,32571,658,1978,30593,64,594,2042,31187,1719292673.13306,220407.99062066,2020-09-14
"140","Conway",29,29,233,5241,0,4534,940,215,3,5474,"conway",233,5241,"Not Applicable",15,"20906",231,2,5170,71,213,2,3,0,15,0,5401,73,231,5170,2,71,233,5241,1466018646.01843,208726.833050194,2020-09-14
"141","Newton",101,101,175,1444,0,1219,400,117,16,1618,"newton",175,1444,"Not Applicable",42,"7848",172,3,1444,0,116,1,15,1,41,1,1616,2,172,1444,2,0,174,1444,2130867828.67175,197624.4003355,2020-09-14
"142","Pope",115,115,1947,17894,0,17151,2690,1834,24,19839,"pope",1947,17894,"Not Applicable",89,"63644",1939,8,17785,109,1827,7,23,1,89,0,19724,115,1939,17785,6,109,1945,17894,2147891752.79688,215833.141399886,2020-09-14
"143","Johnson",71,71,801,6281,0,4930,2152,782,4,7083,"johnson",801,6281,"Not Applicable",15,"26291",800,1,6258,23,781,1,4,0,15,0,7058,25,800,6258,2,23,802,6281,1767434801.76807,208086.242159146,2020-09-14
"144","Van Buren",141,141,157,3302,0,2906,553,132,2,3462,"van buren",157,3302,"Not Applicable",23,"16684",157,0,3253,49,132,0,2,0,23,0,3410,52,157,3253,3,49,160,3302,1873571941.61279,202862.182311102,2020-09-14
"145","Cleburne",23,23,295,5004,0,4841,458,262,7,5300,"cleburne",295,5004,"Not Applicable",26,"25230",286,9,4932,72,255,7,7,0,24,2,5218,82,286,4932,10,72,296,5004,1532699219.27148,160145.803854315,2020-09-14
"146","Poinsett",111,111,569,6449,0,5592,1426,510,7,7016,"poinsett",569,6449,"Not Applicable",52,"24054",562,7,6444,5,503,7,7,0,52,0,7006,10,562,6444,5,5,567,6449,1978621315.45654,195984.20857495,2020-09-14
"147","Craighead",31,31,2389,27431,0,26617,3203,2016,16,29826,"craighead",2389,27431,"https://bit.ly/2T74BCM",356,"105701",2352,37,27396,35,1993,23,16,0,342,14,29748,78,2352,27396,43,35,2395,27431,1846141670.6062,203046.971315213,2020-09-14
"148","Sharp",135,135,167,3166,0,2741,592,144,6,3333,"sharp",167,3166,"https://bit.ly/2T74BCM",17,"17043",166,1,3163,3,144,0,6,0,16,1,3329,4,166,3163,1,3,167,3166,1570672403.03687,220017.018631529,2020-09-14
"149","Izard",65,65,130,2989,0,1548,1571,114,0,3126,"izard",130,2989,"Not Applicable",16,"13559",127,3,2983,6,111,3,0,0,16,0,3110,16,127,2983,10,6,137,2989,1511354352.72925,187594.839051617,2020-09-14
"150","Fulton",49,49,98,1029,0,812,315,83,1,1128,"fulton",98,1029,"https://bit.ly/2T74BCM",14,"12139",95,3,1028,1,81,2,1,0,13,1,1123,5,95,1028,4,1,99,1029,1606270810.8877,180201.700547134,2020-09-14
"151","Stone",137,137,282,2843,0,1966,1159,222,5,3127,"stone",282,2843,"Not Applicable",55,"12446",275,7,2836,7,215,7,5,0,55,0,3111,16,275,2836,9,7,284,2843,1577804238.83069,206836.754761377,2020-09-14
"152","Boone",9,9,533,7704,0,6388,1849,390,5,8238,"boone",533,7704,"https://bit.ly/2T74BCM",138,"37288",521,12,7691,13,383,7,5,0,133,5,8212,26,521,7691,13,13,534,7704,1557916143.12292,169603.300267447,2020-09-14
"153","Missing County Info",5,5,1641,27797,0,29243,195,1031,0,29424,"missing",1641,27797,"Not Applicable",610,"NA",1459,182,26518,1279,891,140,0,0,568,42,27977,1447,1459,26518,168,1279,1627,27797,11297.6600341797,8800.43873569405,2020-09-13
"154","Howard",61,61,448,3359,0,2748,1059,425,8,3811,"howard",448,3359,"Not Applicable",15,"13389",446,2,3354,5,423,2,8,0,15,0,3800,11,446,3354,6,5,452,3359,1541631052.86731,247879.823488919,2020-09-13
"155","Pulaski",119,119,8067,106968,0,96087,18948,7274,121,115103,"pulaski",8067,106968,"Not Applicable",672,"393463",7900,167,105642,1326,7153,121,120,1,627,45,113542,1561,7900,105642,235,1326,8135,106968,2089380947.64233,284069.084631858,2020-09-13
"156","Lonoke",85,85,920,14823,0,13263,2480,820,7,15784,"lonoke",920,14823,"Not Applicable",93,"72206",837,83,14014,809,759,61,7,0,71,22,14851,933,837,14014,124,809,961,14823,2079903589.05444,246137.911494215,2020-09-13
"157","Prairie",117,117,131,1724,0,1484,371,119,1,1857,"prairie",131,1724,"Not Applicable",11,"8244",127,4,1694,30,116,3,1,0,10,1,1821,36,127,1694,6,30,133,1724,1748665963.44409,269110.445244305,2020-09-13
"158","Desha",41,41,260,3227,0,2941,546,239,5,3487,"desha",260,3227,"https://bit.ly/2T74BCM",16,"11887",259,1,3209,18,239,0,5,0,15,1,3468,19,259,3209,1,18,260,3227,2100180171.29761,393743.785753218,2020-09-13
"159","Phillips",107,107,432,5455,0,3679,2208,409,10,5889,"phillips",432,5455,"https://bit.ly/2T74BCM",13,"19034",430,2,5428,27,407,2,10,0,13,0,5858,31,430,5428,4,27,434,5455,1885264368.20239,280421.016626451,2020-09-13
"160","Searcy",129,129,127,1635,0,1465,297,113,0,1761,"searcy",127,1635,"Not Applicable",14,"7923",124,3,1620,15,110,3,0,0,14,0,1744,17,124,1620,2,15,126,1635,1729575196.3103,184103.839471151,2020-09-13
"161","Independence",63,63,906,8996,0,8139,1763,812,12,9911,"independence",906,8996,"Not Applicable",82,"37264",869,37,8977,19,780,32,12,0,77,5,9846,65,869,8977,46,19,915,8996,1997479703.64404,228003.580116565,2020-09-13
"162","Jackson",67,67,243,5509,0,1250,4502,198,1,5767,"jackson",243,5509,"Not Applicable",44,"17225",233,10,5499,10,192,6,1,0,40,4,5732,35,233,5499,25,10,258,5509,1661121959.66943,241190.808602371,2020-09-13
"163","Mississippi",93,93,1499,10343,0,8895,2947,1366,37,11842,"mississippi",1499,10343,"https://bit.ly/2T74BCM",96,"42831",1492,7,10340,3,1361,5,37,0,94,2,11832,10,1492,10340,7,3,1499,10343,2397434695.37231,293377.92435692,2020-09-13
"164","Greene",55,55,715,10969,0,9781,1903,640,7,11688,"greene",715,10969,"https://bit.ly/2T74BCM",68,"44623",712,3,10957,12,638,2,7,0,67,1,11669,19,712,10957,7,12,719,10969,1501198851.64258,195400.850739011,2020-09-13
"165","Clay",21,21,229,3350,0,3143,436,187,5,3580,"clay",229,3350,"https://bit.ly/2T74BCM",36,"15061",227,2,3347,3,185,2,5,0,36,0,3574,6,227,3347,3,3,230,3350,1662039088.03271,230200.839663875,2020-09-13
"166","Randolph",121,121,339,3953,0,3467,825,302,18,4295,"randolph",339,3953,"https://bit.ly/2T74BCM",19,"17603",333,6,3940,13,299,3,18,0,16,3,4273,22,333,3940,9,13,342,3953,1698810411.33374,217781.913013329,2020-09-13
"167","Lawrence",75,75,313,3340,0,2948,705,253,11,3655,"lawrence",313,3340,"Not Applicable",49,"16669",294,19,3333,7,242,11,11,0,41,8,3627,28,294,3333,21,7,315,3340,1533933452.90283,208244.792392098,2020-09-13
"168","Baxter",5,5,207,3328,0,2024,1511,159,1,3537,"baxter",207,3328,"https://bit.ly/2T74BCM",47,"41219",187,20,3321,7,143,16,1,0,43,4,3508,29,187,3321,22,7,209,3328,1518457528.31995,214376.071685134,2020-09-13
"169","Marion",89,89,60,1918,0,1519,459,49,0,1979,"marion",60,1918,"https://bit.ly/2T74BCM",11,"16438",57,3,1914,4,49,0,0,0,8,3,1971,8,57,1914,4,4,61,1918,1657005316.82642,213041.318466841,2020-09-13
"170","Perry",105,105,72,2391,0,2101,362,68,0,2463,"perry",72,2391,"Not Applicable",4,"10322",68,4,2334,57,64,4,0,0,4,0,2402,61,68,2334,4,57,72,2391,1450824197.89246,235691.992000723,2020-09-13
"171","Jefferson",69,69,2514,23680,0,16089,10105,2135,55,26202,"jefferson",2514,23680,"Not Applicable",324,"70424",2493,21,23547,133,2120,15,55,0,318,6,26040,162,2493,23547,29,133,2522,23680,2370994330.72839,284256.349610199,2020-09-13
"172","Washington",143,143,8212,64522,0,58678,14056,7298,87,72807,"washington",8212,64522,"https://bit.ly/2T74BCM",827,"228529",8032,180,64053,469,7209,89,87,0,736,91,72085,722,8032,64053,253,469,8285,64522,2465023834.31018,227692.739748244,2020-09-13
"173","Crawford",33,33,1088,15516,0,14567,2037,964,10,16607,"crawford",1088,15516,"https://bit.ly/2T74BCM",114,"62472",1075,13,15509,7,955,9,10,0,110,4,16584,23,1075,15509,16,7,1091,15516,1565525966.073,218076.568568796,2020-09-13
"174","Little River",81,81,323,1546,0,1522,347,293,18,1867,"little river",323,1546,"https://bit.ly/2T74BCM",12,"12417",318,5,1539,7,288,5,18,0,12,0,1857,10,318,1539,3,7,321,1546,1458314113.76514,321191.714116766,2020-09-13
"175","Miller",91,91,717,5790,0,4313,2194,643,10,6509,"miller",717,5790,"https://bit.ly/2T74BCM",64,"43759",700,17,5761,29,626,17,10,0,64,0,6461,48,700,5761,19,29,719,5790,1651886723.96448,278617.022939423,2020-09-13
"176","Lafayette",73,73,80,829,0,704,205,73,2,910,"lafayette",80,829,"https://bit.ly/2T74BCM",5,"6915",80,0,828,1,73,0,2,0,5,0,908,2,80,828,1,1,81,829,1413353782.99597,240091.990364965,2020-09-13
"177","Columbia",27,27,339,3838,0,2699,1478,295,17,4185,"columbia",339,3838,"https://bit.ly/2T74BCM",27,"23892",333,6,3824,14,290,5,17,0,26,1,4157,28,333,3824,14,14,347,3838,1984584461.05408,189842.983515113,2020-09-13
"178","Union",139,139,796,7618,0,6269,2145,710,25,8418,"union",796,7618,"https://bit.ly/2T74BCM",60,"39732",791,5,7588,30,709,1,25,0,56,4,8379,39,791,7588,9,30,800,7618,2731252909.41418,302655.931877982,2020-09-13
"179","Ashley",3,3,400,4341,0,4113,628,383,8,4742,"ashley",400,4341,"https://bit.ly/2T74BCM",9,"20537",400,0,4324,17,383,0,8,0,9,0,4724,18,400,4324,1,17,401,4341,2434449438.77856,238029.518397571,2020-09-13
"180","Chicot",17,17,976,4405,0,3456,1925,951,14,5381,"chicot",976,4405,"https://bit.ly/2T74BCM",11,"10826",975,1,4395,10,950,1,14,0,11,0,5370,11,975,4395,1,10,976,4405,1788307859.28882,280731.906180036,2020-09-13
"181","Benton",7,7,5849,63013,0,60603,8259,5490,62,68895,"benton",5849,63013,"https://bit.ly/2T74BCM",297,"258980",5793,56,62930,83,5450,40,62,0,281,16,68723,172,5793,62930,89,83,5882,63013,2289858796.17493,259063.794058411,2020-09-13
"182","Carroll",15,15,546,6088,0,4833,1801,474,9,6635,"carroll",546,6088,"https://bit.ly/2T74BCM",63,"27887",545,1,6085,3,473,1,9,0,63,0,6630,5,545,6085,2,3,547,6088,1653084714.83582,212425.446763967,2020-09-13
"183","Madison",87,87,319,3603,0,3596,326,305,2,3924,"madison",319,3603,"Not Applicable",12,"16076",313,6,3592,11,301,4,2,0,10,2,3905,19,313,3592,8,11,321,3603,2166601172.44824,215220.142258456,2020-09-13
"184","Sebastian",131,131,3175,35170,0,34188,4157,2921,40,38349,"sebastian",3175,35170,"https://bit.ly/2T74BCM",213,"127461",3164,11,35160,10,2914,7,40,0,209,4,38324,25,3164,35160,15,10,3179,35170,1411978552.98157,217534.899566746,2020-09-13
"185","Polk",113,113,247,3380,0,2617,1010,231,4,3627,"polk",247,3380,"https://bit.ly/2T74BCM",12,"20163",245,2,3378,2,230,1,4,0,11,1,3623,4,245,3378,2,2,247,3380,2230612446.49585,218300.901651637,2020-09-13
"186","Sevier",133,133,1182,6011,0,6719,474,1149,16,7196,"sevier",1182,6011,"https://bit.ly/2T74BCM",17,"17193",1181,1,6001,10,1148,1,16,0,17,0,7182,14,1181,6001,4,10,1185,6011,1504881480.02832,254407.216997404,2020-09-13
"187","Garland",51,51,1624,23437,0,22677,2384,1449,36,25061,"garland",1624,23437,"Not Applicable",139,"98296",1617,7,23368,69,1444,5,36,0,137,2,24985,76,1617,23368,7,69,1624,23437,1900949402.75073,198708.79682618,2020-09-13
"188","Saline",125,125,1833,23299,0,20458,4674,1662,17,25144,"saline",1833,23299,"Not Applicable",154,"118009",1782,51,22990,309,1625,37,16,1,141,13,24772,372,1782,22990,63,309,1845,23299,1890391625.52527,259324.450169752,2020-09-13
"189","Franklin",47,47,212,4585,0,3659,1138,178,2,4796,"franklin",212,4585,"Not Applicable",32,"17780",209,3,4578,7,175,3,2,0,32,0,4787,9,209,4578,2,7,211,4585,1604366855.28687,221024.220903981,2020-09-13
"190","Scott",127,127,92,1601,0,1429,264,88,1,1693,"scott",92,1601,"https://bit.ly/2T74BCM",3,"10442",92,0,1601,0,88,0,1,0,3,0,1693,0,92,1601,0,0,92,1601,2325588371.05237,235654.491961227,2020-09-13
"191","Logan",83,83,381,5640,0,4518,1503,366,1,6023,"logan",381,5640,"Not Applicable",14,"21757",381,0,5632,8,366,0,1,0,14,0,6013,10,381,5632,2,8,383,5640,1893020842.90564,260765.966043996,2020-09-13
"192","Yell",149,149,1202,8521,0,8320,1403,1151,26,9723,"yell",1202,8521,"Not Applicable",25,"21573",1200,2,8483,38,1149,2,26,0,25,0,9683,40,1200,8483,2,38,1202,8521,2456264851.60352,285291.072549929,2020-09-13
"193","Montgomery",97,97,121,1783,0,1248,656,103,4,1904,"montgomery",121,1783,"Not Applicable",14,"8993",120,1,1768,15,102,1,4,0,14,0,1888,16,120,1768,1,15,121,1783,2072865931.63159,187272.030588765,2020-09-13
"194","Pike",109,109,212,1885,0,1719,378,185,2,2097,"pike",212,1885,"Not Applicable",25,"10808",211,1,1870,15,184,1,2,0,25,0,2081,16,211,1870,1,15,212,1885,1588931949.6095,227895.830370576,2020-09-13
"195","Hempstead",57,57,344,3686,0,2910,1120,335,4,4033,"hempstead",344,3686,"Not Applicable",5,"22018",340,4,3670,16,331,4,4,0,5,0,4010,23,340,3670,7,16,347,3686,1918024030.47583,254684.611749633,2020-09-13
"196","Drew",43,43,332,4812,0,4286,858,313,5,5147,"drew",332,4812,"Not Applicable",14,"18502",328,4,4781,31,310,3,5,0,13,1,5109,38,328,4781,7,31,335,4812,2164050280.56885,194673.142048166,2020-09-13
"197","Bradley",11,11,321,3201,0,2275,1247,298,6,3522,"bradley",321,3201,"Not Applicable",17,"10948",321,0,3199,2,298,0,6,0,17,0,3520,2,321,3199,0,2,321,3201,1689743159.67859,251246.751516417,2020-09-13
"198","Calhoun",13,13,28,1328,0,1192,164,24,0,1356,"calhoun",28,1328,"Not Applicable",4,"5202",27,1,1324,4,23,1,0,0,4,0,1351,5,27,1324,1,4,28,1328,1636688781.8551,257923.684200782,2020-09-13
"199","Ouachita",103,103,212,4543,0,3775,980,168,5,4757,"ouachita",212,4543,"Not Applicable",39,"24106",209,3,4524,19,166,2,5,0,38,1,4733,24,209,4524,5,19,214,4543,1914451452.26355,288817.222837729,2020-09-13
"200","Nevada",99,99,177,2348,0,2027,498,155,12,2525,"nevada",177,2348,"Not Applicable",10,"8440",177,0,2340,8,155,0,12,0,10,0,2517,8,177,2340,0,8,177,2348,1606223501.79431,203918.602261097,2020-09-13
"201","Clark",19,19,277,5230,0,4460,1047,249,4,5507,"clark",277,5230,"Not Applicable",24,"22385",273,4,5213,17,247,2,4,0,22,2,5486,21,273,5213,4,17,277,5230,2285025128.83716,305327.404740804,2020-09-13
"202","Dallas",39,39,154,1726,0,1351,529,131,2,1880,"dallas",154,1726,"Not Applicable",21,"7432",153,1,1718,8,130,1,2,0,21,0,1871,9,153,1718,1,8,154,1726,1728752981.36938,248335.581705109,2020-09-13
"203","Cleveland",25,25,159,2196,0,1633,722,129,9,2356,"cleveland",159,2196,"Not Applicable",21,"8226",157,2,2179,17,128,1,9,0,20,1,2336,20,157,2179,3,17,160,2196,1550112202.25488,191785.27846286,2020-09-13
"204","Lincoln",79,79,1780,5900,0,3137,4543,1595,13,7683,"lincoln",1780,5900,"Not Applicable",172,"13695",1780,0,5891,9,1595,0,13,0,172,0,7671,12,1780,5891,3,9,1783,5900,1475144651.05298,200391.193259746,2020-09-13
"205","Arkansas",1,1,314,4681,0,3937,1058,289,4,5003,"arkansas",314,4681,"Not Applicable",21,"18124",308,6,4486,195,285,4,4,0,19,2,4794,209,308,4486,14,195,322,4681,2689458657.14087,337890.821693229,2020-09-13
"206","Grant",53,53,222,4031,0,3716,537,205,1,4258,"grant",222,4031,"Not Applicable",16,"18086",215,7,3994,37,198,7,1,0,16,0,4209,49,215,3994,12,37,227,4031,1638299260.79211,192015.431574621,2020-09-13
"207","Monroe",95,95,102,1965,0,1734,333,96,0,2067,"monroe",102,1965,"Not Applicable",6,"7249",102,0,1951,14,96,0,0,0,6,0,2053,14,102,1951,0,14,102,1965,1608814698.93091,246946.068155265,2020-09-13
"208","Lee",77,77,1021,3462,0,2376,2107,992,15,4483,"lee",1021,3462,"https://bit.ly/2T74BCM",14,"9398",1020,1,3457,5,992,0,15,0,13,1,4477,6,1020,3457,1,5,1021,3462,1615973756.60767,249884.035819293,2020-09-13
"209","Hot Spring",59,59,1783,9666,0,7026,4423,1721,23,11449,"hot spring",1783,9666,"Not Applicable",39,"33520",1780,3,9638,28,1718,3,23,0,39,0,11418,31,1780,9638,3,28,1783,9666,1610166631.76538,219757.280649162,2020-09-13
"210","St. Francis",123,123,1386,10389,0,9486,2289,1350,4,11775,"saint francis",1386,10389,"Not Applicable",32,"26294",1386,0,10382,7,1350,0,4,0,32,0,11768,7,1386,10382,0,7,1386,10389,1664523033.28198,200638.765000852,2020-09-13
"211","Crittenden",35,35,1801,12386,0,12300,1887,1652,36,14185,"crittenden",1801,12386,"https://bit.ly/2T74BCM",113,"49013",1799,2,12382,4,1650,2,36,0,113,0,14181,4,1799,12382,0,4,1799,12386,1653092887.37305,250119.071780147,2020-09-13
"212","Cross",37,37,367,3798,0,3440,725,298,5,4163,"cross",367,3798,"Not Applicable",64,"16998",363,4,3788,10,294,4,5,0,64,0,4151,12,363,3788,2,10,365,3798,1612034657.20508,165977.208530094,2020-09-13
"213","Woodruff",147,147,32,1430,0,1294,168,31,0,1463,"woodruff",32,1430,"Not Applicable",1,"6660",29,3,1422,8,28,3,0,0,1,0,1451,12,29,1422,4,8,33,1430,1538509114.34155,261925.286117796,2020-09-13
"214","White",145,145,638,11683,0,9827,2494,562,14,12337,"white",638,11683,"Not Applicable",62,"78804",603,35,11390,293,534,28,14,0,55,7,11993,344,603,11390,51,293,654,11683,2697526482.04468,339075.602124193,2020-09-13
"215","Faulkner",45,45,2012,30971,0,27563,5420,1782,12,32994,"faulkner",2012,30971,"Not Applicable",218,"122416",1959,53,30368,603,1742,40,10,2,207,11,32327,667,1959,30368,64,603,2023,30971,1719292673.13306,220407.99062066,2020-09-13
"216","Conway",29,29,231,5196,0,4499,928,215,3,5427,"conway",231,5196,"Not Applicable",13,"20906",229,2,5127,69,213,2,3,0,13,0,5356,71,229,5127,2,69,231,5196,1466018646.01843,208726.833050194,2020-09-13
