"","county_nam","fhwa_numbe","FIPS","positive","negative","pending","lab_prvt","lab_pub","Recoveries","deaths","total_tests","lcase_name","pos_range","neg_range","border_report","active_cases","POP_5YR_EST_2018","confirmed_pos","probable_pos","confirmed_neg","probable_neg","confirmed_recov","probable_recov","confirmed_death","probable_death","confirmed_active","probable_active","pcr_test","antigen_test","pcr_pos_test","pcr_neg_test","antigen_pos_test","antigen_neg_test","total_pos_test","total_neg_test","Shape__Area","Shape__Length","mydate"
"53","Arkansas",1,1,319,4886,0,4137,1068,294,4,5213,"arkansas",319,4886,"Not Applicable",21,"18124",313,6,4690,196,290,4,4,0,19,2,5003,210,313,4690,14,196,327,4886,2689458657.14087,337890.821693229,2020-09-15
"54","Grant",53,53,227,4104,0,3785,546,211,2,4336,"grant",227,4104,"Not Applicable",14,"18086",218,9,4067,37,202,9,2,0,14,0,4285,51,218,4067,14,37,232,4104,1638299260.79211,192015.431574621,2020-09-15
"55","Monroe",95,95,105,1995,0,1759,341,99,0,2100,"monroe",105,1995,"Not Applicable",6,"7249",105,0,1981,14,99,0,0,0,6,0,2086,14,105,1981,0,14,105,1995,1608814698.93091,246946.068155265,2020-09-15
"56","Lee",77,77,1026,3486,0,2400,2112,995,15,4512,"lee",1026,3486,"https://bit.ly/2T74BCM",16,"9398",1025,1,3481,5,995,0,15,0,15,1,4506,6,1025,3481,1,5,1026,3486,1615973756.60767,249884.035819293,2020-09-15
"57","Hot Spring",59,59,1788,9918,0,7143,4563,1729,23,11706,"hot spring",1788,9918,"Not Applicable",36,"33520",1785,3,9889,29,1726,3,23,0,36,0,11674,32,1785,9889,3,29,1788,9918,1610166631.76538,219757.280649162,2020-09-15
"58","St. Francis",123,123,1398,10629,0,9627,2400,1354,4,12027,"saint francis",1398,10629,"Not Applicable",40,"26294",1398,0,10622,7,1354,0,4,0,40,0,12020,7,1398,10622,0,7,1398,10629,1664523033.28198,200638.765000852,2020-09-15
"59","Crittenden",35,35,1809,12482,0,12396,1895,1677,38,14288,"crittenden",1809,12482,"https://bit.ly/2T74BCM",94,"49013",1804,5,12478,4,1673,4,38,0,93,1,14282,6,1804,12478,2,4,1806,12482,1653092887.37305,250119.071780147,2020-09-15
"60","Cross",37,37,381,3924,0,3562,743,303,5,4303,"cross",381,3924,"Not Applicable",73,"16998",377,4,3914,10,299,4,5,0,73,0,4291,12,377,3914,2,10,379,3924,1612034657.20508,165977.208530094,2020-09-15
"61","Woodruff",147,147,36,1462,0,1319,179,31,0,1499,"woodruff",36,1462,"Not Applicable",5,"6660",33,3,1454,8,28,3,0,0,5,0,1487,12,33,1454,4,8,37,1462,1538509114.34155,261925.286117796,2020-09-15
"62","White",145,145,648,12043,0,10062,2629,582,14,12707,"white",648,12043,"Not Applicable",52,"78804",609,39,11741,302,549,33,14,0,46,6,12350,357,609,11741,55,302,664,12043,2697526482.04468,339075.602124193,2020-09-15
