"","Date","County_Name","Total_Positives","Total_Deaths","New_Deaths_7_Day_Avg","New_Deaths_Today","Cases_Per_Death","Clean_New_Deaths_Today"
"62",2020-06-08,"Arkansas_all_counties",9740,155,3.1,1,62.8387096774194,1
"63",2020-06-09,"Arkansas_all_counties",10080,161,3.6,6,62.6086956521739,6
"64",2020-06-10,"Arkansas_all_counties",10368,165,3.3,4,62.8363636363636,4
"65",2020-06-11,"Arkansas_all_counties",10816,171,2.9,6,63.2514619883041,6
"66",2020-06-12,"Arkansas_all_counties",11547,176,3.4,5,65.6079545454545,5
"67",2020-06-13,"Arkansas_all_counties",12095,177,3.3,1,68.3333333333333,1
"68",2020-06-14,"Arkansas_all_counties",12501,179,3.6,2,69.8379888268156,2
"69",2020-06-15,"Arkansas_all_counties",12917,182,3.9,3,70.9725274725275,3
"70",2020-06-16,"Arkansas_all_counties",13191,188,3.9,6,70.1648936170213,6
"71",2020-06-17,"Arkansas_all_counties",13606,197,4.6,9,69.0659898477157,9
"72",2020-06-18,"Arkansas_all_counties",13928,208,5.3,11,66.9615384615385,11
"73",2020-06-19,"Arkansas_all_counties",14631,214,5.4,6,68.3691588785047,6
"74",2020-06-20,"Arkansas_all_counties",15142,224,6.7,10,67.5982142857143,10
"75",2020-06-21,"Arkansas_all_counties",15561,225,6.6,1,69.16,1
"76",2020-06-22,"Arkansas_all_counties",16083,227,6.4,2,70.8502202643172,2
"77",2020-06-23,"Arkansas_all_counties",16678,237,7,10,70.3713080168776,10
"78",2020-06-24,"Arkansas_all_counties",17375,240,6.1,3,72.3958333333333,3
"79",2020-06-25,"Arkansas_all_counties",18062,242,4.9,2,74.6363636363636,2
"80",2020-06-26,"Arkansas_all_counties",18740,249,5,7,75.2610441767068,7
"81",2020-06-27,"Arkansas_all_counties",19310,259,5,10,74.5559845559846,10
"82",2020-06-28,"Arkansas_all_counties",19818,264,5.6,5,75.0681818181818,5
