"","Date","County_Name","Total_Positives","Total_Deaths","New_Deaths_7_Day_Avg","New_Deaths_Today","Cases_Per_Death","Clean_New_Deaths_Today"
"1",2020-04-08,"Arkansas_all_counties",1023,18,NA,0,56.8333333333333,0
"2",2020-04-09,"Arkansas_all_counties",1094,21,NA,3,52.0952380952381,3
"3",2020-04-10,"Arkansas_all_counties",1171,24,NA,3,48.7916666666667,3
"4",2020-04-11,"Arkansas_all_counties",1226,25,NA,1,49.04,1
"5",2020-04-12,"Arkansas_all_counties",1280,27,NA,3,47.4074074074074,3
"6",2020-04-13,"Arkansas_all_counties",1410,30,NA,3,47,3
"7",2020-04-14,"Arkansas_all_counties",1498,32,2.1,2,46.8125,2
"8",2020-04-15,"Arkansas_all_counties",1569,33,2.3,1,47.5454545454545,1
"9",2020-04-16,"Arkansas_all_counties",1620,37,2.4,4,43.7837837837838,4
"10",2020-04-17,"Arkansas_all_counties",1695,38,2.1,1,44.6052631578947,1
"11",2020-04-18,"Arkansas_all_counties",1739,38,2.1,1,45.7631578947368,1
"12",2020-04-19,"Arkansas_all_counties",1781,40,2,2,44.525,2
"13",2020-04-20,"Arkansas_all_counties",1923,42,1.9,2,45.7857142857143,2
"14",2020-04-21,"Arkansas_all_counties",2227,42,1.6,0,53.0238095238095,0
"15",2020-04-22,"Arkansas_all_counties",2276,42,1.4,0,54.1904761904762,0
"16",2020-04-23,"Arkansas_all_counties",2465,45,1.3,3,54.7777777777778,3
"17",2020-04-24,"Arkansas_all_counties",2741,46,1.3,1,59.5869565217391,1
"18",2020-04-25,"Arkansas_all_counties",2830,49,1.6,3,57.7551020408163,3
