"","Date","County_Name","County_Vax_Total","Dose_1","Dose_2","Unk_Dose","Partial_Vax","Fully_Vax","White_Total","White_Full_Pct","Black_Total","Black_Full_Pct","Native_American_Total","Asian_Total","Asian_Full_Pct","Pacific_Islander_Total","Unk_Race_Total","Other_Race_Total","Hispanic_Total","Hispanic_Partial_Vax","Hispanic_Full_Vax","Population","County_Pct_Dose_1","County_Pct_Dose_2","White_Partial_Pct","Black_Partial_Pct","Asian_Partial_Pct","Non_Hispanic_Partial_Pct","Non_Hispanic_Full_Pct","Full_Pct","V1"
"1:28","2021-10-15","Chicot",9288,5147,3957,20,785,4362,3608,43.1,4549,46.3,12,44,14.3,1,599,475,607,13,62.3,8680,59.3,45.6,5.8,9.1,0,7,27.5,"50.3%",NA
"1:29","2021-10-15","Benton",265822,142709,114398,50,19517,123192,199265,43.8,4049,37.5,1809,12319,17.9,1119,12926,34335,44958,10,58.1,231247,61.7,49.5,6.5,6.2,3.6,10,55.2,"53.3%",NA
"1:30","2021-10-15","Carroll",22687,12742,9454,2,2001,10741,17266,35.1,74,14.3,83,312,11.6,292,2419,2241,2523,8,38.4,24422,52.2,38.7,5.5,2,2.2,14,40.8,"44.0%",NA
"1:31","2021-10-15","Madison",13092,7177,5664,4,1047,6130,11041,38.5,40,11.8,84,88,13.5,111,1011,717,938,10,58.6,14093,50.9,40.2,5.9,3.9,4.5,20,50.3,"43.5%",NA
"1:32","2021-10-15","Sebastian",106420,58052,45064,18,8901,49151,77163,39.3,5487,31.7,814,5001,12.2,94,7458,10403,11598,9,38.1,107538,54,41.9,6.2,7.6,3.5,7,41.1,"45.7%",NA
"1:33","2021-10-15","Polk",12397,7134,5133,1,1262,5872,10585,30.5,58,20.5,88,86,10.4,13,727,840,825,7,39.5,17073,41.8,30.1,6.6,6.6,1.5,3,27.1,"34.4%",NA
"1:34","2021-10-15","Sevier",12879,7003,5558,0,900,6103,8145,30.9,514,41.9,80,58,7.6,66,1746,2270,3326,7,36.5,13767,50.9,40.4,4,3.9,1.4,3,30.8,"44.3%",NA
"1:35","2021-10-15","Garland",90756,47698,39499,20,7282,40416,74080,42.9,5276,31.7,253,804,13.7,75,3101,7167,4235,14,41.8,86444,55.2,45.7,7.1,5.7,3,8,43.3,"46.8%",NA
"1:36","2021-10-15","Saline",109766,57628,47976,45,7112,50516,85798,42.4,9588,52.3,242,1316,16.5,117,6163,6542,4901,10,49.8,104254,55.3,46,5.2,8.4,0.6,4,42.6,"48.5%",NA
"1:37","2021-10-15","Franklin",16023,8669,7131,0,926,7743,14489,48.2,88,21.4,60,157,11.4,7,902,320,310,2,34.3,15200,57,46.9,5.5,2.6,3,6,37.4,"50.9%",NA
