"","County_Name","Date","New_Deaths_Today"
"1","Arkansas_all_counties","2020-12-07",53
"2","Arkansas_all_counties","2020-11-16",42
"3","Arkansas_all_counties","2020-12-06",40
"4","Arkansas_all_counties","2020-12-05",34
"5","Arkansas_all_counties","2020-12-03",33
"6","Arkansas_all_counties","2020-11-01",33
"7","Arkansas_all_counties","2020-11-30",32
"8","Arkansas_all_counties","2020-12-04",31
"9","Arkansas_all_counties","2020-11-23",30
"10","Arkansas_all_counties","2020-11-18",30
