"","county_nam","Date","Deaths","Positive","active_cases","Cases_Population"
"2:36","Jefferson",2021-11-28,228,12449,45,17.68
"2:37","Johnson",2021-11-28,58,4678,25,17.79
"2:38","Lafayette",2021-11-28,28,862,4,12.47
"2:39","Lawrence",2021-11-28,62,3467,39,20.8
"2:40","Lee",2021-11-28,52,2183,27,23.23
"2:41","Lincoln",2021-11-28,57,3679,14,26.86
"2:42","LittleRiver",2021-11-28,81,2124,10,17.11
"2:43","Logan",2021-11-28,51,3728,32,17.13
"2:44","Lonoke",2021-11-28,176,12347,155,17.1
"2:45","Madison",2021-11-28,40,2616,75,16.27
"2:46","Marion",2021-11-28,62,2282,47,13.88
"2:47","Miller",2021-11-28,143,6651,49,15.2
"2:48","MissingCountyInfo",2021-11-28,0,5500,277,NA
"2:49","Mississippi",2021-11-28,149,8643,129,20.18
"2:50","Monroe",2021-11-28,25,1204,4,16.61
"2:51","Montgomery",2021-11-28,46,1159,8,12.89
"2:52","Nevada",2021-11-28,40,1411,13,16.72
"2:53","Newton",2021-11-28,39,1215,21,15.48
"2:54","Ouachita",2021-11-28,86,3455,18,14.33
"2:55","Perry",2021-11-28,22,1582,27,15.33
"2:56","Phillips",2021-11-28,77,3234,8,16.99
"2:57","Pike",2021-11-28,37,1752,10,16.21
"2:58","Poinsett",2021-11-28,102,5087,82,21.15
"2:59","Polk",2021-11-28,112,3009,7,14.92
"2:60","Pope",2021-11-28,158,12263,129,19.27
"2:61","Prairie",2021-11-28,29,1288,1,15.62
"2:62","Pulaski",2021-11-28,934,60116,564,15.28
"2:63","Randolph",2021-11-28,64,3444,52,19.56
"2:64","SaintFrancis",2021-11-28,69,4881,18,NA
"2:65","Saline",2021-11-28,246,18911,132,16.03
"2:66","Scott",2021-11-28,31,1759,14,16.85
"2:67","Searcy",2021-11-28,25,1308,23,16.51
"2:68","Sebastian",2021-11-28,393,23135,245,18.15
"2:69","Sevier",2021-11-28,60,4073,32,23.69
"2:70","Sharp",2021-11-28,70,3122,100,18.32
"2:71","Stone",2021-11-28,45,1904,71,15.3
"2:72","Union",2021-11-28,144,5953,71,14.98
"2:73","VanBuren",2021-11-28,44,2280,24,13.67
"2:74","Washington",2021-11-28,493,45653,390,19.98
"2:75","White",2021-11-28,206,13847,221,17.57
"2:76","Woodruff",2021-11-28,24,1140,11,17.12
"2:77","Yell",2021-11-28,81,4772,42,22.12
"2:78","Arkansas_all_counties",2021-11-27,8653,527213,5894,17.78
"2:79","Arkansas_county",2021-11-27,60,3539,17,19.53
"2:80","Ashley",2021-11-27,49,3221,8,15.68
"2:81","Baxter",2021-11-27,187,6122,93,14.85
"2:82","Benton",2021-11-27,629,43745,522,16.89
"2:83","Boone",2021-11-27,131,6431,92,17.25
"2:84","Bradley",2021-11-27,41,2010,14,18.36
"2:85","Calhoun",2021-11-27,8,603,5,11.59
"2:86","Carroll",2021-11-27,75,4401,48,15.78
"2:87","Chicot",2021-11-27,47,2033,3,18.78
"2:88","Clark",2021-11-27,61,3365,43,15.03
"2:89","Clay",2021-11-27,74,2801,43,18.6
"2:90","Cleburne",2021-11-27,95,3951,87,15.66
"2:91","Cleveland",2021-11-27,33,1440,7,17.51
"2:92","Columbia",2021-11-27,74,3410,6,14.27
"2:93","Conway",2021-11-27,46,3245,56,15.52
"2:94","Craighead",2021-11-27,249,22100,243,20.91
"2:95","Crawford",2021-11-27,179,11022,78,17.64
"2:96","Crittenden",2021-11-27,180,8988,71,18.34
"2:97","Cross",2021-11-27,66,3034,14,17.85
"2:98","Dallas",2021-11-27,19,1144,4,15.39
"2:99","Desha",2021-11-27,33,1940,16,16.32
"2:100","Drew",2021-11-27,55,2946,12,15.92
"2:101","Faulkner",2021-11-27,227,20240,316,16.53
"2:102","Franklin",2021-11-27,55,2803,34,15.76
"2:103","Fulton",2021-11-27,67,1873,76,15.43
"2:104","Garland",2021-11-27,399,16170,66,16.45
"2:105","Grant",2021-11-27,50,2908,13,16.08
"2:106","Greene",2021-11-27,125,10362,100,23.22
"2:107","Hempstead",2021-11-27,41,3006,18,13.65
"2:108","HotSpring",2021-11-27,109,7761,52,23.15
"2:109","Howard",2021-11-27,38,2524,25,18.85
"2:110","Independence",2021-11-27,161,6843,225,18.36
"2:111","Izard",2021-11-27,55,2694,71,19.87
"2:112","Jackson",2021-11-27,46,4543,91,26.37
"2:113","Jefferson",2021-11-27,228,12448,46,17.68
"2:114","Johnson",2021-11-27,58,4678,25,17.79
"2:115","Lafayette",2021-11-27,28,862,4,12.47
"2:116","Lawrence",2021-11-27,62,3468,47,20.81
"2:117","Lee",2021-11-27,52,2183,27,23.23
"2:118","Lincoln",2021-11-27,57,3677,13,26.85
"2:119","LittleRiver",2021-11-27,81,2123,9,17.1
"2:120","Logan",2021-11-27,51,3727,36,17.13
"2:121","Lonoke",2021-11-27,176,12334,152,17.08
"2:122","Madison",2021-11-27,40,2613,76,16.25
"2:123","Marion",2021-11-27,62,2281,54,13.88
"2:124","Miller",2021-11-27,143,6651,52,15.2
"2:125","MissingCountyInfo",2021-11-27,0,5492,276,NA
"2:126","Mississippi",2021-11-27,149,8636,132,20.16
"2:127","Monroe",2021-11-27,25,1204,5,16.61
"2:128","Montgomery",2021-11-27,46,1159,8,12.89
"2:129","Nevada",2021-11-27,40,1411,16,16.72
"2:130","Newton",2021-11-27,39,1214,21,15.47
"2:131","Ouachita",2021-11-27,86,3455,21,14.33
"2:132","Perry",2021-11-27,22,1581,29,15.32
"2:133","Phillips",2021-11-27,77,3234,9,16.99
"2:134","Pike",2021-11-27,37,1749,8,16.18
"2:135","Poinsett",2021-11-27,102,5081,80,21.12
"2:136","Polk",2021-11-27,112,3009,7,14.92
"2:137","Pope",2021-11-27,158,12253,130,19.25
"2:138","Prairie",2021-11-27,29,1288,2,15.62
"2:139","Pulaski",2021-11-27,934,60079,559,15.27
"2:140","Randolph",2021-11-27,64,3442,50,19.55
"2:141","SaintFrancis",2021-11-27,69,4880,17,NA
"2:142","Saline",2021-11-27,246,18904,143,16.02
"2:143","Scott",2021-11-27,31,1759,15,16.85
"2:144","Searcy",2021-11-27,25,1306,23,16.48
"2:145","Sebastian",2021-11-27,393,23128,253,18.15
"2:146","Sevier",2021-11-27,60,4071,34,23.68
"2:147","Sharp",2021-11-27,70,3116,99,18.28
"2:148","Stone",2021-11-27,45,1900,76,15.27
"2:149","Union",2021-11-27,144,5944,65,14.96
"2:150","VanBuren",2021-11-27,44,2278,26,13.65
"2:151","Washington",2021-11-27,493,45629,398,19.97
"2:152","White",2021-11-27,206,13836,228,17.56
"2:153","Woodruff",2021-11-27,24,1140,12,17.12
"2:154","Yell",2021-11-27,81,4772,42,22.12
"2:155","Arkansas_all_counties",2021-11-26,8652,526706,5878,17.77
"2:156","Arkansas_county",2021-11-26,60,3531,10,19.48
"2:157","Ashley",2021-11-26,49,3221,8,15.68
"2:158","Baxter",2021-11-26,187,6121,95,14.85
"2:159","Benton",2021-11-26,628,43680,514,16.87
"2:160","Boone",2021-11-26,131,6421,90,17.22
"2:161","Bradley",2021-11-26,41,2009,13,18.35
"2:162","Calhoun",2021-11-26,8,603,6,11.59
"2:163","Carroll",2021-11-26,75,4390,44,15.74
"2:164","Chicot",2021-11-26,47,2033,5,18.78
"2:165","Clark",2021-11-26,61,3365,47,15.03
"2:166","Clay",2021-11-26,74,2799,47,18.58
"2:167","Cleburne",2021-11-26,95,3940,81,15.62
"2:168","Cleveland",2021-11-26,33,1440,7,17.51
"2:169","Columbia",2021-11-26,74,3409,6,14.27
"2:170","Conway",2021-11-26,46,3239,53,15.49
"2:171","Craighead",2021-11-26,249,22090,248,20.9
"2:172","Crawford",2021-11-26,179,11015,79,17.63
"2:173","Crittenden",2021-11-26,180,8984,73,18.33
"2:174","Cross",2021-11-26,66,3032,14,17.84
"2:175","Dallas",2021-11-26,19,1144,4,15.39
"2:176","Desha",2021-11-26,33,1941,17,16.33
"2:177","Drew",2021-11-26,55,2944,10,15.91
"2:178","Faulkner",2021-11-26,227,20222,318,16.52
"2:179","Franklin",2021-11-26,55,2801,34,15.75
"2:180","Fulton",2021-11-26,67,1869,78,15.4
"2:181","Garland",2021-11-26,399,16166,63,16.45
"2:182","Grant",2021-11-26,50,2908,16,16.08
"2:183","Greene",2021-11-26,125,10357,99,23.21
"2:184","Hempstead",2021-11-26,41,3006,19,13.65
"2:185","HotSpring",2021-11-26,109,7759,57,23.15
"2:186","Howard",2021-11-26,38,2524,25,18.85
"2:187","Independence",2021-11-26,161,6827,231,18.32
"2:188","Izard",2021-11-26,55,2692,80,19.85
"2:189","Jackson",2021-11-26,46,4540,92,26.36
"2:190","Jefferson",2021-11-26,228,12447,47,17.67
"2:191","Johnson",2021-11-26,58,4673,21,17.77
"2:192","Lafayette",2021-11-26,28,862,4,12.47
"2:193","Lawrence",2021-11-26,62,3465,56,20.79
"2:194","Lee",2021-11-26,52,2182,27,23.22
"2:195","Lincoln",2021-11-26,57,3676,12,26.84
"2:196","LittleRiver",2021-11-26,81,2122,8,17.09
"2:197","Logan",2021-11-26,51,3726,42,17.13
"2:198","Lonoke",2021-11-26,176,12314,151,17.05
"2:199","Madison",2021-11-26,40,2610,80,16.24
"2:200","Marion",2021-11-26,62,2281,61,13.88
"2:201","Miller",2021-11-26,143,6640,42,15.17
"2:202","MissingCountyInfo",2021-11-26,0,5436,230,NA
"2:203","Mississippi",2021-11-26,149,8623,134,20.13
"2:204","Monroe",2021-11-26,25,1204,5,16.61
"2:205","Montgomery",2021-11-26,46,1158,9,12.88
"2:206","Nevada",2021-11-26,40,1410,16,16.71
"2:207","Newton",2021-11-26,39,1211,21,15.43
"2:208","Ouachita",2021-11-26,86,3455,21,14.33
"2:209","Perry",2021-11-26,22,1578,27,15.29
"2:210","Phillips",2021-11-26,77,3233,8,16.99
"2:211","Pike",2021-11-26,37,1750,11,16.19
"2:212","Poinsett",2021-11-26,102,5076,77,21.1
"2:213","Polk",2021-11-26,112,3008,7,14.92
"2:214","Pope",2021-11-26,158,12243,131,19.24
"2:215","Prairie",2021-11-26,29,1288,2,15.62
"2:216","Pulaski",2021-11-26,934,60027,560,15.26
"2:217","Randolph",2021-11-26,64,3435,45,19.51
"2:218","SaintFrancis",2021-11-26,69,4878,16,NA
"2:219","Saline",2021-11-26,246,18895,146,16.01
"2:220","Scott",2021-11-26,31,1755,13,16.81
"2:221","Searcy",2021-11-26,25,1306,26,16.48
"2:222","Sebastian",2021-11-26,393,23108,255,18.13
"2:223","Sevier",2021-11-26,60,4068,37,23.66
"2:224","Sharp",2021-11-26,70,3112,104,18.26
"2:225","Stone",2021-11-26,45,1898,75,15.25
"2:226","Union",2021-11-26,144,5939,65,14.95
"2:227","VanBuren",2021-11-26,44,2278,28,13.65
"2:228","Washington",2021-11-26,493,45601,408,19.95
"2:229","White",2021-11-26,206,13804,211,17.52
"2:230","Woodruff",2021-11-26,24,1139,12,17.1
"2:231","Yell",2021-11-26,81,4770,44,22.11
"2:232","Arkansas_all_counties",2021-11-25,8652,526403,6173,17.76
"2:233","Arkansas_county",2021-11-25,60,3533,14,19.49
"2:234","Ashley",2021-11-25,49,3221,8,15.68
"2:235","Baxter",2021-11-25,187,6117,102,14.84
"2:236","Benton",2021-11-25,628,43658,545,16.86
"2:237","Boone",2021-11-25,131,6414,91,17.2
"2:238","Bradley",2021-11-25,41,2006,11,18.32
"2:239","Calhoun",2021-11-25,8,602,6,11.57
"2:240","Carroll",2021-11-25,75,4385,42,15.72
"2:241","Chicot",2021-11-25,47,2033,5,18.78
"2:242","Clark",2021-11-25,61,3362,47,15.02
"2:243","Clay",2021-11-25,74,2798,49,18.58
"2:244","Cleburne",2021-11-25,95,3933,83,15.59
"2:245","Cleveland",2021-11-25,33,1440,8,17.51
"2:246","Columbia",2021-11-25,74,3409,8,14.27
"2:247","Conway",2021-11-25,46,3238,53,15.49
"2:248","Craighead",2021-11-25,249,22077,260,20.89
"2:249","Crawford",2021-11-25,179,11010,81,17.62
"2:250","Crittenden",2021-11-25,180,8981,77,18.32
"2:251","Cross",2021-11-25,66,3031,16,17.83
"2:252","Dallas",2021-11-25,19,1144,4,15.39
"2:253","Desha",2021-11-25,33,1937,13,16.3
"2:254","Drew",2021-11-25,55,2944,12,15.91
"2:255","Faulkner",2021-11-25,227,20209,350,16.51
"2:256","Franklin",2021-11-25,55,2799,36,15.74
"2:257","Fulton",2021-11-25,67,1864,80,15.36
"2:258","Garland",2021-11-25,399,16158,63,16.44
"2:259","Grant",2021-11-25,50,2906,15,16.07
"2:260","Greene",2021-11-25,125,10352,105,23.2
"2:261","Hempstead",2021-11-25,41,3005,24,13.65
"2:262","HotSpring",2021-11-25,109,7757,55,23.14
"2:263","Howard",2021-11-25,38,2524,30,18.85
"2:264","Independence",2021-11-25,161,6814,236,18.29
"2:265","Izard",2021-11-25,55,2692,87,19.85
"2:266","Jackson",2021-11-25,46,4520,79,26.24
"2:267","Jefferson",2021-11-25,228,12447,51,17.67
"2:268","Johnson",2021-11-25,58,4670,19,17.76
"2:269","Lafayette",2021-11-25,28,862,5,12.47
"2:270","Lawrence",2021-11-25,62,3464,60,20.78
"2:271","Lee",2021-11-25,52,2174,19,23.13
"2:272","Lincoln",2021-11-25,57,3676,13,26.84
"2:273","LittleRiver",2021-11-25,81,2122,8,17.09
"2:274","Logan",2021-11-25,51,3724,43,17.12
"2:275","Lonoke",2021-11-25,176,12308,159,17.05
"2:276","Madison",2021-11-25,40,2610,87,16.24
"2:277","Marion",2021-11-25,62,2279,71,13.86
"2:278","Miller",2021-11-25,143,6636,42,15.16
"2:279","MissingCountyInfo",2021-11-25,0,5416,228,NA
"2:280","Mississippi",2021-11-25,149,8622,145,20.13
"2:281","Monroe",2021-11-25,25,1204,6,16.61
"2:282","Montgomery",2021-11-25,46,1157,8,12.87
"2:283","Nevada",2021-11-25,40,1408,16,16.68
"2:284","Newton",2021-11-25,39,1210,21,15.42
"2:285","Ouachita",2021-11-25,86,3455,22,14.33
"2:286","Perry",2021-11-25,22,1577,27,15.28
"2:287","Phillips",2021-11-25,77,3232,8,16.98
"2:288","Pike",2021-11-25,37,1750,12,16.19
"2:289","Poinsett",2021-11-25,102,5071,79,21.08
"2:290","Polk",2021-11-25,112,3007,6,14.91
"2:291","Pope",2021-11-25,158,12238,137,19.23
"2:292","Prairie",2021-11-25,29,1288,2,15.62
"2:293","Pulaski",2021-11-25,934,60004,598,15.25
"2:294","Randolph",2021-11-25,64,3435,46,19.51
"2:295","SaintFrancis",2021-11-25,69,4878,17,NA
"2:296","Saline",2021-11-25,246,18885,156,16
"2:297","Scott",2021-11-25,31,1755,15,16.81
"2:298","Searcy",2021-11-25,25,1306,29,16.48
"2:299","Sebastian",2021-11-25,393,23095,278,18.12
"2:300","Sevier",2021-11-25,60,4066,37,23.65
"2:301","Sharp",2021-11-25,70,3111,114,18.25
"2:302","Stone",2021-11-25,45,1897,80,15.24
"2:303","Union",2021-11-25,144,5938,68,14.95
"2:304","VanBuren",2021-11-25,44,2278,32,13.65
"2:305","Washington",2021-11-25,493,45575,434,19.94
"2:306","White",2021-11-25,206,13794,225,17.5
"2:307","Woodruff",2021-11-25,24,1139,12,17.1
"2:308","Yell",2021-11-25,81,4767,43,22.1
"2:309","Arkansas_all_counties",2021-11-24,8643,525824,6163,17.74
"2:310","Arkansas_county",2021-11-24,60,3530,14,19.48
"2:311","Ashley",2021-11-24,49,3219,6,15.67
"2:312","Baxter",2021-11-24,186,6113,111,14.83
"2:313","Benton",2021-11-24,628,43626,583,16.85
"2:314","Boone",2021-11-24,131,6405,90,17.18
"2:315","Bradley",2021-11-24,41,2006,13,18.32
"2:316","Calhoun",2021-11-24,8,601,5,11.55
"2:317","Carroll",2021-11-24,75,4379,41,15.7
"2:318","Chicot",2021-11-24,47,2033,5,18.78
"2:319","Clark",2021-11-24,61,3359,47,15.01
"2:320","Clay",2021-11-24,74,2793,47,18.54
"2:321","Cleburne",2021-11-24,94,3918,78,15.53
"2:322","Cleveland",2021-11-24,33,1439,7,17.49
"2:323","Columbia",2021-11-24,74,3410,10,14.27
"2:324","Conway",2021-11-24,46,3234,52,15.47
"2:325","Craighead",2021-11-24,248,22048,253,20.86
"2:326","Crawford",2021-11-24,179,11004,85,17.61
"2:327","Crittenden",2021-11-24,180,8979,85,18.32
"2:328","Cross",2021-11-24,66,3031,16,17.83
"2:329","Dallas",2021-11-24,19,1144,4,15.39
"2:330","Desha",2021-11-24,33,1937,13,16.3
"2:331","Drew",2021-11-24,55,2943,11,15.91
"2:332","Faulkner",2021-11-24,227,20174,341,16.48
"2:333","Franklin",2021-11-24,55,2799,37,15.74
"2:334","Fulton",2021-11-24,67,1857,77,15.3
"2:335","Garland",2021-11-24,399,16157,69,16.44
"2:336","Grant",2021-11-24,50,2903,14,16.05
"2:337","Greene",2021-11-24,125,10342,110,23.18
"2:338","Hempstead",2021-11-24,41,3003,22,13.64
"2:339","HotSpring",2021-11-24,109,7751,51,23.12
"2:340","Howard",2021-11-24,38,2517,27,18.8
"2:341","Independence",2021-11-24,161,6788,227,18.22
"2:342","Izard",2021-11-24,55,2691,91,19.85
"2:343","Jackson",2021-11-24,46,4516,92,26.22
"2:344","Jefferson",2021-11-24,228,12443,50,17.67
"2:345","Johnson",2021-11-24,58,4666,17,17.75
"2:346","Lafayette",2021-11-24,28,862,7,12.47
"2:347","Lawrence",2021-11-24,60,3462,75,20.77
"2:348","Lee",2021-11-24,52,2166,11,23.05
"2:349","Lincoln",2021-11-24,57,3675,13,26.83
"2:350","LittleRiver",2021-11-24,80,2121,10,17.08
"2:351","Logan",2021-11-24,51,3721,41,17.1
"2:352","Lonoke",2021-11-24,176,12295,154,17.03
"2:353","Madison",2021-11-24,40,2604,86,16.2
"2:354","Marion",2021-11-24,62,2271,74,13.82
"2:355","Miller",2021-11-24,143,6622,32,15.13
"2:356","MissingCountyInfo",2021-11-24,0,5354,176,NA
"2:357","Mississippi",2021-11-24,148,8603,146,20.09
"2:358","Monroe",2021-11-24,25,1204,6,16.61
"2:359","Montgomery",2021-11-24,46,1156,10,12.85
"2:360","Nevada",2021-11-24,40,1404,14,16.64
"2:361","Newton",2021-11-24,39,1208,24,15.39
"2:362","Ouachita",2021-11-24,86,3452,23,14.32
"2:363","Perry",2021-11-24,22,1577,27,15.28
"2:364","Phillips",2021-11-24,77,3231,8,16.97
"2:365","Pike",2021-11-24,37,1748,14,16.17
"2:366","Poinsett",2021-11-24,102,5066,77,21.06
"2:367","Polk",2021-11-24,112,3007,7,14.91
"2:368","Pope",2021-11-24,158,12229,137,19.21
"2:369","Prairie",2021-11-24,29,1288,2,15.62
"2:370","Pulaski",2021-11-24,934,59976,631,15.24
"2:371","Randolph",2021-11-24,64,3426,43,19.46
"2:372","SaintFrancis",2021-11-24,69,4878,17,NA
"2:373","Saline",2021-11-24,246,18877,155,16
"2:374","Scott",2021-11-24,31,1754,15,16.8
"2:375","Searcy",2021-11-24,25,1306,32,16.48
"2:376","Sebastian",2021-11-24,393,23069,276,18.1
"2:377","Sevier",2021-11-24,60,4064,41,23.64
"2:378","Sharp",2021-11-24,70,3104,114,18.21
"2:379","Stone",2021-11-24,45,1893,80,15.21
"2:380","Union",2021-11-24,142,5930,65,14.92
"2:381","VanBuren",2021-11-24,44,2275,30,13.64
