"","county_nam","Date","Deaths","Positive","active_cases","Cases_Population"
"2:5873","Dallas",2021-09-12,18,1092,37,14.69
"2:5874","Desha",2021-09-12,26,1742,61,14.65
"2:5875","Drew",2021-09-12,53,2649,91,14.32
"2:5876","Faulkner",2021-09-12,198,18290,590,14.94
"2:5877","Franklin",2021-09-12,47,2521,187,14.18
"2:5878","Fulton",2021-09-12,52,1586,73,13.07
"2:5879","Garland",2021-09-12,349,15097,470,15.36
"2:5880","Grant",2021-09-12,46,2726,106,15.07
"2:5881","Greene",2021-09-12,100,9015,519,20.2
"2:5882","Hempstead",2021-09-12,23,2694,110,12.24
"2:5883","HotSpring",2021-09-12,102,7214,253,21.52
"2:5884","Howard",2021-09-12,28,2236,112,16.7
"2:5885","Independence",2021-09-12,151,5530,215,14.84
"2:5886","Izard",2021-09-12,53,2263,55,16.69
"2:5887","Jackson",2021-09-12,41,3878,131,22.51
"2:5888","Jefferson",2021-09-12,213,11950,254,16.97
"2:5889","Johnson",2021-09-12,54,4220,276,16.05
"2:5890","Lafayette",2021-09-12,11,771,34,11.15
"2:5891","Lawrence",2021-09-12,47,2957,228,17.74
"2:5892","Lee",2021-09-12,41,1975,39,21.02
"2:5893","Lincoln",2021-09-12,55,3597,35,26.27
"2:5894","LittleRiver",2021-09-12,44,1803,122,14.52
"2:5895","Logan",2021-09-12,34,3282,194,15.08
"2:5896","Lonoke",2021-09-12,163,11147,430,15.44
"2:5897","Madison",2021-09-12,35,2286,140,14.22
"2:5898","Marion",2021-09-12,54,1973,58,12
"2:5899","Miller",2021-09-12,39,5803,319,13.26
"2:5900","MissingCountyInfo",2021-09-12,0,5107,533,NA
"2:5901","Mississippi",2021-09-12,122,7462,456,17.42
"2:5902","Monroe",2021-09-12,21,1125,39,15.52
"2:5903","Montgomery",2021-09-12,36,1064,59,11.83
"2:5904","Nevada",2021-09-12,29,1178,72,13.96
"2:5905","Newton",2021-09-12,29,1113,22,14.18
"2:5906","Ouachita",2021-09-12,72,3265,145,13.54
"2:5907","Perry",2021-09-12,16,1400,69,13.56
"2:5908","Phillips",2021-09-12,63,2976,256,15.64
"2:5909","Pike",2021-09-12,32,1561,119,14.44
"2:5910","Poinsett",2021-09-12,94,4502,264,18.72
"2:5911","Polk",2021-09-12,93,2709,124,13.44
"2:5912","Pope",2021-09-12,140,11160,498,17.54
"2:5913","Prairie",2021-09-12,27,1236,52,14.99
"2:5914","Pulaski",2021-09-12,835,55674,1522,14.15
"2:5915","Randolph",2021-09-12,50,2892,168,16.43
"2:5916","SaintFrancis",2021-09-12,54,4464,200,NA
"2:5917","Saline",2021-09-12,220,17423,543,14.76
"2:5918","Scott",2021-09-12,21,1459,180,13.97
"2:5919","Searcy",2021-09-12,23,1189,44,15.01
"2:5920","Sebastian",2021-09-12,319,20588,922,16.15
"2:5921","Sevier",2021-09-12,31,3491,141,20.3
"2:5922","Sharp",2021-09-12,59,2473,161,14.51
"2:5923","Stone",2021-09-12,38,1514,53,12.16
"2:5924","Union",2021-09-12,122,5158,208,12.98
"2:5925","VanBuren",2021-09-12,35,1932,76,11.58
"2:5926","Washington",2021-09-12,432,41702,1431,18.25
"2:5927","White",2021-09-12,170,12208,428,15.49
"2:5928","Woodruff",2021-09-12,19,992,76,14.89
"2:5929","Yell",2021-09-12,73,4326,211,20.05
"2:5930","Arkansas_all_counties",2021-09-11,7232,473885,19853,15.99
"2:5931","Arkansas_county",2021-09-11,54,3242,144,17.89
"2:5932","Ashley",2021-09-11,39,2903,189,14.14
"2:5933","Baxter",2021-09-11,157,5527,119,13.41
"2:5934","Benton",2021-09-11,539,39131,1374,15.11
"2:5935","Boone",2021-09-11,105,5809,181,15.58
"2:5936","Bradley",2021-09-11,37,1874,103,17.12
"2:5937","Calhoun",2021-09-11,7,553,17,10.63
"2:5938","Carroll",2021-09-11,62,4059,180,14.56
"2:5939","Chicot",2021-09-11,43,1908,62,17.62
"2:5940","Clark",2021-09-11,50,2974,153,13.29
"2:5941","Clay",2021-09-11,53,2429,166,16.13
"2:5942","Cleburne",2021-09-11,85,3338,197,13.23
"2:5943","Cleveland",2021-09-11,30,1309,30,15.91
"2:5944","Columbia",2021-09-11,61,3163,153,13.24
"2:5945","Conway",2021-09-11,41,2930,124,14.02
"2:5946","Craighead",2021-09-11,218,19525,1036,18.47
"2:5947","Crawford",2021-09-11,149,9707,665,15.54
"2:5948","Crittenden",2021-09-11,113,7989,390,16.3
"2:5949","Cross",2021-09-11,58,2667,125,15.69
"2:5950","Dallas",2021-09-11,18,1092,38,14.69
"2:5951","Desha",2021-09-11,26,1741,61,14.65
"2:5952","Drew",2021-09-11,53,2640,89,14.27
"2:5953","Faulkner",2021-09-11,198,18278,624,14.93
"2:5954","Franklin",2021-09-11,47,2512,193,14.13
"2:5955","Fulton",2021-09-11,52,1580,68,13.02
"2:5956","Garland",2021-09-11,347,15074,482,15.34
"2:5957","Grant",2021-09-11,46,2723,109,15.06
"2:5958","Greene",2021-09-11,99,8995,550,20.16
"2:5959","Hempstead",2021-09-11,23,2689,110,12.21
"2:5960","HotSpring",2021-09-11,102,7189,234,21.45
"2:5961","Howard",2021-09-11,28,2234,117,16.69
"2:5962","Independence",2021-09-11,151,5523,226,14.82
"2:5963","Izard",2021-09-11,53,2259,53,16.66
"2:5964","Jackson",2021-09-11,41,3874,137,22.49
"2:5965","Jefferson",2021-09-11,212,11943,268,16.96
"2:5966","Johnson",2021-09-11,54,4193,271,15.95
"2:5967","Lafayette",2021-09-11,11,765,29,11.06
"2:5968","Lawrence",2021-09-11,47,2945,229,17.67
"2:5969","Lee",2021-09-11,41,1970,38,20.96
"2:5970","Lincoln",2021-09-11,55,3595,36,26.25
"2:5971","LittleRiver",2021-09-11,44,1793,114,14.44
"2:5972","Logan",2021-09-11,33,3277,203,15.06
"2:5973","Lonoke",2021-09-11,163,11125,455,15.41
"2:5974","Madison",2021-09-11,33,2279,146,14.18
"2:5975","Marion",2021-09-11,54,1971,60,11.99
"2:5976","Miller",2021-09-11,39,5760,291,13.16
"2:5977","MissingCountyInfo",2021-09-11,0,5083,526,NA
"2:5978","Mississippi",2021-09-11,122,7429,448,17.34
"2:5979","Monroe",2021-09-11,21,1116,30,15.4
"2:5980","Montgomery",2021-09-11,35,1063,66,11.82
"2:5981","Nevada",2021-09-11,29,1176,74,13.93
"2:5982","Newton",2021-09-11,29,1112,23,14.17
"2:5983","Ouachita",2021-09-11,70,3261,150,13.53
"2:5984","Perry",2021-09-11,16,1394,67,13.51
"2:5985","Phillips",2021-09-11,62,2956,243,15.53
"2:5986","Pike",2021-09-11,32,1558,123,14.42
"2:5987","Poinsett",2021-09-11,93,4480,255,18.62
"2:5988","Polk",2021-09-11,92,2692,121,13.35
"2:5989","Pope",2021-09-11,140,11131,512,17.49
"2:5990","Prairie",2021-09-11,27,1235,54,14.98
"2:5991","Pulaski",2021-09-11,835,55598,1571,14.13
"2:5992","Randolph",2021-09-11,50,2887,176,16.4
"2:5993","SaintFrancis",2021-09-11,54,4455,202,NA
"2:5994","Saline",2021-09-11,218,17389,545,14.74
"2:5995","Scott",2021-09-11,21,1444,181,13.83
"2:5996","Searcy",2021-09-11,21,1185,46,14.96
"2:5997","Sebastian",2021-09-11,318,20548,942,16.12
"2:5998","Sevier",2021-09-11,31,3485,152,20.27
"2:5999","Sharp",2021-09-11,59,2465,156,14.46
"2:6000","Stone",2021-09-11,38,1508,49,12.12
"2:6001","Union",2021-09-11,122,5151,217,12.96
"2:6002","VanBuren",2021-09-11,35,1927,75,11.55
"2:6003","Washington",2021-09-11,429,41609,1470,18.21
"2:6004","White",2021-09-11,170,12189,455,15.47
"2:6005","Woodruff",2021-09-11,19,989,76,14.85
"2:6006","Yell",2021-09-11,73,4314,209,20
"2:6007","Arkansas_all_counties",2021-09-10,7199,472136,19742,15.93
"2:6008","Arkansas_county",2021-09-10,54,3224,140,17.79
"2:6009","Ashley",2021-09-10,39,2884,188,14.04
"2:6010","Baxter",2021-09-10,156,5512,114,13.37
"2:6011","Benton",2021-09-10,539,39004,1356,15.06
"2:6012","Boone",2021-09-10,104,5793,186,15.54
"2:6013","Bradley",2021-09-10,37,1861,98,17
"2:6014","Calhoun",2021-09-10,7,552,19,10.61
"2:6015","Carroll",2021-09-10,62,4048,181,14.52
"2:6016","Chicot",2021-09-10,43,1900,57,17.55
"2:6017","Clark",2021-09-10,49,2963,156,13.24
"2:6018","Clay",2021-09-10,53,2412,162,16.01
"2:6019","Cleburne",2021-09-10,85,3323,196,13.17
"2:6020","Cleveland",2021-09-10,30,1303,25,15.84
"2:6021","Columbia",2021-09-10,61,3157,160,13.21
"2:6022","Conway",2021-09-10,41,2919,122,13.96
"2:6023","Craighead",2021-09-10,214,19434,1030,18.39
"2:6024","Crawford",2021-09-10,149,9617,638,15.39
"2:6025","Crittenden",2021-09-10,113,7959,395,16.24
"2:6026","Cross",2021-09-10,58,2660,128,15.65
"2:6027","Dallas",2021-09-10,18,1092,42,14.69
"2:6028","Desha",2021-09-10,26,1737,61,14.61
"2:6029","Drew",2021-09-10,53,2629,87,14.21
"2:6030","Faulkner",2021-09-10,198,18233,629,14.89
"2:6031","Franklin",2021-09-10,47,2494,185,14.03
"2:6032","Fulton",2021-09-10,52,1571,62,12.94
"2:6033","Garland",2021-09-10,344,15056,513,15.32
"2:6034","Grant",2021-09-10,45,2713,110,15
"2:6035","Greene",2021-09-10,99,8953,551,20.06
"2:6036","Hempstead",2021-09-10,23,2682,109,12.18
"2:6037","HotSpring",2021-09-10,102,7171,231,21.39
"2:6038","Howard",2021-09-10,28,2222,112,16.6
"2:6039","Independence",2021-09-10,149,5508,223,14.78
"2:6040","Izard",2021-09-10,53,2249,45,16.59
"2:6041","Jackson",2021-09-10,41,3853,123,22.37
"2:6042","Jefferson",2021-09-10,212,11925,277,16.93
"2:6043","Johnson",2021-09-10,53,4167,273,15.85
"2:6044","Lafayette",2021-09-10,11,763,28,11.03
"2:6045","Lawrence",2021-09-10,47,2911,218,17.46
"2:6046","Lee",2021-09-10,41,1968,39,20.94
"2:6047","Lincoln",2021-09-10,55,3592,36,26.23
"2:6048","LittleRiver",2021-09-10,44,1784,113,14.37
"2:6049","Logan",2021-09-10,33,3254,199,14.96
"2:6050","Lonoke",2021-09-10,162,11086,472,15.35
"2:6051","Madison",2021-09-10,33,2268,146,14.11
"2:6052","Marion",2021-09-10,53,1962,63,11.94
"2:6053","Miller",2021-09-10,39,5718,258,13.07
"2:6054","MissingCountyInfo",2021-09-10,0,5029,489,NA
"2:6055","Mississippi",2021-09-10,121,7391,439,17.26
"2:6056","Monroe",2021-09-10,21,1113,30,15.35
"2:6057","Montgomery",2021-09-10,35,1058,69,11.76
"2:6058","Nevada",2021-09-10,29,1166,65,13.82
"2:6059","Newton",2021-09-10,29,1112,25,14.17
"2:6060","Ouachita",2021-09-10,70,3245,139,13.46
"2:6061","Perry",2021-09-10,16,1386,61,13.43
"2:6062","Phillips",2021-09-10,62,2939,244,15.44
"2:6063","Pike",2021-09-10,32,1546,131,14.3
"2:6064","Poinsett",2021-09-10,93,4461,259,18.55
"2:6065","Polk",2021-09-10,91,2679,127,13.29
"2:6066","Pope",2021-09-10,137,11093,531,17.43
"2:6067","Prairie",2021-09-10,27,1232,53,14.94
"2:6068","Pulaski",2021-09-10,829,55473,1571,14.1
"2:6069","Randolph",2021-09-10,50,2870,171,16.3
"2:6070","SaintFrancis",2021-09-10,54,4450,208,NA
"2:6071","Saline",2021-09-10,218,17352,563,14.7
"2:6072","Scott",2021-09-10,20,1427,174,13.67
"2:6073","Searcy",2021-09-10,21,1178,45,14.87
"2:6074","Sebastian",2021-09-10,318,20455,943,16.05
"2:6075","Sevier",2021-09-10,31,3470,141,20.18
"2:6076","Sharp",2021-09-10,59,2444,145,14.34
"2:6077","Stone",2021-09-10,38,1506,53,12.1
"2:6078","Union",2021-09-10,121,5130,209,12.91
"2:6079","VanBuren",2021-09-10,35,1922,74,11.52
"2:6080","Washington",2021-09-10,426,41489,1500,18.15
"2:6081","White",2021-09-10,169,12151,445,15.42
"2:6082","Woodruff",2021-09-10,19,984,75,14.77
"2:6083","Yell",2021-09-10,73,4299,207,19.93
"2:6084","Arkansas_all_counties",2021-09-09,7169,469977,19714,15.85
"2:6085","Arkansas_county",2021-09-09,54,3204,133,17.68
"2:6086","Ashley",2021-09-09,39,2864,182,13.95
"2:6087","Baxter",2021-09-09,156,5495,115,13.33
"2:6088","Benton",2021-09-09,535,38862,1361,15.01
"2:6089","Boone",2021-09-09,103,5768,181,15.47
"2:6090","Bradley",2021-09-09,36,1853,95,16.93
"2:6091","Calhoun",2021-09-09,7,550,19,10.57
"2:6092","Carroll",2021-09-09,62,4033,186,14.46
"2:6093","Chicot",2021-09-09,43,1893,60,17.49
"2:6094","Clark",2021-09-09,48,2940,155,13.13
"2:6095","Clay",2021-09-09,52,2395,161,15.9
"2:6096","Cleburne",2021-09-09,85,3304,199,13.1
"2:6097","Cleveland",2021-09-09,29,1299,26,15.79
"2:6098","Columbia",2021-09-09,61,3144,162,13.16
"2:6099","Conway",2021-09-09,41,2898,121,13.86
"2:6100","Craighead",2021-09-09,213,19352,1066,18.31
"2:6101","Crawford",2021-09-09,147,9531,614,15.26
"2:6102","Crittenden",2021-09-09,113,7920,387,16.16
"2:6103","Cross",2021-09-09,58,2641,121,15.54
"2:6104","Dallas",2021-09-09,18,1087,38,14.63
"2:6105","Desha",2021-09-09,26,1732,62,14.57
"2:6106","Drew",2021-09-09,53,2618,91,14.15
"2:6107","Faulkner",2021-09-09,198,18190,651,14.86
"2:6108","Franklin",2021-09-09,47,2468,180,13.88
"2:6109","Fulton",2021-09-09,52,1559,54,12.84
"2:6110","Garland",2021-09-09,343,14997,523,15.26
"2:6111","Grant",2021-09-09,45,2701,112,14.93
"2:6112","Greene",2021-09-09,98,8888,560,19.92
"2:6113","Hempstead",2021-09-09,22,2665,111,12.1
"2:6114","HotSpring",2021-09-09,102,7141,227,21.3
"2:6115","Howard",2021-09-09,28,2206,110,16.48
"2:6116","Independence",2021-09-09,149,5478,216,14.7
"2:6117","Izard",2021-09-09,53,2246,44,16.56
"2:6118","Jackson",2021-09-09,41,3848,135,22.34
"2:6119","Jefferson",2021-09-09,211,11886,276,16.88
"2:6120","Johnson",2021-09-09,52,4123,256,15.68
"2:6121","Lafayette",2021-09-09,11,762,29,11.02
"2:6122","Lawrence",2021-09-09,47,2876,204,17.25
"2:6123","Lee",2021-09-09,40,1960,34,20.86
"2:6124","Lincoln",2021-09-09,55,3586,34,26.18
"2:6125","LittleRiver",2021-09-09,44,1768,104,14.24
"2:6126","Logan",2021-09-09,33,3238,209,14.88
"2:6127","Lonoke",2021-09-09,162,11042,475,15.29
"2:6128","Madison",2021-09-09,33,2258,150,14.05
"2:6129","Marion",2021-09-09,53,1957,71,11.91
"2:6130","Miller",2021-09-09,39,5669,241,12.96
"2:6131","MissingCountyInfo",2021-09-09,0,5024,494,NA
"2:6132","Mississippi",2021-09-09,120,7340,425,17.14
"2:6133","Monroe",2021-09-09,21,1110,28,15.31
"2:6134","Montgomery",2021-09-09,35,1050,65,11.68
"2:6135","Nevada",2021-09-09,29,1162,66,13.77
"2:6136","Newton",2021-09-09,29,1109,29,14.13
"2:6137","Ouachita",2021-09-09,68,3221,135,13.36
"2:6138","Perry",2021-09-09,16,1376,61,13.33
"2:6139","Phillips",2021-09-09,62,2904,247,15.26
"2:6140","Pike",2021-09-09,32,1541,139,14.26
"2:6141","Poinsett",2021-09-09,93,4437,256,18.45
"2:6142","Polk",2021-09-09,90,2661,126,13.2
"2:6143","Pope",2021-09-09,137,11035,544,17.34
"2:6144","Prairie",2021-09-09,27,1225,49,14.86
"2:6145","Pulaski",2021-09-09,828,55300,1559,14.05
"2:6146","Randolph",2021-09-09,50,2853,185,16.21
"2:6147","SaintFrancis",2021-09-09,54,4423,196,NA
"2:6148","Saline",2021-09-09,217,17289,562,14.65
"2:6149","Scott",2021-09-09,20,1404,161,13.45
"2:6150","Searcy",2021-09-09,21,1173,45,14.8
"2:6151","Sebastian",2021-09-09,315,20339,925,15.96
"2:6152","Sevier",2021-09-09,31,3456,135,20.1
"2:6153","Sharp",2021-09-09,59,2429,145,14.25
"2:6154","Stone",2021-09-09,38,1499,52,12.04
"2:6155","Union",2021-09-09,121,5082,196,12.79
"2:6156","VanBuren",2021-09-09,35,1916,72,11.48
"2:6157","Washington",2021-09-09,424,41351,1550,18.09
"2:6158","White",2021-09-09,168,12114,450,15.37
"2:6159","Woodruff",2021-09-09,19,978,71,14.68
"2:6160","Yell",2021-09-09,73,4281,205,19.84
"2:6161","Arkansas_all_counties",2021-09-08,7142,467496,19500,15.77
"2:6162","Arkansas_county",2021-09-08,54,3195,140,17.63
"2:6163","Ashley",2021-09-08,39,2851,186,13.88
"2:6164","Baxter",2021-09-08,156,5480,115,13.29
"2:6165","Benton",2021-09-08,534,38652,1325,14.92
"2:6166","Boone",2021-09-08,103,5736,168,15.38
"2:6167","Bradley",2021-09-08,36,1843,92,16.83
"2:6168","Calhoun",2021-09-08,7,545,16,10.48
"2:6169","Carroll",2021-09-08,62,4009,181,14.38
"2:6170","Chicot",2021-09-08,42,1880,53,17.37
"2:6171","Clark",2021-09-08,47,2928,162,13.08
"2:6172","Clay",2021-09-08,52,2373,152,15.76
"2:6173","Cleburne",2021-09-08,84,3274,192,12.98
"2:6174","Cleveland",2021-09-08,29,1292,23,15.71
"2:6175","Columbia",2021-09-08,61,3124,156,13.08
"2:6176","Conway",2021-09-08,41,2886,119,13.8
"2:6177","Craighead",2021-09-08,213,19248,1071,18.21
"2:6178","Crawford",2021-09-08,147,9463,607,15.15
"2:6179","Crittenden",2021-09-08,112,7863,359,16.04
"2:6180","Cross",2021-09-08,58,2613,112,15.37
"2:6181","Dallas",2021-09-08,18,1079,34,14.52
"2:6182","Desha",2021-09-08,26,1729,67,14.55
"2:6183","Drew",2021-09-08,53,2610,93,14.11
"2:6184","Faulkner",2021-09-08,196,18110,644,14.79
"2:6185","Franklin",2021-09-08,47,2448,171,13.77
"2:6186","Fulton",2021-09-08,52,1543,41,12.71
"2:6187","Garland",2021-09-08,343,14904,482,15.16
"2:6188","Grant",2021-09-08,45,2689,122,14.87
"2:6189","Greene",2021-09-08,98,8830,566,19.79
"2:6190","Hempstead",2021-09-08,22,2655,111,12.06
"2:6191","HotSpring",2021-09-08,102,7103,201,21.19
"2:6192","Howard",2021-09-08,28,2194,111,16.39
"2:6193","Independence",2021-09-08,147,5444,209,14.61
"2:6194","Izard",2021-09-08,53,2236,40,16.49
"2:6195","Jackson",2021-09-08,41,3836,142,22.27
"2:6196","Jefferson",2021-09-08,210,11864,286,16.85
"2:6197","Johnson",2021-09-08,52,4097,254,15.58
"2:6198","Lafayette",2021-09-08,11,759,28,10.98
"2:6199","Lawrence",2021-09-08,47,2853,202,17.12
"2:6200","Lee",2021-09-08,40,1958,36,20.83
"2:6201","Lincoln",2021-09-08,55,3579,34,26.13
"2:6202","LittleRiver",2021-09-08,44,1756,100,14.14
"2:6203","Logan",2021-09-08,33,3207,194,14.74
"2:6204","Lonoke",2021-09-08,162,10994,495,15.23
"2:6205","Madison",2021-09-08,33,2240,153,13.93
"2:6206","Marion",2021-09-08,53,1950,74,11.86
"2:6207","Miller",2021-09-08,39,5625,210,12.85
"2:6208","MissingCountyInfo",2021-09-08,0,4950,451,NA
"2:6209","Mississippi",2021-09-08,118,7268,406,16.97
"2:6210","Monroe",2021-09-08,21,1107,29,15.27
"2:6211","Montgomery",2021-09-08,35,1042,64,11.59
"2:6212","Nevada",2021-09-08,29,1141,49,13.52
"2:6213","Newton",2021-09-08,29,1104,32,14.07
"2:6214","Ouachita",2021-09-08,68,3202,135,13.28
"2:6215","Perry",2021-09-08,15,1368,58,13.25
"2:6216","Phillips",2021-09-08,61,2871,233,15.08
"2:6217","Pike",2021-09-08,32,1520,127,14.06
"2:6218","Poinsett",2021-09-08,93,4390,236,18.25
"2:6219","Polk",2021-09-08,90,2650,140,13.14
"2:6220","Pope",2021-09-08,137,10992,575,17.27
"2:6221","Prairie",2021-09-08,27,1217,49,14.76
"2:6222","Pulaski",2021-09-08,823,55148,1625,14.02
"2:6223","Randolph",2021-09-08,50,2828,179,16.07
"2:6224","SaintFrancis",2021-09-08,54,4388,177,NA
"2:6225","Saline",2021-09-08,216,17229,575,14.6
"2:6226","Scott",2021-09-08,19,1386,155,13.27
"2:6227","Searcy",2021-09-08,21,1167,50,14.73
"2:6228","Sebastian",2021-09-08,313,20250,972,15.89
"2:6229","Sevier",2021-09-08,31,3443,136,20.03
"2:6230","Sharp",2021-09-08,58,2408,140,14.13
"2:6231","Stone",2021-09-08,38,1489,52,11.96
"2:6232","Union",2021-09-08,121,5062,208,12.74
"2:6233","VanBuren",2021-09-08,35,1904,72,11.41
"2:6234","Washington",2021-09-08,422,41147,1518,18.01
"2:6235","White",2021-09-08,167,12058,451,15.3
"2:6236","Woodruff",2021-09-08,19,963,59,14.46
"2:6237","Yell",2021-09-08,73,4257,218,19.73
"2:6238","Arkansas_all_counties",2021-09-07,7108,465315,19793,15.7
"2:6239","Arkansas_county",2021-09-07,54,3191,154,17.61
"2:6240","Ashley",2021-09-07,39,2828,184,13.77
"2:6241","Baxter",2021-09-07,155,5464,117,13.26
"2:6242","Benton",2021-09-07,529,38482,1316,14.86
"2:6243","Boone",2021-09-07,103,5711,174,15.32
"2:6244","Bradley",2021-09-07,36,1832,87,16.73
"2:6245","Calhoun",2021-09-07,7,543,17,10.44
"2:6246","Carroll",2021-09-07,61,3988,178,14.3
"2:6247","Chicot",2021-09-07,42,1876,59,17.33
"2:6248","Clark",2021-09-07,47,2918,165,13.04
"2:6249","Clay",2021-09-07,52,2360,159,15.67
"2:6250","Cleburne",2021-09-07,83,3256,198,12.91
"2:6251","Cleveland",2021-09-07,29,1289,28,15.67
"2:6252","Columbia",2021-09-07,61,3089,138,12.93
"2:6253","Conway",2021-09-07,41,2867,114,13.71
"2:6254","Craighead",2021-09-07,212,19167,1116,18.13
"2:6255","Crawford",2021-09-07,146,9384,586,15.02
"2:6256","Crittenden",2021-09-07,112,7827,365,15.97
"2:6257","Cross",2021-09-07,58,2597,109,15.28
"2:6258","Dallas",2021-09-07,18,1075,32,14.46
"2:6259","Desha",2021-09-07,26,1720,63,14.47
"2:6260","Drew",2021-09-07,53,2596,86,14.03
"2:6261","Faulkner",2021-09-07,195,18023,648,14.72
"2:6262","Franklin",2021-09-07,46,2437,188,13.71
"2:6263","Fulton",2021-09-07,52,1538,41,12.67
"2:6264","Garland",2021-09-07,343,14847,500,15.1
"2:6265","Grant",2021-09-07,45,2672,124,14.77
"2:6266","Greene",2021-09-07,97,8756,570,19.62
"2:6267","Hempstead",2021-09-07,22,2647,113,12.02
"2:6268","HotSpring",2021-09-07,102,7084,221,21.13
"2:6269","Howard",2021-09-07,28,2182,121,16.3
"2:6270","Independence",2021-09-07,145,5409,206,14.52
"2:6271","Izard",2021-09-07,53,2233,48,16.47
"2:6272","Jackson",2021-09-07,41,3826,143,22.21
"2:6273","Jefferson",2021-09-07,208,11837,296,16.81
"2:6274","Johnson",2021-09-07,51,4077,265,15.51
"2:6275","Lafayette",2021-09-07,11,755,27,10.92
"2:6276","Lawrence",2021-09-07,47,2838,213,17.03
"2:6277","Lee",2021-09-07,40,1953,38,20.78
"2:6278","Lincoln",2021-09-07,55,3577,34,26.12
"2:6279","LittleRiver",2021-09-07,44,1747,111,14.07
"2:6280","Logan",2021-09-07,33,3175,199,14.59
"2:6281","Lonoke",2021-09-07,161,10942,501,15.15
"2:6282","Madison",2021-09-07,33,2219,144,13.8
"2:6283","Marion",2021-09-07,52,1940,73,11.8
"2:6284","Miller",2021-09-07,39,5606,218,12.81
"2:6285","MissingCountyInfo",2021-09-07,0,4906,459,NA
"2:6286","Mississippi",2021-09-07,118,7239,422,16.9
"2:6287","Monroe",2021-09-07,21,1103,30,15.22
"2:6288","Montgomery",2021-09-07,34,1035,67,11.51
"2:6289","Nevada",2021-09-07,29,1133,47,13.42
"2:6290","Newton",2021-09-07,29,1101,36,14.03
"2:6291","Ouachita",2021-09-07,68,3195,149,13.25
"2:6292","Perry",2021-09-07,15,1364,64,13.21
"2:6293","Phillips",2021-09-07,60,2861,240,15.03
"2:6294","Pike",2021-09-07,32,1497,112,13.85
"2:6295","Poinsett",2021-09-07,92,4366,240,18.15
"2:6296","Polk",2021-09-07,90,2638,149,13.08
"2:6297","Pope",2021-09-07,137,10939,602,17.19
"2:6298","Prairie",2021-09-07,27,1217,51,14.76
"2:6299","Pulaski",2021-09-07,819,54989,1648,13.98
"2:6300","Randolph",2021-09-07,50,2799,168,15.9
"2:6301","SaintFrancis",2021-09-07,53,4367,173,NA
"2:6302","Saline",2021-09-07,216,17157,582,14.54
"2:6303","Scott",2021-09-07,19,1356,141,12.99
"2:6304","Searcy",2021-09-07,20,1163,54,14.68
"2:6305","Sebastian",2021-09-07,312,20109,955,15.78
"2:6306","Sevier",2021-09-07,31,3429,143,19.94
"2:6307","Sharp",2021-09-07,58,2386,125,14
"2:6308","Stone",2021-09-07,38,1486,61,11.94
"2:6309","Union",2021-09-07,120,5040,213,12.68
"2:6310","VanBuren",2021-09-07,35,1886,64,11.3
"2:6311","Washington",2021-09-07,419,40951,1536,17.92
"2:6312","White",2021-09-07,167,12023,492,15.26
"2:6313","Woodruff",2021-09-07,19,960,62,14.41
"2:6314","Yell",2021-09-07,73,4240,221,19.65
"2:6315","Arkansas_all_counties",2021-09-06,7070,464732,21674,15.68
"2:6316","Arkansas_county",2021-09-06,54,3189,168,17.6
"2:6317","Ashley",2021-09-06,39,2827,199,13.77
"2:6318","Baxter",2021-09-06,154,5461,137,13.25
"2:6319","Benton",2021-09-06,527,38421,1436,14.84
"2:6320","Boone",2021-09-06,103,5707,194,15.31
"2:6321","Bradley",2021-09-06,36,1829,96,16.71
"2:6322","Calhoun",2021-09-06,7,543,17,10.44
"2:6323","Carroll",2021-09-06,61,3984,195,14.29
"2:6324","Chicot",2021-09-06,42,1874,61,17.31
"2:6325","Clark",2021-09-06,47,2915,174,13.02
"2:6326","Clay",2021-09-06,52,2361,172,15.68
"2:6327","Cleburne",2021-09-06,82,3253,222,12.89
"2:6328","Cleveland",2021-09-06,29,1288,34,15.66
"2:6329","Columbia",2021-09-06,61,3089,163,12.93
"2:6330","Conway",2021-09-06,41,2865,124,13.7
"2:6331","Craighead",2021-09-06,212,19114,1226,18.08
"2:6332","Crawford",2021-09-06,144,9351,603,14.97
"2:6333","Crittenden",2021-09-06,111,7819,389,15.95
"2:6334","Cross",2021-09-06,58,2595,130,15.27
"2:6335","Dallas",2021-09-06,18,1072,31,14.42
"2:6336","Desha",2021-09-06,26,1715,63,14.43
"2:6337","Drew",2021-09-06,53,2596,97,14.03
"2:6338","Faulkner",2021-09-06,195,18010,734,14.71
"2:6339","Franklin",2021-09-06,46,2429,195,13.66
"2:6340","Fulton",2021-09-06,52,1536,45,12.65
"2:6341","Garland",2021-09-06,339,14836,549,15.09
"2:6342","Grant",2021-09-06,45,2671,145,14.77
"2:6343","Greene",2021-09-06,97,8745,644,19.6
"2:6344","Hempstead",2021-09-06,21,2646,123,12.02
"2:6345","HotSpring",2021-09-06,101,7071,233,21.09
"2:6346","Howard",2021-09-06,28,2179,131,16.27
"2:6347","Independence",2021-09-06,144,5404,220,14.5
"2:6348","Izard",2021-09-06,52,2227,54,16.42
"2:6349","Jackson",2021-09-06,41,3814,146,22.14
"2:6350","Jefferson",2021-09-06,208,11828,354,16.8
"2:6351","Johnson",2021-09-06,50,4073,289,15.49
"2:6352","Lafayette",2021-09-06,11,755,32,10.92
