"","County_Name","Date","Deaths","fhwa_numbe","fips","Positive","Negative","Recoveries","Total_Tests","Active_Cases","pop_5yr_est_2018","Confirmed_Positive","Probable_Positive","Confirmed_Negative","Probable_Negative","Confirmed_Recoveries","Probable_Recoveries","confirmed_death","probable_death","confirmed_active","probable_active","pcr_test","antigen_test","PCR_Positive_Test","PCR_Negative_Tests","antigen_pos_test","antigen_neg_test","Total_Positive_Test","Total_Negative_Test","New_Cases_Today","Recovered_Since_Yesterday","New_Deaths_Today","New_Tests_Dashboard","Cases_Population","Tested_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","lab_prvt","lab_pub"
"1:58","Poinsett",2021-02-28,72,111,111,3077,24913,2984,28079,21,24054,2686,391,22973,1940,2611,373,58,14,17,4,25659,2420,2686,22973,480,1940,3166,24913,11,13,-4,130,12.79,116.36,4.57,7.07,10.99,8.46,3056,2.36,97.64,24896,3094
"1:59","Polk",2021-02-28,65,113,113,1892,12521,1801,14468,26,20163,1615,277,11626,895,1541,260,52,13,22,4,13241,1227,1615,11626,332,895,1947,12521,14,13,2,491,9.38,71.48,6.94,10.91,13.13,2.85,1866,3.48,96.52,11159,3254
"1:60","Pope",2021-02-28,98,115,115,7737,70487,7507,78413,132,63644,6246,1491,66952,3535,6080,1427,84,14,82,50,73198,5215,6246,66952,1680,3535,7926,70487,14,20,-4,6041,12.16,122.91,2.2,12.88,9.89,0.23,7605,1.29,98.71,71925,6299
"1:61","Prairie",2021-02-28,21,117,117,872,7154,843,8078,8,8244,616,256,6151,1003,594,249,16,5,6,2,6767,1311,616,6151,308,1003,924,7154,6,9,-3,19,10.58,97.36,7.28,7.28,10.86,31.58,864,2.43,97.57,6653,1373
"1:62","Pulaski",2021-02-28,562,119,119,37387,373912,36274,412524,549,393463,32187,5200,338994,34918,31239,5035,504,58,442,107,371181,41343,32187,338994,6425,34918,38612,373912,264,278,-21,10681,9.5,104.53,6.71,11.23,9.09,2.47,36836,1.53,98.47,325717,85583
"1:63","Randolph",2021-02-28,44,121,121,2010,17763,1932,19869,34,17603,1531,479,14189,3574,1469,463,32,12,30,4,15720,4149,1531,14189,575,3574,2106,17763,64,69,-6,102,11.42,112.33,36.36,17.04,10.17,62.75,1976,2.23,97.77,15782,3991
"1:64","Saline",2021-02-28,154,125,125,11427,100009,11162,111984,109,118009,8489,2938,80265,19744,8298,2864,131,23,58,51,88754,23230,8489,80265,3486,19744,11975,100009,41,58,-10,1317,9.68,94.43,3.47,4.91,10.25,3.11,11316,1.36,98.64,95631,15814
"1:65","Scott",2021-02-28,14,127,127,918,10403,895,11356,9,10442,598,320,9146,1257,576,319,14,0,8,1,9744,1612,598,9146,355,1257,953,10403,-9,-9,0,235,8.79,108.42,-8.62,7.66,8.11,-3.83,909,1.54,98.46,10259,1062
"1:66","Searcy",2021-02-28,15,129,129,662,5672,633,6374,14,7923,381,281,4423,1249,366,267,9,6,6,8,4804,1570,381,4423,321,1249,702,5672,11,11,0,33,8.36,79.94,13.88,7.57,10.45,33.33,648,2.31,97.69,5413,921
"1:67","Sebastian",2021-02-28,254,131,131,14583,134707,14130,149597,197,127461,11366,3217,124553,10154,11010,3120,221,33,134,63,135919,13678,11366,124553,3524,10154,14890,134707,28,39,-4,5407,11.44,117.13,2.2,10.51,9.77,0.52,14384,1.77,98.23,140202,9089
"1:68","Sevier",2021-02-28,25,133,133,2706,14098,2629,16939,52,17193,1754,952,11324,2774,1727,902,21,4,6,46,13078,3861,1754,11324,1087,2774,2841,14098,79,84,-4,101,15.74,97.74,45.95,3.49,16.1,78.22,2654,0.94,99.06,15174,1630
"1:69","Sharp",2021-02-28,45,135,135,1517,15589,1462,17192,10,17043,1066,451,12303,3286,1030,432,30,15,6,4,13369,3823,1066,12303,537,3286,1603,15589,-5,1,-5,11,8.9,100.37,-2.93,3.52,8.87,-45.45,1507,2.99,97.01,15617,1491
"1:70","St. Francis",2021-02-28,36,123,123,3442,28914,3377,32395,29,26294,3185,257,27909,1005,3127,250,32,4,26,3,31094,1301,3185,27909,296,1005,3481,28914,6,5,-1,170,13.09,123.05,2.28,9.89,10.64,3.53,3413,1.05,98.95,27581,4775
"1:71","Stone",2021-02-28,28,137,137,964,10292,929,11298,7,12446,715,249,8749,1543,686,243,23,5,6,1,9464,1834,715,8749,291,1543,1006,10292,6,8,-2,148,7.75,90.44,4.82,4.82,8.56,4.05,957,2.93,97.07,9012,2244
"1:72","Union",2021-02-28,100,139,139,3708,26054,3558,29959,50,39732,2835,873,20271,5783,2725,833,73,27,37,13,23106,6853,2835,20271,1070,5783,3905,26054,46,51,-2,153,9.33,74.91,11.58,9.31,12.46,30.07,3658,2.73,97.27,25338,4901
"1:73","Van Buren",2021-02-28,18,141,141,1194,14175,1160,15489,16,16684,773,421,11512,2663,751,409,13,5,9,7,12285,3204,773,11512,541,2663,1314,14175,26,26,0,49,7.16,92.12,15.58,5.39,7.77,53.06,1178,1.53,98.47,11807,3562
"1:74","Washington",2021-02-28,329,143,143,29386,225100,28715,255727,341,228529,22420,6966,193362,31738,21970,6745,243,86,207,134,215782,39945,22420,193362,8207,31738,30627,225100,50,68,-1,8801,12.86,111.36,2.19,9.06,11.55,0.57,29044,1.13,98.87,227818,26668
"1:75","White",2021-02-28,107,145,145,7567,47879,7379,56004,81,78804,4898,2669,37812,10067,4779,2600,88,19,31,50,42710,13294,4898,37812,3227,10067,8125,47879,433,439,-2,553,9.6,70.36,54.95,3.93,13.65,78.3,7486,1.43,98.57,40377,15072
"1:76","Woodruff",2021-02-28,9,147,147,623,7896,602,8584,12,6660,440,183,6992,904,426,176,8,1,6,6,7432,1152,440,6992,248,904,688,7896,6,8,-2,22,9.35,127.91,9.01,9.01,7.31,27.27,611,1.47,98.53,7735,784
"1:77","Yell",2021-02-28,63,149,149,3355,29270,3247,32726,45,21573,2917,438,27765,1505,2838,409,50,13,29,16,30682,2044,2917,27765,539,1505,3456,29270,5,15,-4,1038,15.55,151.23,2.32,13.44,10.28,0.48,3310,1.9,98.1,29886,2739
