"","Date","Cases_Male","Cases_Female","Cases_Gender_Unknown","New_Cases_Male","New_Cases_Female","New_Cases_Gender_Unknown"
"2:520",2020-06-10,5739,4586,NA,141,138,NA
"2:521",2020-06-09,5598,4448,NA,194,142,NA
"2:522",2020-06-08,5404,4306,NA,153,158,NA
"2:523",2020-06-07,5251,4148,NA,165,158,NA
"2:524",2020-06-06,5086,3990,NA,214,232,NA
"2:525",2020-06-05,4872,3758,NA,124,104,NA
"2:526",2020-06-04,4748,3654,NA,266,204,NA
"2:527",2020-06-03,4482,3450,NA,27,150,NA
"2:528",2020-06-02,4455,3300,NA,163,230,NA
"2:529",2020-06-01,4292,3070,NA,67,67,NA
"2:530",2020-05-31,4225,3003,NA,110,126,NA
"2:531",2020-05-30,4115,2877,NA,209,262,NA
"2:532",2020-05-28,3906,2615,NA,NA,NA,NA
