"","Date","Cases_Male","Cases_Female","Cases_Gender_Unknown","New_Cases_Male","New_Cases_Female","New_Cases_Gender_Unknown"
"49",2021-03-17,152822,171896,3063,178,176,-29
"50",2021-03-16,152644,171720,3092,227,220,-51
"51",2021-03-15,152417,171500,3143,64,54,-1
"52",2021-03-14,152353,171446,3144,70,57,3
"53",2021-03-13,152283,171389,3141,151,188,-25
"54",2021-03-12,152132,171201,3166,182,238,39
"55",2021-03-11,151950,170963,3127,208,198,-66
"56",2021-03-10,151742,170765,3193,146,182,-11
"57",2021-03-09,151596,170583,3204,210,223,-1
"58",2021-03-08,151386,170360,3205,78,76,-21
"59",2021-03-07,151308,170284,3226,84,93,-12
"60",2021-03-06,151224,170191,3238,159,161,7
"61",2021-03-05,151065,170030,3231,261,285,24
"62",2021-03-04,150804,169745,3207,202,231,-30
"63",2021-03-03,150602,169514,3237,184,212,8
"64",2021-03-02,150418,169302,3229,217,251,-28
"65",2021-03-01,150201,169051,3257,55,73,-34
"66",2021-02-28,150146,168978,3291,1170,1043,1007
"67",2021-02-27,148976,167935,2284,241,336,-20
"68",2021-02-26,148735,167599,2304,270,282,-36
"69",2021-02-25,148465,167317,2340,378,380,-32
"70",2021-02-24,148087,166937,2372,366,432,5
"71",2021-02-23,147721,166505,2367,386,465,-17
"72",2021-02-22,147335,166040,2384,115,127,3
"73",2021-02-21,147220,165913,2381,141,152,-9
"74",2021-02-20,147079,165761,2390,216,261,40
"75",2021-02-19,146863,165500,2350,164,207,-103
"76",2021-02-18,146699,165293,2453,157,166,-70
"77",2021-02-17,146542,165127,2523,377,386,-96
"78",2021-02-16,146165,164741,2619,128,132,1610
"79",2021-02-15,146037,164609,1009,142,176,-1691
"80",2021-02-14,145895,164433,2700,231,236,-1
"81",2021-02-13,145664,164197,2701,462,485,1701
"82",2021-02-12,145202,163712,1000,308,308,-1745
"83",2021-02-11,144894,163404,2745,529,572,1787
"84",2021-02-10,144365,162832,958,514,545,-1752
"85",2021-02-09,143851,162287,2710,630,777,1760
"86",2021-02-08,143221,161510,950,320,339,-1714
"87",2021-02-07,142901,161171,2664,330,383,-41
"88",2021-02-06,142571,160788,2705,576,746,1766
"89",2021-02-05,141995,160042,939,951,1080,-1954
"90",2021-02-04,141044,158962,2893,1148,1267,1962
