"","County_Name","Date","Keej_ko_rej_active","Oran_Case_ko_rej_Positive","Oran_rimej_ro","Percent_in_Aolepen_Oran","Case_ko_rōkāāl_rainin","Keej_ko_rej_Active_iaan_10K_armej"
"89","Clay",2020-09-02,31,185,5,5.78,3,NA
"90","Cleburne",2020-09-02,15,257,7,5.49,-2,NA
"91","Cleveland",2020-09-02,7,138,5,6.78,1,NA
"92","Columbia",2020-09-02,25,303,15,7.74,6,NA
"93","Conway",2020-09-02,22,212,3,4.29,2,NA
"94","Craighead",2020-09-02,261,1932,15,7.5,51,NA
"95","Crawford",2020-09-02,104,939,9,6.38,8,NA
"96","Crittenden",2020-09-02,60,1659,35,12.38,11,NA
"97","Cross",2020-09-02,38,283,5,7.93,3,NA
"98","Dallas",2020-09-02,50,128,2,8,1,NA
"99","Desha",2020-09-02,24,244,5,7.6,1,NA
"100","Drew",2020-09-02,16,308,5,6.33,3,NA
"101","Faulkner",2020-09-02,182,1719,9,5.95,16,NA
"102","Franklin",2020-09-02,20,174,2,4.06,6,NA
"103","Fulton",2020-09-02,14,72,0,7.45,1,NA
"104","Garland",2020-09-02,140,1458,30,6.43,24,NA
"105","Grant",2020-09-02,25,193,1,5.19,2,NA
"106","Greene",2020-09-02,61,648,5,6.33,13,NA
"107","Hempstead",2020-09-02,15,334,3,8.8,4,NA
"108","HotSpring",2020-09-02,43,1728,21,16.95,9,NA
"109","Howard",2020-09-02,31,427,5,11.89,2,NA
"110","Independence",2020-09-02,88,788,7,9.01,18,NA
"111","Izard",2020-09-02,26,106,0,3.66,1,NA
"112","Jackson",2020-09-02,28,187,1,3.63,3,NA
"113","Jefferson",2020-09-02,244,2129,51,9.18,17,NA
"114","Johnson",2020-09-02,15,766,4,11.97,1,NA
"115","Lafayette",2020-09-02,6,72,2,8.31,2,NA
"116","Lawrence",2020-09-02,12,253,11,8.47,3,NA
"117","Lee",2020-09-02,15,1006,11,23.36,2,NA
"118","Lincoln",2020-09-02,228,1610,13,23.37,2,NA
"119","LittleRiver",2020-09-02,17,287,15,16.53,3,NA
"120","Logan",2020-09-02,16,365,1,6.44,0,NA
"121","Lonoke",2020-09-02,98,740,4,5.47,12,NA
"122","Madison",2020-09-02,7,299,2,8.11,3,NA
"123","Marion",2020-09-02,6,46,0,2.66,0,NA
"124","Miller",2020-09-02,38,621,9,10.81,9,NA
"125","MissingCountyInfo",2020-09-02,200,956,0,4.9,59,NA
"126","Mississippi",2020-09-02,100,1374,22,12.7,22,NA
"127","Monroe",2020-09-02,8,96,0,5.08,1,NA
"128","Montgomery",2020-09-02,41,104,3,7.22,0,NA
"129","Nevada",2020-09-02,12,162,12,6.84,0,NA
"130","Newton",2020-09-02,11,121,15,8.94,1,NA
"131","Ouachita",2020-09-02,30,159,4,3.64,1,NA
"132","Perry",2020-09-02,3,63,1,2.91,0,NA
"133","Phillips",2020-09-02,19,407,10,7.39,0,NA
"134","Pike",2020-09-02,9,177,1,9.16,0,NA
"135","Poinsett",2020-09-02,99,493,6,8.18,4,NA
"136","Polk",2020-09-02,13,226,4,6.74,1,NA
"137","Pope",2020-09-02,146,1787,18,9.94,11,NA
"138","Prairie",2020-09-02,2,115,0,6.89,0,NA
"139","Pulaski",2020-09-02,626,7182,112,7.03,61,NA
"140","Randolph",2020-09-02,9,311,12,7.87,0,NA
"141","Saline",2020-09-02,211,1617,13,7.41,26,NA
"142","Scott",2020-09-02,2,87,0,5.65,1,NA
"143","Searcy",2020-09-02,46,101,0,6.23,0,NA
"144","Sebastian",2020-09-02,217,2910,35,8.37,10,NA
"145","Sevier",2020-09-02,22,1160,13,17.24,1,NA
"146","Sharp",2020-09-02,11,149,5,4.94,0,NA
"147","St.Francis",2020-09-02,85,1350,4,12.07,2,NA
"148","Stone",2020-09-02,44,202,3,7.8,6,NA
"149","Union",2020-09-02,68,698,20,9.09,6,NA
"150","VanBuren",2020-09-02,33,126,2,4.28,6,NA
"151","Washington",2020-09-02,247,6991,73,10.68,70,NA
"152","White",2020-09-02,75,542,12,5.09,9,NA
"153","Woodruff",2020-09-02,0,27,0,2,0,NA
"154","Yell",2020-09-02,28,1167,25,13.31,1,NA
"155","Arkansas_all_counties",2020-09-03,5331,63504,861,8.44,1014,0
"156","Arkansas_county",2020-09-03,21,287,3,6.52,1,NA
"157","Ashley",2020-09-03,13,388,7,8.63,0,NA
"158","Baxter",2020-09-03,25,144,0,5.02,4,NA
"159","Benton",2020-09-03,289,5503,58,8.51,50,NA
"160","Boone",2020-09-03,113,388,3,5.51,14,NA
"161","Bradley",2020-09-03,28,300,6,8.96,4,NA
"162","Calhoun",2020-09-03,0,23,0,1.79,0,NA
"163","Carroll",2020-09-03,39,479,7,7.76,5,NA
"164","Chicot",2020-09-03,26,964,11,18.51,1,NA
"165","Clark",2020-09-03,28,243,4,4.88,4,NA
"166","Clay",2020-09-03,30,190,5,5.86,5,NA
"167","Cleburne",2020-09-03,13,259,7,5.48,2,NA
"168","Cleveland",2020-09-03,9,139,5,6.66,1,NA
"169","Columbia",2020-09-03,27,311,15,7.87,8,NA
"170","Conway",2020-09-03,19,213,3,4.27,1,NA
"171","Craighead",2020-09-03,275,1958,16,7.46,26,NA
"172","Crawford",2020-09-03,97,952,9,6.39,13,NA
"173","Crittenden",2020-09-03,65,1685,35,12.47,26,NA
"174","Cross",2020-09-03,41,289,5,7.92,6,NA
"175","Dallas",2020-09-03,41,132,2,8.08,4,NA
"176","Desha",2020-09-03,28,249,5,7.62,5,NA
"177","Drew",2020-09-03,16,309,5,6.29,1,NA
"178","Faulkner",2020-09-03,191,1747,9,5.97,28,NA
"179","Franklin",2020-09-03,22,178,2,4.12,4,NA
"180","Fulton",2020-09-03,18,77,0,7.75,5,NA
"181","Garland",2020-09-03,148,1479,30,6.42,21,NA
"182","Grant",2020-09-03,28,197,1,5.16,4,NA
"183","Greene",2020-09-03,57,652,5,6.28,4,NA
"184","Hempstead",2020-09-03,11,335,3,8.77,1,NA
"185","HotSpring",2020-09-03,41,1731,21,16.85,3,NA
"186","Howard",2020-09-03,32,429,5,11.84,2,NA
"187","Independence",2020-09-03,82,791,7,8.94,3,NA
"188","Izard",2020-09-03,25,108,0,3.7,2,NA
"189","Jackson",2020-09-03,29,191,1,3.61,4,NA
"190","Jefferson",2020-09-03,253,2166,51,9.17,37,NA
"191","Johnson",2020-09-03,15,770,4,11.98,4,NA
"192","Lafayette",2020-09-03,7,75,2,8.58,3,NA
"193","Lawrence",2020-09-03,16,258,11,8.51,5,NA
"194","Lee",2020-09-03,16,1007,11,23.33,1,NA
"195","Lincoln",2020-09-03,232,1617,13,23.28,7,NA
"196","LittleRiver",2020-09-03,22,296,15,16.89,9,NA
"197","Logan",2020-09-03,17,367,1,6.43,2,NA
"198","Lonoke",2020-09-03,98,749,4,5.49,9,NA
"199","Madison",2020-09-03,9,302,2,8.13,3,NA
"200","Marion",2020-09-03,8,48,0,2.73,2,NA
"201","Miller",2020-09-03,51,638,9,10.98,17,NA
"202","Mississippi",2020-09-03,104,1388,31,12.71,14,NA
"203","Monroe",2020-09-03,7,96,0,5.03,0,NA
"204","Montgomery",2020-09-03,48,116,4,7.72,12,NA
"205","Nevada",2020-09-03,8,162,12,6.83,0,NA
"206","Newton",2020-09-03,25,134,15,9.49,13,NA
"207","Ouachita",2020-09-03,38,173,4,3.88,14,NA
"208","Perry",2020-09-03,3,62,0,2.84,-1,NA
"209","Phillips",2020-09-03,16,409,10,7.38,2,NA
"210","Pike",2020-09-03,8,179,1,9.14,2,NA
"211","Poinsett",2020-09-03,90,503,6,8.04,10,NA
"212","Polk",2020-09-03,15,230,4,6.76,4,NA
"213","Pope",2020-09-03,142,1806,19,9.92,19,NA
"214","Prairie",2020-09-03,3,118,1,7,3,NA
"215","Pulaski",2020-09-03,652,7276,112,7.02,94,NA
"216","Randolph",2020-09-03,9,312,13,7.83,1,NA
"217","Saline",2020-09-03,229,1653,13,7.46,36,NA
"218","Scott",2020-09-03,1,88,0,5.68,1,NA
"219","Searcy",2020-09-03,52,111,0,6.75,10,NA
"220","Sebastian",2020-09-03,219,2946,35,8.37,36,NA
"221","Sevier",2020-09-03,14,1163,13,17.18,3,NA
"222","Sharp",2020-09-03,12,152,5,4.97,3,NA
"223","St.Francis",2020-09-03,84,1357,4,12.06,7,NA
"224","Stone",2020-09-03,45,211,3,7.96,9,NA
"225","Union",2020-09-03,63,707,21,9.07,9,NA
"226","VanBuren",2020-09-03,32,136,2,4.55,10,NA
"227","Washington",2020-09-03,381,7203,78,10.8,212,NA
"228","White",2020-09-03,77,551,12,5.13,9,NA
"229","Woodruff",2020-09-03,1,28,0,2.07,1,NA
"230","Yell",2020-09-03,26,1169,25,13.26,2,NA
"231","Arkansas_all_counties",2020-09-04,5755,64678,873,8.46,1174,0
"232","Arkansas_county",2020-09-04,25,293,3,6.62,6,NA
"233","Ashley",2020-09-04,9,389,7,8.61,1,NA
"234","Baxter",2020-09-04,25,147,1,5,3,NA
"235","Benton",2020-09-04,321,5564,58,8.55,61,NA
"236","Boone",2020-09-04,112,392,3,5.53,4,NA
"237","Bradley",2020-09-04,25,300,6,8.91,0,NA
"238","Calhoun",2020-09-04,0,23,0,1.78,0,NA
"239","Carroll",2020-09-04,37,482,8,7.72,3,NA
"240","Chicot",2020-09-04,28,968,11,18.42,4,NA
"241","Clark",2020-09-04,35,253,4,5.04,10,NA
"242","Clay",2020-09-04,31,198,5,6.03,8,NA
"243","Cleburne",2020-09-04,10,260,7,5.45,1,NA
"244","Cleveland",2020-09-04,8,140,6,6.64,1,NA
"245","Columbia",2020-09-04,22,312,15,7.82,1,NA
"246","Conway",2020-09-04,16,213,3,4.24,0,NA
"247","Craighead",2020-09-04,286,2009,16,7.54,51,NA
"248","Crawford",2020-09-04,104,966,9,6.4,14,NA
"249","Crittenden",2020-09-04,69,1693,35,12.44,8,NA
"250","Cross",2020-09-04,47,296,5,8.07,7,NA
"251","Dallas",2020-09-04,38,132,2,8.04,0,NA
"252","Desha",2020-09-04,26,252,5,7.62,3,NA
"253","Drew",2020-09-04,14,309,5,6.26,0,NA
"254","Faulkner",2020-09-04,182,1758,9,5.95,11,NA
"255","Franklin",2020-09-04,26,182,2,4.18,4,NA
"256","Fulton",2020-09-04,15,80,1,7.93,3,NA
"257","Garland",2020-09-04,154,1499,31,6.47,20,NA
"258","Grant",2020-09-04,25,199,1,5.18,2,NA
"259","Greene",2020-09-04,58,658,5,6.25,6,NA
"260","Hempstead",2020-09-04,10,335,3,8.74,0,NA
"261","HotSpring",2020-09-04,45,1736,21,16.8,5,NA
"262","Howard",2020-09-04,33,431,5,11.82,2,NA
"263","Independence",2020-09-04,88,803,8,9.01,12,NA
"264","Izard",2020-09-04,20,109,0,3.71,1,NA
"265","Jackson",2020-09-04,23,194,1,3.66,3,NA
"266","Jefferson",2020-09-04,261,2191,51,9.22,25,NA
"267","Johnson",2020-09-04,16,775,4,11.97,5,NA
"268","Lafayette",2020-09-04,4,74,2,8.45,-1,NA
"269","Lawrence",2020-09-04,20,262,11,8.56,4,NA
"270","Lee",2020-09-04,17,1009,11,23.34,2,NA
"271","Lincoln",2020-09-04,348,1737,13,23.98,120,NA
"272","LittleRiver",2020-09-04,22,299,15,16.94,3,NA
"273","Logan",2020-09-04,14,367,1,6.36,0,NA
"274","Lonoke",2020-09-04,92,762,4,5.54,13,NA
"275","Madison",2020-09-04,9,308,2,8.22,6,NA
"276","Marion",2020-09-04,10,51,0,2.86,3,NA
"277","Miller",2020-09-04,46,642,9,10.88,4,NA
"278","MissingCountyInfo",2020-09-04,312,1230,0,5.22,201,NA
"279","Mississippi",2020-09-04,101,1401,32,12.71,13,NA
"280","Monroe",2020-09-04,7,97,0,5.07,1,NA
"281","Montgomery",2020-09-04,46,118,4,7.8,2,NA
"282","Nevada",2020-09-04,7,165,12,6.9,3,NA
"283","Newton",2020-09-04,26,136,15,9.58,2,NA
"284","Ouachita",2020-09-04,40,175,5,3.9,2,NA
"285","Perry",2020-09-04,3,62,0,2.82,0,NA
"286","Phillips",2020-09-04,20,414,10,7.44,5,NA
"287","Pike",2020-09-04,7,182,1,9.22,3,NA
"288","Poinsett",2020-09-04,79,509,6,8.06,6,NA
"289","Polk",2020-09-04,15,232,4,6.77,2,NA
"290","Pope",2020-09-04,131,1819,19,9.9,13,NA
"291","Prairie",2020-09-04,4,120,1,7.01,2,NA
"292","Pulaski",2020-09-04,701,7367,113,7.04,91,NA
"293","Randolph",2020-09-04,11,317,13,7.88,5,NA
"294","Saline",2020-09-04,224,1666,14,7.47,13,NA
"295","Scott",2020-09-04,1,89,0,5.71,1,NA
"296","Searcy",2020-09-04,40,113,0,6.8,2,NA
"297","Sebastian",2020-09-04,214,2967,35,8.32,21,NA
"298","Sevier",2020-09-04,11,1164,14,17.09,1,NA
"299","Sharp",2020-09-04,9,153,5,4.98,1,NA
"300","St.Francis",2020-09-04,81,1362,4,12.07,5,NA
"301","Stone",2020-09-04,42,212,4,7.93,1,NA
"302","Union",2020-09-04,57,721,21,9.08,14,NA
"303","VanBuren",2020-09-04,30,138,2,4.6,2,NA
"304","Washington",2020-09-04,599,7429,78,10.97,226,NA
"305","White",2020-09-04,81,564,12,5.22,13,NA
"306","Woodruff",2020-09-04,1,28,0,2.05,0,NA
"307","Yell",2020-09-04,29,1173,25,13.17,4,NA
"308","Arkansas_all_counties",2020-09-05,5840,65226,882,8.45,548,0
"309","Arkansas_county",2020-09-05,25,294,3,6.6,1,NA
"310","Ashley",2020-09-05,7,389,7,8.56,0,NA
"311","Baxter",2020-09-05,22,147,1,4.99,0,NA
"312","Benton",2020-09-05,326,5599,59,8.53,35,NA
"313","Boone",2020-09-05,108,393,4,5.53,1,NA
"314","Bradley",2020-09-05,21,303,6,8.97,3,NA
"315","Calhoun",2020-09-05,0,23,0,1.78,0,NA
"316","Carroll",2020-09-05,38,486,8,7.74,4,NA
"317","Chicot",2020-09-05,25,969,11,18.38,1,NA
"318","Clark",2020-09-05,34,255,4,5.06,2,NA
"319","Clay",2020-09-05,35,203,5,6.14,5,NA
"320","Cleburne",2020-09-05,13,264,7,5.48,4,NA
"321","Cleveland",2020-09-05,8,141,6,6.65,1,NA
"322","Columbia",2020-09-05,25,315,15,7.88,3,NA
"323","Conway",2020-09-05,18,216,3,4.28,3,NA
"324","Craighead",2020-09-05,280,2022,16,7.53,13,NA
"325","Crawford",2020-09-05,103,971,9,6.37,5,NA
"326","Crittenden",2020-09-05,73,1703,35,12.47,10,NA
"327","Cross",2020-09-05,49,303,5,8.13,7,NA
"328","Dallas",2020-09-05,40,135,2,8.16,3,NA
"329","Desha",2020-09-05,24,252,5,7.62,0,NA
"330","Drew",2020-09-05,13,309,5,6.24,0,NA
"331","Faulkner",2020-09-05,183,1770,9,5.94,12,NA
