"","County_Name","Date","Keej_ko_rej_active","Oran_Case_ko_rej_Positive","Oran_rimej_ro","Percent_in_Aolepen_Oran","Case_ko_rōkāāl_rainin","Keej_ko_rej_Active_iaan_10K_armej"
"4233","Woodruff",2020-10-25,33,114,0,4.87,2,49.55
"4234","Yell",2020-10-25,27,1339,31,9.42,2,12.52
"4235","Arkansas_all_counties",2020-10-26,9571,106727,1833,7.96,612,32
"4236","Arkansas_county",2020-10-26,92,668,16,7.07,6,50.76
"4237","Ashley",2020-10-26,47,537,11,7.73,1,22.89
"4238","Baxter",2020-10-26,110,658,9,9.41,9,26.69
"4239","Benton",2020-10-26,503,8098,118,8.43,33,19.42
"4240","Boone",2020-10-26,104,1032,32,6.77,7,27.89
"4241","Bradley",2020-10-26,15,369,8,8.13,0,13.7
"4242","Calhoun",2020-10-26,5,49,0,2.44,1,9.61
"4243","Carroll",2020-10-26,80,992,15,10.06,5,28.69
"4244","Chicot",2020-10-26,26,1049,22,15.19,0,24.02
"4245","Clark",2020-10-26,46,495,5,5.3,2,20.55
"4246","Clay",2020-10-26,68,482,13,7.22,2,45.15
"4247","Cleburne",2020-10-26,30,455,15,4.93,1,11.89
"4248","Cleveland",2020-10-26,30,233,13,6.04,2,36.47
"4249","Columbia",2020-10-26,47,696,20,9.19,6,19.67
"4250","Conway",2020-10-26,19,344,3,4.14,2,9.09
"4251","Craighead",2020-10-26,538,4472,43,8.79,40,50.9
"4252","Crawford",2020-10-26,189,2018,25,6.78,11,30.25
"4253","Crittenden",2020-10-26,185,2367,51,12.39,18,37.75
"4254","Cross",2020-10-26,49,579,22,8.47,2,28.83
"4255","Dallas",2020-10-26,4,179,5,6.24,0,5.38
"4256","Desha",2020-10-26,48,410,7,7.65,2,40.38
"4257","Drew",2020-10-26,42,429,7,5.53,0,22.7
"4258","Faulkner",2020-10-26,242,3320,31,6.28,10,19.77
"4259","Franklin",2020-10-26,89,522,3,5.82,1,50.06
"4260","Fulton",2020-10-26,53,319,9,11,4,43.66
"4261","Garland",2020-10-26,241,2448,64,5.83,7,24.52
"4262","Grant",2020-10-26,35,360,4,5.04,1,19.35
"4263","Greene",2020-10-26,244,1466,17,7.18,19,54.68
"4264","Hempstead",2020-10-26,49,547,5,7.75,5,22.25
"4265","HotSpring",2020-10-26,125,2203,36,11.32,13,37.29
"4266","Howard",2020-10-26,40,578,14,11.74,1,29.88
"4267","Independence",2020-10-26,67,1457,47,9.18,6,17.98
"4268","Izard",2020-10-26,185,556,2,9.35,0,136.44
"4269","Jackson",2020-10-26,189,750,6,7.49,3,109.72
"4270","Jefferson",2020-10-26,335,4160,102,9.6,24,47.57
"4271","Johnson",2020-10-26,79,1013,8,9.49,1,30.05
"4272","Lafayette",2020-10-26,22,170,3,10.84,2,31.81
"4273","Lawrence",2020-10-26,138,808,17,11.91,4,82.79
"4274","Lee",2020-10-26,17,1110,18,18.12,2,18.09
"4275","Lincoln",2020-10-26,147,2306,17,20.25,0,107.34
"4276","LittleRiver",2020-10-26,22,447,38,16.67,0,17.72
"4277","Logan",2020-10-26,60,592,3,5.83,7,27.58
"4278","Lonoke",2020-10-26,231,1723,26,5.91,21,31.99
"4279","Madison",2020-10-26,22,426,6,7.45,0,13.68
"4280","Marion",2020-10-26,20,151,2,4.24,2,12.17
"4281","Miller",2020-10-26,276,1419,16,14.84,31,63.07
"4282","MissingCountyInfo",2020-10-26,639,2205,0,3.59,13,NA
"4283","Mississippi",2020-10-26,286,2267,68,13.75,42,66.77
"4284","Monroe",2020-10-26,19,212,1,6.58,1,26.21
"4285","Montgomery",2020-10-26,6,182,8,6,0,6.67
"4286","Nevada",2020-10-26,34,299,14,6.28,6,40.28
"4287","Newton",2020-10-26,20,306,20,11.3,1,25.48
"4288","Ouachita",2020-10-26,51,377,9,4.87,3,21.16
"4289","Perry",2020-10-26,12,137,0,3.04,1,11.63
"4290","Phillips",2020-10-26,68,741,16,7.96,0,35.73
"4291","Pike",2020-10-26,12,266,1,8.58,3,11.1
"4292","Poinsett",2020-10-26,161,1039,18,8.39,8,66.93
"4293","Polk",2020-10-26,21,354,5,5.88,0,10.42
"4294","Pope",2020-10-26,176,2707,37,8.61,3,27.65
"4295","Prairie",2020-10-26,20,207,4,6.44,2,24.26
"4296","Pulaski",2020-10-26,960,11830,209,6.53,53,24.4
"4297","Randolph",2020-10-26,66,640,24,8.91,1,37.49
"4298","Saline",2020-10-26,226,2790,29,6.47,11,19.15
"4299","Scott",2020-10-26,72,213,1,4.9,4,68.95
"4300","Searcy",2020-10-26,23,198,1,6.02,0,29.03
"4301","Sebastian",2020-10-26,343,4820,92,7.29,36,26.91
"4302","Sevier",2020-10-26,67,1341,16,15.5,6,38.97
"4303","Sharp",2020-10-26,63,358,10,5.92,0,36.97
"4304","St.Francis",2020-10-26,103,1750,10,10.98,46,39.17
"4305","Stone",2020-10-26,10,398,21,8.7,0,8.03
"4306","Union",2020-10-26,46,1120,49,8.8,2,11.58
"4307","VanBuren",2020-10-26,16,209,3,3.59,2,9.59
"4308","Washington",2020-10-26,588,11392,150,10.46,47,25.73
"4309","White",2020-10-26,198,1452,32,6.16,5,25.13
"4310","Woodruff",2020-10-26,34,116,0,4.88,2,51.05
"4311","Yell",2020-10-26,26,1339,31,9.38,0,12.05
"4312","Arkansas_all_counties",2020-10-27,9490,107679,1857,7.96,952,31.73
"4313","Arkansas_county",2020-10-27,89,673,16,7.08,5,49.11
"4314","Ashley",2020-10-27,44,539,11,7.73,2,21.42
"4315","Baxter",2020-10-27,104,668,10,9.46,10,25.23
"4316","Benton",2020-10-27,539,8177,118,8.46,79,20.81
"4317","Boone",2020-10-27,101,1040,33,6.79,8,27.09
"4318","Bradley",2020-10-27,14,370,8,7.84,1,12.79
"4319","Calhoun",2020-10-27,7,53,0,2.63,4,13.46
"4320","Carroll",2020-10-27,76,1000,15,10.03,8,27.25
"4321","Chicot",2020-10-27,25,1050,22,15.1,1,23.09
"4322","Clark",2020-10-27,43,497,5,5.31,2,19.21
"4323","Clay",2020-10-27,68,490,12,7.25,8,45.15
"4324","Cleburne",2020-10-27,31,461,15,4.97,6,12.29
"4325","Cleveland",2020-10-27,29,234,13,6.02,1,35.25
"4326","Columbia",2020-10-27,51,704,21,9.24,8,21.35
"4327","Conway",2020-10-27,18,346,3,4.15,2,8.61
"4328","Craighead",2020-10-27,553,4544,45,8.84,72,52.32
"4329","Crawford",2020-10-27,188,2035,26,6.76,17,30.09
"4330","Crittenden",2020-10-27,197,2397,52,12.47,30,40.19
"4331","Cross",2020-10-27,49,587,22,8.53,8,28.83
"4332","Dallas",2020-10-27,3,179,5,6.22,0,4.04
"4333","Desha",2020-10-27,41,410,7,7.6,0,34.49
"4334","Drew",2020-10-27,40,430,7,5.48,1,21.62
"4335","Faulkner",2020-10-27,239,3358,35,6.29,38,19.52
"4336","Franklin",2020-10-27,82,529,3,5.85,7,46.12
"4337","Fulton",2020-10-27,50,323,9,11.02,4,41.19
"4338","Garland",2020-10-27,225,2457,66,5.82,9,22.89
"4339","Grant",2020-10-27,38,364,4,5.08,4,21.01
"4340","Greene",2020-10-27,258,1507,19,7.32,41,57.82
"4341","Hempstead",2020-10-27,48,554,5,7.81,7,21.8
"4342","HotSpring",2020-10-27,125,2208,36,11.26,5,37.29
"4343","Howard",2020-10-27,39,582,14,11.71,4,29.13
"4344","Independence",2020-10-27,69,1466,51,9.22,9,18.52
"4345","Izard",2020-10-27,181,556,2,9.3,0,133.49
"4346","Jackson",2020-10-27,189,760,6,7.53,10,109.72
"4347","Jefferson",2020-10-27,310,4194,102,9.61,34,44.02
"4348","Johnson",2020-10-27,78,1017,8,9.49,4,29.67
"4349","Lafayette",2020-10-27,18,172,3,10.87,2,26.03
"4350","Lawrence",2020-10-27,99,823,17,12.07,15,59.39
"4351","Lee",2020-10-27,13,1110,18,18.1,0,13.83
"4352","Lincoln",2020-10-27,150,2315,17,20.09,9,109.53
"4353","LittleRiver",2020-10-27,20,451,38,16.63,4,16.11
"4354","Logan",2020-10-27,58,594,4,5.79,2,26.66
"4355","Lonoke",2020-10-27,228,1752,28,5.95,29,31.58
"4356","Madison",2020-10-27,22,430,6,7.47,4,13.68
"4357","Marion",2020-10-27,18,153,2,4.27,2,10.95
"4358","Miller",2020-10-27,265,1435,16,14.9,16,60.56
"4359","MissingCountyInfo",2020-10-27,546,2098,0,3.4,-107,NA
"4360","Mississippi",2020-10-27,296,2297,68,13.84,30,69.11
"4361","Monroe",2020-10-27,13,212,1,6.57,0,17.93
"4362","Montgomery",2020-10-27,5,183,8,6.01,1,5.56
"4363","Nevada",2020-10-27,29,301,14,6.29,2,34.36
"4364","Newton",2020-10-27,20,307,19,11.23,1,25.48
"4365","Ouachita",2020-10-27,49,379,9,4.88,2,20.33
"4366","Perry",2020-10-27,11,137,0,2.98,0,10.66
"4367","Phillips",2020-10-27,69,746,16,7.96,5,36.25
"4368","Pike",2020-10-27,12,267,1,8.55,1,11.1
"4369","Poinsett",2020-10-27,173,1071,20,8.54,32,71.92
"4370","Polk",2020-10-27,18,358,5,5.92,4,8.93
"4371","Pope",2020-10-27,166,2725,38,8.63,18,26.08
"4372","Prairie",2020-10-27,37,224,4,6.88,17,44.88
"4373","Pulaski",2020-10-27,981,11997,209,6.53,167,24.93
"4374","Randolph",2020-10-27,70,650,24,8.98,10,39.77
"4375","Saline",2020-10-27,262,2854,29,6.52,64,22.2
"4376","Scott",2020-10-27,72,219,1,4.92,6,68.95
"4377","Searcy",2020-10-27,22,199,1,6.03,1,27.77
"4378","Sebastian",2020-10-27,339,4849,93,7.29,29,26.6
"4379","Sevier",2020-10-27,71,1351,16,15.51,10,41.3
"4380","Sharp",2020-10-27,61,361,10,5.95,3,35.79
"4381","St.Francis",2020-10-27,108,1760,10,11,10,41.07
"4382","Stone",2020-10-27,13,401,21,8.66,3,10.45
"4383","Union",2020-10-27,40,1122,49,8.8,2,10.07
"4384","VanBuren",2020-10-27,16,210,3,3.59,1,9.59
"4385","Washington",2020-10-27,594,11468,150,10.48,76,25.99
"4386","White",2020-10-27,205,1478,32,6.21,26,26.01
"4387","Woodruff",2020-10-27,37,120,0,5.02,4,55.56
"4388","Yell",2020-10-27,23,1341,31,9.37,2,10.66
"4389","Arkansas_all_counties",2020-10-28,9303,108640,1875,7.95,961,31.11
"4390","Arkansas_county",2020-10-28,75,676,16,7.02,3,41.38
"4391","Ashley",2020-10-28,49,547,11,7.77,8,23.86
"4392","Baxter",2020-10-28,102,677,10,9.24,9,24.75
"4393","Benton",2020-10-28,563,8262,119,8.5,85,21.74
"4394","Boone",2020-10-28,97,1045,34,6.8,5,26.01
"4395","Bradley",2020-10-28,15,371,8,7.83,1,13.7
"4396","Calhoun",2020-10-28,7,53,0,2.62,0,13.46
"4397","Carroll",2020-10-28,72,1007,16,10.06,7,25.82
"4398","Chicot",2020-10-28,25,1053,23,15.09,3,23.09
"4399","Clark",2020-10-28,41,501,5,5.22,4,18.32
"4400","Clay",2020-10-28,64,493,12,7.26,3,42.49
"4401","Cleburne",2020-10-28,27,462,15,4.95,1,10.7
"4402","Cleveland",2020-10-28,31,238,13,5.95,4,37.69
"4403","Columbia",2020-10-28,50,711,21,9.28,7,20.93
"4404","Conway",2020-10-28,18,349,3,4.15,3,8.61
"4405","Craighead",2020-10-28,537,4583,45,8.83,39,50.8
"4406","Crawford",2020-10-28,186,2063,26,6.82,28,29.77
"4407","Crittenden",2020-10-28,204,2428,52,12.52,31,41.62
"4408","Cross",2020-10-28,50,593,22,8.52,6,29.42
"4409","Dallas",2020-10-28,3,180,6,6.21,1,4.04
"4410","Desha",2020-10-28,44,414,7,7.63,4,37.02
"4411","Drew",2020-10-28,36,433,7,5.49,3,19.46
"4412","Faulkner",2020-10-28,226,3389,36,6.3,31,18.46
"4413","Franklin",2020-10-28,79,537,3,5.88,8,44.43
"4414","Fulton",2020-10-28,51,330,9,11.06,7,42.01
"4415","Garland",2020-10-28,215,2481,66,5.84,24,21.87
"4416","Grant",2020-10-28,31,368,4,5.09,4,17.14
"4417","Greene",2020-10-28,266,1541,20,7.43,34,59.61
"4418","Hempstead",2020-10-28,40,557,5,7.73,3,18.17
"4419","HotSpring",2020-10-28,113,2212,38,11.16,4,33.71
"4420","Howard",2020-10-28,41,590,14,11.72,8,30.62
"4421","Independence",2020-10-28,58,1472,53,9.07,6,15.56
"4422","Izard",2020-10-28,197,604,2,9.72,48,145.29
"4423","Jackson",2020-10-28,178,773,6,7.6,13,103.34
"4424","Jefferson",2020-10-28,296,4231,102,9.53,37,42.03
"4425","Johnson",2020-10-28,73,1025,8,9.29,8,27.77
"4426","Lafayette",2020-10-28,17,173,3,10.83,1,24.58
"4427","Lawrence",2020-10-28,96,833,18,12.1,10,57.59
"4428","Lee",2020-10-28,12,1110,18,18.07,0,12.77
"4429","Lincoln",2020-10-28,161,2333,17,20.05,18,117.56
"4430","LittleRiver",2020-10-28,24,459,38,16.77,8,19.33
"4431","Logan",2020-10-28,51,595,4,5.75,1,23.44
"4432","Lonoke",2020-10-28,232,1781,28,5.93,29,32.13
"4433","Madison",2020-10-28,21,431,6,7.46,1,13.06
"4434","Marion",2020-10-28,20,155,2,4.25,2,12.17
"4435","Miller",2020-10-28,224,1457,16,14.81,22,51.19
"4436","MissingCountyInfo",2020-10-28,509,2095,0,3.3,-3,NA
"4437","Mississippi",2020-10-28,280,2316,68,13.86,19,65.37
"4438","Monroe",2020-10-28,12,212,1,6.53,0,16.55
"4439","Montgomery",2020-10-28,4,183,8,5.83,0,4.45
"4440","Nevada",2020-10-28,38,311,14,6.43,10,45.02
"4441","Newton",2020-10-28,25,314,20,11.43,7,31.86
"4442","Ouachita",2020-10-28,55,385,9,4.92,6,22.82
"4443","Perry",2020-10-28,12,139,0,2.97,2,11.63
"4444","Phillips",2020-10-28,69,757,16,8.04,11,36.25
"4445","Pike",2020-10-28,14,269,1,8.52,2,12.95
"4446","Poinsett",2020-10-28,203,1115,20,8.69,44,84.39
"4447","Polk",2020-10-28,18,360,5,5.94,2,8.93
"4448","Pope",2020-10-28,176,2759,38,8.64,34,27.65
"4449","Prairie",2020-10-28,41,231,4,6.97,7,49.73
"4450","Pulaski",2020-10-28,967,12058,211,6.52,61,24.58
"4451","Randolph",2020-10-28,69,659,24,8.84,9,39.2
"4452","Saline",2020-10-28,262,2884,30,6.51,30,22.2
"4453","Scott",2020-10-28,61,220,1,4.92,1,58.42
"4454","Searcy",2020-10-28,23,202,1,6.02,3,29.03
"4455","Sebastian",2020-10-28,318,4877,93,7.28,28,24.95
"4456","Sevier",2020-10-28,70,1362,16,15.53,11,40.71
"4457","Sharp",2020-10-28,62,365,10,5.91,4,36.38
"4458","St.Francis",2020-10-28,105,1762,10,10.98,2,39.93
"4459","Stone",2020-10-28,14,404,21,8.69,3,11.25
"4460","Union",2020-10-28,44,1130,49,8.79,8,11.07
"4461","VanBuren",2020-10-28,14,211,3,3.57,1,8.39
"4462","Washington",2020-10-28,557,11522,151,10.48,54,24.37
"4463","White",2020-10-28,201,1493,33,6.24,15,25.51
"4464","Woodruff",2020-10-28,37,124,0,5.14,4,55.56
"4465","Yell",2020-10-28,25,1345,31,9.28,4,11.59
"4466","Arkansas_all_counties",2020-10-29,9466,109712,1894,7.95,1072,31.65
"4467","Arkansas_county",2020-10-29,82,692,16,7.09,16,45.24
"4468","Ashley",2020-10-29,51,552,11,7.75,5,24.83
"4469","Baxter",2020-10-29,102,695,11,9.29,18,24.75
"4470","Benton",2020-10-29,584,8340,121,8.52,78,22.55
"4471","Boone",2020-10-29,91,1057,35,6.72,12,24.4
"4472","Bradley",2020-10-29,15,373,8,7.65,2,13.7
"4473","Calhoun",2020-10-29,5,53,0,2.59,0,9.61
"4474","Carroll",2020-10-29,71,1014,17,10.05,7,25.46
"4475","Chicot",2020-10-29,24,1053,23,14.99,0,22.17
"4476","Clark",2020-10-29,39,506,5,5.17,5,17.42
"4477","Clay",2020-10-29,59,496,13,7.23,3,39.17
"4478","Cleburne",2020-10-29,25,463,15,4.92,1,9.91
"4479","Cleveland",2020-10-29,32,241,13,5.97,3,38.9
"4480","Columbia",2020-10-29,55,720,21,9.16,9,23.02
"4481","Conway",2020-10-29,19,352,3,4.16,3,9.09
"4482","Craighead",2020-10-29,532,4646,48,8.84,63,50.33
"4483","Crawford",2020-10-29,192,2086,27,6.83,23,30.73
"4484","Crittenden",2020-10-29,203,2442,52,12.46,14,41.42
"4485","Cross",2020-10-29,50,598,22,8.4,5,29.42
"4486","Dallas",2020-10-29,3,180,6,6.1,0,4.04
"4487","Desha",2020-10-29,47,420,7,7.69,6,39.54
"4488","Drew",2020-10-29,35,435,7,5.44,2,18.92
"4489","Faulkner",2020-10-29,254,3430,36,6.33,41,20.75
"4490","Franklin",2020-10-29,76,540,3,5.86,3,42.74
"4491","Fulton",2020-10-29,47,332,9,10.96,2,38.72
"4492","Garland",2020-10-29,308,2591,67,5.96,110,31.33
"4493","Grant",2020-10-29,32,374,4,5.09,6,17.69
"4494","Greene",2020-10-29,257,1557,20,7.38,16,57.59
"4495","Hempstead",2020-10-29,43,564,5,7.77,7,19.53
"4496","HotSpring",2020-10-29,120,2227,38,11.05,15,35.8
"4497","Howard",2020-10-29,44,599,14,11.81,9,32.86
"4498","Independence",2020-10-29,61,1476,55,9.03,4,16.37
"4499","Izard",2020-10-29,205,614,2,9.72,10,151.19
"4500","Jackson",2020-10-29,182,788,6,7.67,15,105.66
"4501","Jefferson",2020-10-29,292,4243,102,9.51,12,41.46
"4502","Johnson",2020-10-29,82,1042,8,9.36,17,31.19
"4503","Lafayette",2020-10-29,19,176,3,10.91,3,27.48
"4504","Lawrence",2020-10-29,101,848,19,12.1,15,60.59
"4505","Lee",2020-10-29,10,1111,18,17.99,1,10.64
"4506","Lincoln",2020-10-29,144,2333,17,19.87,0,105.15
"4507","LittleRiver",2020-10-29,29,465,38,16.63,6,23.36
"4508","Logan",2020-10-29,49,603,4,5.75,8,22.52
"4509","Lonoke",2020-10-29,236,1806,29,5.96,25,32.68
"4510","Madison",2020-10-29,21,433,6,7.45,2,13.06
"4511","Marion",2020-10-29,23,161,2,4.35,6,13.99
"4512","Miller",2020-10-29,230,1480,16,14.83,23,52.56
"4513","MissingCountyInfo",2020-10-29,493,2085,0,3.24,-10,NA
"4514","Mississippi",2020-10-29,245,2338,68,13.86,22,57.2
"4515","Monroe",2020-10-29,13,216,1,6.57,4,17.93
"4516","Montgomery",2020-10-29,4,184,8,5.82,1,4.45
"4517","Nevada",2020-10-29,41,317,14,6.51,6,48.58
"4518","Newton",2020-10-29,30,319,20,11.44,5,38.23
"4519","Ouachita",2020-10-29,55,391,9,4.93,6,22.82
"4520","Perry",2020-10-29,13,142,1,3.01,3,12.59
"4521","Phillips",2020-10-29,68,767,16,8.01,10,35.73
"4522","Pike",2020-10-29,14,270,1,8.5,1,12.95
"4523","Poinsett",2020-10-29,202,1133,20,8.73,18,83.98
"4524","Polk",2020-10-29,20,364,5,5.96,4,9.92
"4525","Pope",2020-10-29,167,2774,38,8.62,15,26.24
"4526","Prairie",2020-10-29,45,236,4,7.06,5,54.59
"4527","Pulaski",2020-10-29,957,12152,212,6.52,94,24.32
"4528","Randolph",2020-10-29,71,668,24,8.79,9,40.33
"4529","Saline",2020-10-29,266,2916,30,6.52,32,22.54
"4530","Scott",2020-10-29,61,225,1,4.83,5,58.42
"4531","Searcy",2020-10-29,26,205,1,6,3,32.82
"4532","Sebastian",2020-10-29,331,4920,94,7.25,43,25.97
"4533","Sevier",2020-10-29,73,1371,16,15.55,9,42.46
"4534","Sharp",2020-10-29,66,373,10,5.94,8,38.73
"4535","St.Francis",2020-10-29,113,1774,10,10.96,12,42.98
"4536","Stone",2020-10-29,14,404,21,8.65,0,11.25
"4537","Union",2020-10-29,53,1144,49,8.79,14,13.34
"4538","VanBuren",2020-10-29,13,212,3,3.57,1,7.79
"4539","Washington",2020-10-29,569,11616,152,10.49,94,24.9
"4540","White",2020-10-29,203,1516,33,6.29,23,25.76
"4541","Woodruff",2020-10-29,38,126,0,5.14,2,57.06
"4542","Yell",2020-10-29,21,1347,31,9.2,2,9.73
"4543","Arkansas_all_counties",2020-10-30,9796,110874,1900,7.95,1162,32.76
"4544","Arkansas_county",2020-10-30,87,700,16,7.07,8,48
"4545","Ashley",2020-10-30,58,559,11,7.78,7,28.24
"4546","Baxter",2020-10-30,113,712,11,9.37,17,27.41
"4547","Benton",2020-10-30,639,8441,120,8.54,101,24.67
"4548","Boone",2020-10-30,106,1076,35,6.81,19,28.43
"4549","Bradley",2020-10-30,12,373,8,7.63,0,10.96
"4550","Calhoun",2020-10-30,6,54,0,2.63,1,11.53
"4551","Carroll",2020-10-30,74,1028,17,10.08,14,26.54
"4552","Chicot",2020-10-30,19,1054,23,14.93,1,17.55
"4553","Clark",2020-10-30,38,511,5,5.19,5,16.98
"4554","Clay",2020-10-30,53,499,13,7.11,3,35.19
"4555","Cleburne",2020-10-30,29,470,15,4.92,7,11.49
"4556","Cleveland",2020-10-30,37,249,13,6.14,8,44.98
"4557","Columbia",2020-10-30,65,731,21,9.23,11,27.21
"4558","Conway",2020-10-30,21,353,3,4.14,1,10.04
"4559","Craighead",2020-10-30,522,4699,48,8.81,53,49.38
"4560","Crawford",2020-10-30,202,2119,27,6.89,33,32.33
"4561","Crittenden",2020-10-30,205,2467,53,12.51,25,41.83
"4562","Cross",2020-10-30,51,603,22,8.43,5,30
"4563","Dallas",2020-10-30,4,181,6,6.09,1,5.38
"4564","Desha",2020-10-30,48,421,7,7.64,1,40.38
"4565","Drew",2020-10-30,33,440,7,5.44,5,17.84
"4566","Faulkner",2020-10-30,260,3466,36,6.32,36,21.24
"4567","Franklin",2020-10-30,76,551,3,5.88,11,42.74
"4568","Fulton",2020-10-30,40,336,9,11.01,4,32.95
"4569","Garland",2020-10-30,303,2605,67,5.98,14,30.83
"4570","Grant",2020-10-30,29,375,4,5.09,1,16.03
"4571","Greene",2020-10-30,263,1595,20,7.42,38,58.94
"4572","Hempstead",2020-10-30,56,579,5,7.88,15,25.43
"4573","HotSpring",2020-10-30,132,2245,38,11.04,18,39.38
"4574","Howard",2020-10-30,54,612,14,12,13,40.33
"4575","Independence",2020-10-30,60,1480,57,9.01,4,16.1
"4576","Izard",2020-10-30,208,619,2,9.72,5,153.4
"4577","Jackson",2020-10-30,189,812,6,7.77,24,109.72
"4578","Jefferson",2020-10-30,297,4270,102,9.51,27,42.17
"4579","Johnson",2020-10-30,80,1048,8,9.34,6,30.43
"4580","Lafayette",2020-10-30,31,190,3,11.29,14,44.83
"4581","Lawrence",2020-10-30,104,859,19,12.17,11,62.39
"4582","Lee",2020-10-30,11,1113,18,18,2,11.7
"4583","Lincoln",2020-10-30,133,2333,17,19.8,0,97.12
"4584","LittleRiver",2020-10-30,39,476,38,16.74,11,31.41
"4585","Logan",2020-10-30,45,603,4,5.61,0,20.68
"4586","Lonoke",2020-10-30,252,1840,29,6.03,34,34.9
"4587","Madison",2020-10-30,21,434,6,7.44,1,13.06
"4588","Marion",2020-10-30,27,169,2,4.47,8,16.43
"4589","Miller",2020-10-30,263,1532,16,15.06,52,60.1
"4590","MissingCountyInfo",2020-10-30,489,2115,0,3.23,30,NA
"4591","Mississippi",2020-10-30,245,2351,68,13.86,13,57.2
"4592","Monroe",2020-10-30,16,220,1,6.61,4,22.07
"4593","Montgomery",2020-10-30,6,186,8,5.86,2,6.67
"4594","Nevada",2020-10-30,45,324,14,6.53,7,53.32
"4595","Newton",2020-10-30,31,322,20,11.47,3,39.5
"4596","Ouachita",2020-10-30,53,394,9,4.95,3,21.99
"4597","Perry",2020-10-30,15,145,1,3.04,3,14.53
"4598","Phillips",2020-10-30,66,772,16,8,5,34.67
"4599","Pike",2020-10-30,14,270,1,8.47,0,12.95
"4600","Poinsett",2020-10-30,204,1149,21,8.77,16,84.81
"4601","Polk",2020-10-30,19,365,5,5.95,1,9.42
"4602","Pope",2020-10-30,182,2800,38,8.56,26,28.6
"4603","Prairie",2020-10-30,47,239,4,7.1,3,57.01
"4604","Pulaski",2020-10-30,940,12243,213,6.52,91,23.89
"4605","Randolph",2020-10-30,69,674,24,8.8,6,39.2
"4606","Saline",2020-10-30,283,2965,31,6.58,49,23.98
"4607","Scott",2020-10-30,59,228,1,4.85,3,56.5
"4608","Searcy",2020-10-30,25,205,1,5.98,0,31.55
"4609","Sebastian",2020-10-30,352,4972,95,7.26,52,27.62
"4610","Sevier",2020-10-30,78,1379,16,15.53,8,45.37
"4611","Sharp",2020-10-30,63,377,10,5.95,4,36.97
"4612","St.Francis",2020-10-30,110,1779,10,10.97,5,41.83
"4613","Stone",2020-10-30,14,405,21,8.57,1,11.25
"4614","Union",2020-10-30,54,1150,49,8.77,6,13.59
"4615","VanBuren",2020-10-30,13,213,3,3.56,1,7.79
"4616","Washington",2020-10-30,621,11717,152,10.47,101,27.17
"4617","White",2020-10-30,224,1551,33,6.27,35,28.42
"4618","Woodruff",2020-10-30,36,128,0,5.14,2,54.05
"4619","Yell",2020-10-30,28,1354,31,9.02,7,12.98
"4620","Arkansas_all_counties",2020-10-31,10185,112190,1925,7.97,1316,34.06
"4621","Arkansas_county",2020-10-31,86,709,16,7.09,9,47.45
"4622","Ashley",2020-10-31,58,563,11,7.8,4,28.24
"4623","Baxter",2020-10-31,127,749,11,9.66,37,30.81
"4624","Benton",2020-10-31,644,8509,123,8.56,68,24.87
"4625","Boone",2020-10-31,106,1088,35,6.87,12,28.43
"4626","Bradley",2020-10-31,12,373,8,7.59,0,10.96
"4627","Calhoun",2020-10-31,9,57,0,2.77,3,17.3
"4628","Carroll",2020-10-31,80,1039,17,10.12,11,28.69
"4629","Chicot",2020-10-31,17,1055,23,14.93,1,15.7
"4630","Clark",2020-10-31,38,520,5,5.23,9,16.98
"4631","Clay",2020-10-31,57,510,13,7.17,11,37.85
"4632","Cleburne",2020-10-31,32,475,15,4.93,5,12.68
"4633","Cleveland",2020-10-31,36,254,13,6.22,5,43.76
"4634","Columbia",2020-10-31,76,745,21,9.26,14,31.81
"4635","Conway",2020-10-31,26,359,3,4.11,6,12.44
"4636","Craighead",2020-10-31,595,4821,48,8.92,122,56.29
"4637","Crawford",2020-10-31,215,2148,29,6.93,29,34.42
"4638","Crittenden",2020-10-31,235,2513,53,12.68,46,47.95
"4639","Cross",2020-10-31,56,612,22,8.48,9,32.95
"4640","Dallas",2020-10-31,4,181,6,6.08,0,5.38
"4641","Desha",2020-10-31,47,424,7,7.68,3,39.54
"4642","Drew",2020-10-31,33,440,7,5.43,0,17.84
"4643","Faulkner",2020-10-31,256,3500,38,6.31,34,20.91
"4644","Franklin",2020-10-31,88,569,2,5.98,18,49.49
"4645","Fulton",2020-10-31,46,343,10,11.13,7,37.89
"4646","Garland",2020-10-31,303,2620,68,5.99,15,30.83
"4647","Grant",2020-10-31,31,379,4,5.11,4,17.14
"4648","Greene",2020-10-31,276,1628,20,7.5,33,61.85
"4649","Hempstead",2020-10-31,56,584,5,7.83,5,25.43
"4650","HotSpring",2020-10-31,159,2275,37,11.07,30,47.43
"4651","Howard",2020-10-31,53,617,14,11.96,5,39.58
"4652","Independence",2020-10-31,68,1493,57,9.05,13,18.25
"4653","Izard",2020-10-31,204,621,2,9.72,2,150.45
"4654","Jackson",2020-10-31,266,899,6,8.35,87,154.43
"4655","Jefferson",2020-10-31,297,4289,102,9.44,19,42.17
"4656","Johnson",2020-10-31,80,1055,8,9.28,7,30.43
"4657","Lafayette",2020-10-31,31,192,3,11.29,2,44.83
"4658","Lawrence",2020-10-31,108,873,20,12.26,14,64.79
"4659","Lee",2020-10-31,10,1113,18,17.95,0,10.64
"4660","Lincoln",2020-10-31,113,2335,18,19.79,2,82.51
