"","County_Name","Date","Deaths","fhwa_numbe","fips","Positive","Negative","Recuperaciones","Total_Tests","Casos_Activos","pop_5yr_est_2018","pop_5yr_est_2018_2019","Confirmed_Positive","Probable_Positive","Confirmed_Negative","Probable_Negative","Confirmed_Recoveries","Probable_Recoveries","confirmed_death","probable_death","Confirmado_Activo","Probable_Activo","pcr_test","antigen_test","PCR_Positive_Test","PCR_Negative_Tests","antigen_pos_test","antigen_neg_test","Total_Positive_Test","Total_Negative_Test","Nuevos_Casos_Hoy","Recovered_Since_Yesterday","Nuevas_Muertes_Hoy","New_Tests_Dashboard","Cases_Population","Población_Probada","Nuevos_Casos_Hoy_por_cada_10k_Residentes","Casos_Activos_por_cada_10k_Residentes","Confirmed_Active_Cases_10k_Pop","Pct_Positive_Cumulative","Porcentaje_Positivo_de_Novedades_en_el_Tablero","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","lab_prvt","lab_pub"
"1:20","Cross",2021-08-16,54,NA,NA,2346,19424,2163,21860,129,16998,16998,1752,594,NA,NA,1625,538,50,4,77,52,19434,2426,1752,17682,693,1733,2445,19415,1,10,0,37,13.8,128.07,0.59,75.89,45.299446993764,10.78,2.7,2217,2.44,97.56,20015,1755
"1:21","Dallas",2021-08-16,17,NA,NA,1008,10091,940,11100,51,7432,7432,864,144,NA,NA,813,127,12,5,39,12,9422,1678,864,8558,179,1499,1043,10057,1,4,0,8,13.56,149.34,1.35,68.62,52.475780409042,9.08,12.5,957,1.78,98.22,9598,1501
"1:22","Desha",2021-08-16,23,NA,NA,1590,14285,1477,15975,89,11887,11887,1221,369,NA,NA,1152,325,18,5,50,39,11986,3989,1221,10765,469,3520,1690,14285,-1,8,0,18,13.38,133.55,-0.84,74.87,42.0627576343905,10.02,-5.56,1500,1.53,98.47,13743,2132
"1:23","Drew",2021-08-16,49,NA,NA,2416,23417,2267,25925,98,18502,18502,1757,659,NA,NA,1649,619,38,11,69,29,18814,7111,1757,17057,755,6356,2512,23413,1,4,0,27,13.06,139.62,0.54,52.97,37.2932655929089,9.35,3.7,2316,2.12,97.88,22937,2896
"1:24","Faulkner",2021-08-16,182,NA,NA,16478,155492,15292,172793,1001,122416,122416,12139,4339,NA,NA,11327,3966,150,32,660,341,142894,29899,12139,130755,5162,24737,17301,155492,39,116,2,310,13.46,140.48,3.19,81.77,53.91452097765,9.58,12.58,15474,1.18,98.82,142014,29956
"1:25","Franklin",2021-08-16,42,NA,NA,2085,24128,1864,26307,178,17780,17780,1456,629,NA,NA,1330,535,35,7,91,87,21720,4587,1456,20264,723,3864,2179,24128,6,15,1,55,11.73,147.43,3.37,100.11,51.1811023622047,7.95,10.91,1906,2.2,97.8,22547,3666
"1:26","Fulton",2021-08-16,51,NA,NA,1449,9629,1327,11148,71,12139,12139,1004,445,NA,NA,935,392,27,24,42,29,7648,3500,1004,6644,515,2985,1519,9629,1,20,0,56,11.94,91.26,0.82,58.49,34.5992256363786,13.08,1.79,1378,3.7,96.3,9659,1419
"1:27","Garland",2021-08-16,292,NA,NA,13471,123226,12239,137175,938,98296,98296,11165,2306,NA,NA,10163,2076,238,54,762,176,113453,23722,11165,102288,2786,20936,13951,123224,32,85,4,154,13.7,139.07,3.26,95.43,77.5209571091397,9.85,20.78,12531,2.33,97.67,107960,28737
"1:28","Grant",2021-08-16,40,NA,NA,2388,19345,2162,21829,186,18086,18086,1631,757,NA,NA,1467,695,37,3,127,59,16435,5394,1631,14804,853,4541,2484,19345,4,31,1,29,13.2,120.16,2.21,102.84,70.2200597146964,10.99,13.79,2202,1.82,98.18,17775,3958
"1:29","Greene",2021-08-16,85,NA,NA,7599,62217,6934,70125,579,44623,44623,5869,1730,NA,NA,5433,1502,70,15,366,213,58220,11905,5869,52351,2039,9866,7908,62217,52,54,0,408,17.03,156.46,11.65,129.75,82.0204827107097,10.88,12.75,7019,1.21,98.79,62744,7072
