"","Date","Casos_0_10","Casos_11_17","Casos_18_24","Casos_25_34","Casos_35_44","Cases_45_54","Casos_45_54","Casos_65","Casos_Desconocidos","Muertes_0_10","Muertes_11_17","Muertes_18_24","Muertes_25_34","Muertes_35_44","Muertes_45_54","Muertes_55_64","Muertes_65","Muertes_Desconocidos","Casos_0_17","Casos_25_44","Casos_45_64","Muertes_0_17","Muertes_25_44","Muertes_45_64","Nuevos_Casos_0_10","Nuevos_Casos_11_17","Nuevos_Casos_18_24","Nuevos_Casos_25_34","Nuevos_Casos_35_44","Nuevos_Casos_45_54","Nuevos_Casos_55_64","Nuevos_Casos_65","Nuevas_Muertes_0_10","Nuevas_Muertes_11_17","Nuevas_Muertes_18_24","Nuevas_Muertes_25_34","Nuevas_Muertes_35_44","Nuevas_Muertes_45_54","Nuevas_Muertes_55_64","Nuevas_Muertes_65","Nuevos_Casos_0_17","Nuevos_Casos_25_44","Nuevos_Casos_45_64","Nuevas_Muertes_0_17","Nuevas_Muertes_25_44","Nuevas_Muertes_45_64"
"1:10",2021-05-23,20731,29005,43782,54729,51941,48237,41933,49779,0,0,0,9,36,103,265,701,4703,0,NA,NA,NA,NA,NA,NA,6,10,14,18,14,15,10,10,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"1:11",2021-05-22,20725,28995,43768,54711,51927,48222,41923,49769,0,0,0,9,36,103,265,701,4702,0,NA,NA,NA,NA,NA,NA,15,23,25,28,31,22,20,13,0,0,1,0,0,1,0,3,NA,NA,NA,NA,NA,NA
"1:12",2021-05-21,20710,28972,43743,54683,51896,48200,41903,49756,0,0,0,8,36,103,264,701,4699,0,NA,NA,NA,NA,NA,NA,11,17,29,31,37,30,28,18,0,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA
"1:13",2021-05-20,20699,28955,43714,54652,51859,48170,41875,49738,0,0,0,8,36,103,263,700,4698,0,NA,NA,NA,NA,NA,NA,24,25,31,37,41,30,39,29,0,0,0,0,0,0,2,1,NA,NA,NA,NA,NA,NA
"1:14",2021-05-19,20675,28930,43683,54615,51818,48140,41836,49709,0,0,0,8,36,103,263,698,4697,0,NA,NA,NA,NA,NA,NA,25,37,25,40,39,27,20,31,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"1:15",2021-05-18,20650,28893,43658,54575,51779,48113,41816,49678,0,0,0,8,36,103,263,698,4697,0,NA,NA,NA,NA,NA,NA,24,30,33,61,54,41,34,36,0,0,0,1,1,1,1,5,NA,NA,NA,NA,NA,NA
"1:16",2021-05-17,20626,28863,43625,54514,51725,48072,41782,49642,0,0,0,8,35,102,262,697,4692,0,NA,NA,NA,NA,NA,NA,5,3,10,20,8,11,2,8,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
"1:17",2021-05-16,20621,28860,43615,54494,51717,48061,41780,49634,0,0,0,8,35,102,262,697,4690,0,NA,NA,NA,NA,NA,NA,7,7,25,11,10,14,6,15,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"1:18",2021-05-15,20614,28853,43590,54483,51707,48047,41774,49619,0,0,0,8,35,102,262,697,4689,0,NA,NA,NA,NA,NA,NA,12,20,30,29,42,31,13,25,0,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA
"1:19",2021-05-14,20602,28833,43560,54454,51665,48016,41761,49594,0,0,0,8,35,102,261,696,4688,0,NA,NA,NA,NA,NA,NA,23,37,34,39,40,34,21,22,0,0,0,0,0,0,1,6,NA,NA,NA,NA,NA,NA
"1:20",2021-05-13,20579,28796,43526,54415,51625,47982,41740,49572,0,0,0,8,35,102,261,695,4682,0,NA,NA,NA,NA,NA,NA,20,40,24,32,25,14,15,22,0,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA
"1:21",2021-05-12,20559,28756,43502,54383,51600,47968,41725,49550,0,0,0,8,35,102,261,694,4677,0,NA,NA,NA,NA,NA,NA,17,27,28,39,32,31,27,23,0,0,0,0,0,1,1,5,NA,NA,NA,NA,NA,NA
"1:22",2021-05-11,20542,28729,43474,54344,51568,47937,41698,49527,0,0,0,8,35,102,260,693,4672,0,NA,NA,NA,NA,NA,NA,20,31,25,36,41,32,29,19,0,0,0,0,0,1,2,3,NA,NA,NA,NA,NA,NA
"1:23",2021-05-10,20522,28698,43449,54308,51527,47905,41669,49508,0,0,0,8,35,102,259,691,4669,0,NA,NA,NA,NA,NA,NA,3,7,11,14,15,8,8,10,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA
"1:24",2021-05-09,20519,28691,43438,54294,51512,47897,41661,49498,0,0,0,8,35,102,259,691,4666,0,NA,NA,NA,NA,NA,NA,10,19,5,14,25,7,9,6,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"1:25",2021-05-08,20509,28672,43433,54280,51487,47890,41652,49492,0,0,0,8,35,102,258,691,4666,0,NA,NA,NA,NA,NA,NA,23,26,33,48,33,36,19,27,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"1:26",2021-05-07,20486,28646,43400,54232,51454,47854,41633,49465,0,0,0,8,35,102,258,690,4666,0,NA,NA,NA,NA,NA,NA,20,26,26,30,34,41,24,21,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
"1:27",2021-05-06,20466,28620,43374,54202,51420,47813,41609,49444,0,0,0,8,35,102,258,690,4664,0,NA,NA,NA,NA,NA,NA,15,32,16,36,31,14,21,23,0,0,0,0,0,2,0,1,NA,NA,NA,NA,NA,NA
"1:28",2021-05-05,20451,28588,43358,54166,51389,47799,41588,49421,0,0,0,8,35,102,256,690,4663,0,NA,NA,NA,NA,NA,NA,29,23,43,75,54,34,22,18,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
"1:29",2021-05-04,20422,28565,43315,54091,51335,47765,41566,49403,0,0,0,8,35,102,256,690,4661,0,NA,NA,NA,NA,NA,NA,20,41,36,55,51,42,24,27,0,0,0,0,0,0,1,4,NA,NA,NA,NA,NA,NA
"1:30",2021-05-03,20402,28524,43279,54036,51284,47723,41542,49376,0,0,0,8,35,102,256,689,4657,0,NA,NA,NA,NA,NA,NA,5,6,4,8,7,13,8,10,0,0,0,0,0,0,1,3,NA,NA,NA,NA,NA,NA
"1:31",2021-05-02,20397,28518,43275,54028,51277,47710,41534,49366,0,0,0,8,35,102,256,688,4654,0,NA,NA,NA,NA,NA,NA,10,18,20,19,23,19,12,16,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
"1:32",2021-05-01,20387,28500,43255,54009,51254,47691,41522,49350,0,0,0,8,35,102,256,688,4652,0,NA,NA,NA,NA,NA,NA,12,29,38,46,38,33,23,24,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
"1:33",2021-04-30,20375,28471,43217,53963,51216,47658,41499,49326,0,0,0,8,35,102,256,688,4650,0,NA,NA,NA,NA,NA,NA,21,23,31,27,28,19,21,26,0,0,0,0,1,1,0,2,NA,NA,NA,NA,NA,NA
"1:34",2021-04-29,20354,28448,43186,53936,51188,47639,41478,49300,0,0,0,8,35,101,255,688,4648,0,NA,NA,NA,NA,NA,NA,19,28,42,41,42,31,24,13,0,0,0,0,1,0,3,5,NA,NA,NA,NA,NA,NA
"1:35",2021-04-28,20335,28420,43144,53895,51146,47608,41454,49287,0,0,0,8,35,100,255,685,4643,0,NA,NA,NA,NA,NA,NA,25,60,43,30,33,47,13,40,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"1:36",2021-04-27,20310,28360,43101,53865,51113,47561,41441,49247,0,0,0,8,35,100,255,684,4643,0,NA,NA,NA,NA,NA,NA,14,36,33,43,33,32,17,21,0,0,0,0,0,0,0,5,NA,NA,NA,NA,NA,NA
"1:37",2021-04-26,20296,28324,43068,53822,51080,47529,41424,49226,0,0,0,8,35,100,255,684,4638,0,NA,NA,NA,NA,NA,NA,2,3,4,14,16,5,8,11,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
"1:38",2021-04-25,20294,28321,43064,53808,51064,47524,41416,49215,0,0,0,8,35,100,255,684,4636,0,NA,NA,NA,NA,NA,NA,8,2,9,15,6,10,5,9,0,0,0,0,0,0,-1,2,NA,NA,NA,NA,NA,NA
"1:39",2021-04-24,20286,28319,43055,53793,51058,47514,41411,49206,0,0,0,8,35,100,255,685,4634,0,NA,NA,NA,NA,NA,NA,8,27,31,31,37,18,14,18,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
"1:40",2021-04-23,20278,28292,43024,53762,51021,47496,41397,49188,0,0,0,8,34,100,255,685,4634,0,NA,NA,NA,NA,NA,NA,12,31,39,42,33,26,29,24,0,0,0,0,0,0,2,3,NA,NA,NA,NA,NA,NA
"1:41",2021-04-22,20266,28261,42985,53720,50988,47470,41368,49164,0,0,0,8,34,100,255,683,4631,0,NA,NA,NA,NA,NA,NA,16,14,20,21,33,19,18,20,0,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA
"1:42",2021-04-21,20250,28247,42965,53699,50955,47451,41350,49144,0,0,0,8,34,100,254,682,4630,0,NA,NA,NA,NA,NA,NA,29,44,61,55,46,46,42,29,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
"1:43",2021-04-20,20221,28203,42904,53644,50909,47405,41308,49115,0,0,0,8,34,100,254,682,4628,0,NA,NA,NA,NA,NA,NA,19,28,23,34,32,21,20,21,0,0,0,0,0,0,1,6,NA,NA,NA,NA,NA,NA
"1:44",2021-04-19,20202,28175,42881,53610,50877,47384,41288,49094,0,0,0,8,34,100,254,681,4622,0,NA,NA,NA,NA,NA,NA,1,7,6,8,10,10,9,8,0,0,0,0,1,0,1,3,NA,NA,NA,NA,NA,NA
"1:45",2021-04-18,20201,28168,42875,53602,50867,47374,41279,49086,0,0,0,8,34,99,254,680,4619,0,NA,NA,NA,NA,NA,NA,6,6,7,5,6,5,4,6,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"1:46",2021-04-17,20195,28162,42868,53597,50861,47369,41275,49080,0,0,0,8,34,99,254,679,4619,0,NA,NA,NA,NA,NA,NA,17,25,30,41,28,26,28,26,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"1:47",2021-04-16,20178,28137,42838,53556,50833,47343,41247,49054,0,0,0,8,34,99,254,679,4618,0,NA,NA,NA,NA,NA,NA,22,26,24,39,35,28,34,29,0,0,0,0,-1,1,2,4,NA,NA,NA,NA,NA,NA
"1:48",2021-04-15,20156,28111,42814,53517,50798,47315,41213,49025,0,0,0,8,34,100,253,677,4614,0,NA,NA,NA,NA,NA,NA,24,27,32,50,52,38,31,29,0,0,0,0,1,0,-1,6,NA,NA,NA,NA,NA,NA
"1:49",2021-04-14,20132,28084,42782,53467,50746,47277,41182,48996,0,0,0,8,34,99,253,678,4608,0,NA,NA,NA,NA,NA,NA,21,25,23,33,37,30,28,23,0,0,0,0,0,0,2,5,NA,NA,NA,NA,NA,NA
"1:50",2021-04-13,20111,28059,42759,53434,50709,47247,41154,48973,0,0,0,8,34,99,253,676,4603,0,NA,NA,NA,NA,NA,NA,24,20,26,36,31,29,29,29,0,0,0,0,2,1,2,3,NA,NA,NA,NA,NA,NA
"1:51",2021-04-12,20087,28039,42733,53398,50678,47218,41125,48944,0,0,0,8,34,97,252,674,4600,0,NA,NA,NA,NA,NA,NA,6,4,8,13,14,12,8,4,0,0,0,0,0,0,2,2,NA,NA,NA,NA,NA,NA
"1:52",2021-04-11,20081,28035,42725,53385,50664,47206,41117,48940,0,0,0,8,34,97,252,672,4598,0,NA,NA,NA,NA,NA,NA,5,6,20,25,18,13,6,7,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"1:53",2021-04-10,20076,28029,42705,53360,50646,47193,41111,48933,0,0,0,8,34,97,252,672,4598,0,NA,NA,NA,NA,NA,NA,13,22,28,28,22,25,15,18,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"1:54",2021-04-09,20063,28007,42677,53332,50624,47168,41096,48915,0,0,0,8,34,97,252,672,4598,0,NA,NA,NA,NA,NA,NA,21,18,22,35,31,21,15,15,0,0,0,0,0,0,0,-1,NA,NA,NA,NA,NA,NA
"1:55",2021-04-08,20042,27989,42655,53297,50593,47147,41081,48900,0,0,0,8,34,97,252,672,4599,0,NA,NA,NA,NA,NA,NA,14,20,41,44,23,27,13,17,0,0,0,0,0,0,-1,3,NA,NA,NA,NA,NA,NA
"1:56",2021-04-07,20028,27969,42614,53253,50570,47120,41068,48883,0,0,0,8,34,97,252,673,4596,0,NA,NA,NA,NA,NA,NA,11,28,37,41,33,32,35,27,0,0,0,0,1,0,3,3,NA,NA,NA,NA,NA,NA
"1:57",2021-04-06,20017,27941,42577,53212,50537,47088,41033,48856,0,0,0,8,34,96,252,670,4593,0,NA,NA,NA,NA,NA,NA,6,14,36,25,27,26,18,11,0,0,0,0,0,1,1,3,NA,NA,NA,NA,NA,NA
"1:58",2021-04-05,20011,27927,42541,53187,50510,47062,41015,48845,0,0,0,8,34,96,251,669,4590,0,NA,NA,NA,NA,NA,NA,-3,2,7,10,4,11,7,6,0,0,0,1,0,0,0,4,NA,NA,NA,NA,NA,NA
"1:59",2021-04-04,20014,27925,42534,53177,50506,47051,41008,48839,0,0,0,8,33,96,251,669,4586,0,NA,NA,NA,NA,NA,NA,7,7,14,21,0,0,1,1,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA
"1:60",2021-04-03,20007,27918,42520,53156,50497,47038,41001,48833,0,0,0,8,33,96,251,668,4585,0,NA,NA,NA,NA,NA,NA,14,20,36,29,38,37,25,18,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
"1:61",2021-04-02,19993,27898,42484,53127,50459,47001,40976,48815,0,0,0,8,33,96,251,668,4583,0,NA,NA,NA,NA,NA,NA,15,27,12,21,26,16,13,14,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA
"1:62",2021-04-01,19978,27871,42472,53106,50433,46985,40963,48801,0,0,0,8,33,96,251,668,4580,0,NA,NA,NA,NA,NA,NA,15,15,26,39,32,35,24,25,0,0,1,0,-1,1,5,4,NA,NA,NA,NA,NA,NA
"1:63",2021-03-31,19963,27856,42446,53067,50401,46950,40939,48776,0,0,0,7,33,97,250,663,4576,0,NA,NA,NA,NA,NA,NA,14,23,32,36,34,29,16,28,0,0,0,0,0,1,2,7,NA,NA,NA,NA,NA,NA
"1:64",2021-03-30,19949,27833,42414,53031,50367,46921,40923,48748,0,0,0,7,33,97,249,661,4569,0,NA,NA,NA,NA,NA,NA,13,22,35,41,42,38,36,30,0,0,0,0,0,1,3,17,NA,NA,NA,NA,NA,NA
"1:65",2021-03-28,19936,27811,42379,52990,50325,46883,40887,48718,0,0,0,7,33,97,248,658,4552,0,NA,NA,NA,NA,NA,NA,7,7,14,9,12,7,9,4,0,0,0,0,0,0,0,5,NA,NA,NA,NA,NA,NA
"1:66",2021-03-27,19929,27804,42365,52981,50313,46876,40878,48714,0,0,0,7,33,97,248,658,4547,0,NA,NA,NA,NA,NA,NA,9,16,15,37,24,28,17,19,0,0,0,0,0,1,0,6,NA,NA,NA,NA,NA,NA
"1:67",2021-03-26,19920,27788,42350,52944,50289,46848,40861,48695,0,0,0,7,33,97,247,658,4541,0,NA,NA,NA,NA,NA,NA,18,8,28,43,25,31,15,16,0,0,0,0,1,1,2,8,NA,NA,NA,NA,NA,NA
"1:68",2021-03-25,19902,27780,42322,52901,50264,46817,40846,48679,0,0,0,7,33,96,246,656,4533,0,NA,NA,NA,NA,NA,NA,17,35,40,52,61,44,38,47,0,0,0,0,1,1,3,6,NA,NA,NA,NA,NA,NA
"1:69",2021-03-24,19885,27745,42282,52849,50203,46773,40808,48632,0,0,0,7,33,95,245,653,4527,0,NA,NA,NA,NA,NA,NA,8,11,23,34,32,33,30,60,0,0,0,0,0,1,1,11,NA,NA,NA,NA,NA,NA
"1:70",2021-03-23,19877,27734,42259,52815,50171,46740,40778,48572,0,0,0,7,33,95,244,652,4516,0,NA,NA,NA,NA,NA,NA,13,17,29,30,37,34,31,48,0,0,0,0,1,0,0,2,NA,NA,NA,NA,NA,NA
"1:71",2021-03-22,19864,27717,42230,52785,50134,46706,40747,48524,0,0,0,7,33,94,244,652,4514,0,NA,NA,NA,NA,NA,NA,4,4,9,9,8,2,9,7,0,0,0,0,0,0,0,5,NA,NA,NA,NA,NA,NA
"1:72",2021-03-21,19860,27713,42221,52776,50126,46704,40738,48517,0,0,0,7,33,94,244,652,4509,0,NA,NA,NA,NA,NA,NA,2,9,16,13,18,15,16,19,0,0,0,0,0,0,-1,7,NA,NA,NA,NA,NA,NA
"1:73",2021-03-20,19858,27704,42205,52763,50108,46689,40722,48498,0,0,0,7,33,94,244,653,4502,0,NA,NA,NA,NA,NA,NA,19,31,30,52,43,36,41,22,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA
"1:74",2021-03-19,19839,27673,42175,52711,50065,46653,40681,48476,0,0,0,7,33,94,244,653,4498,0,NA,NA,NA,NA,NA,NA,17,21,21,38,23,27,32,49,0,0,0,0,0,2,3,9,NA,NA,NA,NA,NA,NA
"1:75",2021-03-18,19822,27652,42154,52673,50042,46626,40649,48427,0,0,0,7,33,94,242,650,4489,0,NA,NA,NA,NA,NA,NA,20,30,29,44,38,35,27,41,0,0,0,0,1,-1,3,5,NA,NA,NA,NA,NA,NA
"1:76",2021-03-17,19802,27622,42125,52629,50004,46591,40622,48386,0,0,0,7,33,93,243,647,4484,0,NA,NA,NA,NA,NA,NA,21,21,30,35,60,48,44,66,0,0,0,0,1,1,3,9,NA,NA,NA,NA,NA,NA
"1:77",2021-03-16,19781,27601,42095,52594,49944,46543,40578,48320,0,0,0,7,33,92,242,644,4475,0,NA,NA,NA,NA,NA,NA,10,35,58,62,61,58,53,59,0,0,0,0,2,2,2,6,NA,NA,NA,NA,NA,NA
"1:78",2021-03-15,19771,27566,42037,52532,49883,46485,40525,48261,0,0,0,7,33,90,240,642,4469,0,NA,NA,NA,NA,NA,NA,6,14,23,29,14,14,6,11,0,0,0,0,0,1,1,5,NA,NA,NA,NA,NA,NA
"1:79",2021-03-14,19765,27552,42014,52503,49869,46471,40519,48250,0,0,0,7,33,90,239,641,4464,0,NA,NA,NA,NA,NA,NA,0,15,16,21,20,20,14,24,0,0,0,0,1,0,4,14,NA,NA,NA,NA,NA,NA
"1:80",2021-03-13,19765,27537,41998,52482,49849,46451,40505,48226,0,0,0,7,33,89,239,637,4450,0,NA,NA,NA,NA,NA,NA,18,20,30,60,58,44,45,39,0,0,0,0,1,2,3,12,NA,NA,NA,NA,NA,NA
"1:81",2021-03-12,19747,27517,41968,52422,49791,46407,40460,48187,0,0,0,7,33,88,237,634,4438,0,NA,NA,NA,NA,NA,NA,35,38,44,78,58,57,59,90,0,0,0,0,1,2,2,22,NA,NA,NA,NA,NA,NA
"1:82",2021-03-11,19712,27479,41924,52344,49733,46350,40401,48097,0,0,0,7,33,87,235,632,4416,0,NA,NA,NA,NA,NA,NA,20,36,55,27,52,44,51,55,0,0,0,0,0,1,3,24,NA,NA,NA,NA,NA,NA
"1:83",2021-03-10,19692,27443,41869,52317,49681,46306,40350,48042,0,0,0,7,33,87,234,629,4392,0,NA,NA,NA,NA,NA,NA,13,24,32,45,55,41,33,74,0,0,0,0,0,1,4,20,NA,NA,NA,NA,NA,NA
"1:84",2021-03-09,19679,27419,41837,52272,49626,46265,40317,47968,0,0,0,7,33,87,233,625,4372,0,NA,NA,NA,NA,NA,NA,22,35,52,54,54,46,51,118,0,0,1,0,1,1,0,11,NA,NA,NA,NA,NA,NA
"1:85",2021-03-08,19657,27384,41785,52218,49572,46219,40266,47850,0,0,0,6,33,86,232,625,4361,0,NA,NA,NA,NA,NA,NA,8,11,9,24,15,15,16,35,0,0,0,0,0,1,2,21,NA,NA,NA,NA,NA,NA
"1:86",2021-03-07,19649,27373,41776,52194,49557,46204,40250,47815,0,0,0,6,33,86,231,623,4340,0,NA,NA,NA,NA,NA,NA,7,10,22,25,18,23,26,34,0,0,0,0,0,1,2,19,NA,NA,NA,NA,NA,NA
"1:87",2021-03-06,19642,27363,41754,52169,49539,46181,40224,47781,0,0,0,6,33,86,230,621,4321,0,NA,NA,NA,NA,NA,NA,22,30,34,54,48,38,42,59,0,0,0,0,1,0,1,12,NA,NA,NA,NA,NA,NA
"1:88",2021-03-05,19620,27333,41720,52115,49491,46143,40182,47722,0,0,0,6,33,85,230,620,4309,0,NA,NA,NA,NA,NA,NA,41,58,79,79,82,79,71,81,0,0,0,0,0,0,1,9,NA,NA,NA,NA,NA,NA
"1:89",2021-03-04,19579,27275,41641,52036,49409,46064,40111,47641,0,0,0,6,33,85,230,619,4300,0,NA,NA,NA,NA,NA,NA,27,29,40,74,68,61,48,56,0,0,0,0,2,1,0,9,NA,NA,NA,NA,NA,NA
"1:90",2021-03-03,19552,27246,41601,51962,49341,46003,40063,47585,0,0,0,6,33,83,229,619,4291,0,NA,NA,NA,NA,NA,NA,34,36,41,70,71,44,52,56,0,0,0,0,1,0,3,3,NA,NA,NA,NA,NA,NA
"1:91",2021-03-02,19518,27210,41560,51892,49270,45959,40011,47529,0,0,0,6,33,82,229,616,4288,0,NA,NA,NA,NA,NA,NA,13,31,40,67,66,58,64,101,0,0,0,0,0,0,1,3,NA,NA,NA,NA,NA,NA
"1:92",2021-03-01,19505,27179,41520,51825,49204,45901,39947,47428,0,0,0,6,33,82,229,615,4285,0,NA,NA,NA,NA,NA,NA,12,14,6,19,14,15,17,-3,0,0,0,0,0,0,3,4,NA,NA,NA,NA,NA,NA
"1:93",2021-02-28,19493,27165,41514,51806,49190,45886,39930,47431,0,0,0,6,33,82,229,612,4281,0,NA,NA,NA,NA,NA,NA,238,2,369,638,566,515,480,412,0,0,0,-5,-1,-9,-24,-135,NA,NA,NA,NA,NA,NA
"1:94",2021-02-27,19255,27163,41145,51168,48624,45371,39450,47019,0,0,0,6,38,83,238,636,4416,0,NA,NA,NA,NA,NA,NA,27,26,75,94,119,70,64,82,0,0,0,0,0,1,1,8,NA,NA,NA,NA,NA,NA
"1:95",2021-02-26,19228,27137,41070,51074,48505,45301,39386,46937,0,0,0,6,38,83,237,635,4408,0,NA,NA,NA,NA,NA,NA,36,33,76,67,79,90,55,80,0,0,0,0,0,0,2,8,NA,NA,NA,NA,NA,NA
"1:96",2021-02-25,19192,27104,40994,51007,48426,45211,39331,46857,0,0,0,6,38,83,237,633,4400,0,NA,NA,NA,NA,NA,NA,43,42,91,105,108,101,120,116,0,0,0,0,0,1,3,6,NA,NA,NA,NA,NA,NA
"1:97",2021-02-24,19149,27062,40903,50902,48318,45110,39211,46741,0,0,0,6,38,83,236,630,4394,0,NA,NA,NA,NA,NA,NA,70,86,74,136,103,126,99,109,0,0,0,0,0,2,1,7,NA,NA,NA,NA,NA,NA
"1:98",2021-02-23,19079,26976,40829,50766,48215,44984,39112,46632,0,0,0,6,38,83,234,629,4387,0,NA,NA,NA,NA,NA,NA,66,69,85,134,156,110,106,108,0,0,0,0,0,1,4,9,NA,NA,NA,NA,NA,NA
"1:99",2021-02-22,19013,26907,40744,50632,48059,44874,39006,46524,0,0,0,6,38,83,233,625,4378,0,NA,NA,NA,NA,NA,NA,8,15,24,45,32,41,35,45,0,0,0,0,0,0,0,6,NA,NA,NA,NA,NA,NA
"1:100",2021-02-21,19005,26892,40720,50587,48027,44833,38971,46479,0,0,0,6,38,83,233,625,4372,0,NA,NA,NA,NA,NA,NA,17,30,30,43,61,40,32,31,0,0,0,0,0,0,1,8,NA,NA,NA,NA,NA,NA
"1:101",2021-02-20,18988,26862,40690,50544,47966,44793,38939,46448,0,0,0,6,38,83,233,624,4364,0,NA,NA,NA,NA,NA,NA,40,29,62,79,82,81,70,74,0,0,0,0,0,2,1,9,NA,NA,NA,NA,NA,NA
"1:102",2021-02-19,18948,26833,40628,50465,47884,44712,38869,46374,0,0,0,6,38,83,231,623,4355,0,NA,NA,NA,NA,NA,NA,19,12,43,42,47,27,34,44,0,0,0,0,0,2,1,10,NA,NA,NA,NA,NA,NA
"1:103",2021-02-18,18929,26821,40585,50423,47837,44685,38835,46330,0,0,0,6,38,83,229,622,4345,0,NA,NA,NA,NA,NA,NA,17,11,34,34,47,25,38,47,0,0,0,0,0,0,1,9,NA,NA,NA,NA,NA,NA
"1:104",2021-02-17,18912,26810,40551,50389,47790,44660,38797,46283,0,0,0,6,38,83,229,621,4336,0,NA,NA,NA,NA,NA,NA,33,65,70,108,91,101,104,95,0,0,0,0,0,1,7,18,NA,NA,NA,NA,NA,NA
"1:105",2021-02-16,18879,26745,40481,50281,47699,44559,38693,46188,0,0,0,6,38,83,228,614,4318,0,NA,NA,NA,NA,NA,NA,13,15,15,22,19,28,35,30,0,0,0,0,0,1,1,10,NA,NA,NA,NA,NA,NA
"1:106",2021-02-15,18866,26730,40466,50259,47680,44531,38658,46158,0,0,0,6,38,83,227,613,4308,0,NA,NA,NA,NA,NA,NA,21,19,41,53,70,31,49,36,0,0,0,0,0,0,0,10,NA,NA,NA,NA,NA,NA
"1:107",2021-02-14,18845,26711,40425,50206,47610,44500,38609,46122,0,0,0,6,38,83,227,613,4298,0,NA,NA,NA,NA,NA,NA,29,44,58,80,70,63,58,64,0,0,0,0,0,0,4,9,NA,NA,NA,NA,NA,NA
"1:108",2021-02-13,18816,26667,40367,50126,47540,44437,38551,46058,0,0,0,6,38,83,227,609,4289,0,NA,NA,NA,NA,NA,NA,52,106,116,163,131,130,124,132,0,0,0,0,2,0,3,35,NA,NA,NA,NA,NA,NA
"1:109",2021-02-12,18764,26561,40251,49963,47409,44307,38427,45926,0,0,0,6,38,81,227,606,4254,0,NA,NA,NA,NA,NA,NA,17,60,87,99,86,82,74,60,0,0,0,0,0,0,1,12,NA,NA,NA,NA,NA,NA
"1:110",2021-02-11,18747,26501,40164,49864,47323,44225,38353,45866,0,0,0,6,38,81,227,605,4242,0,NA,NA,NA,NA,NA,NA,104,125,130,183,153,162,117,129,0,0,0,0,1,2,2,20,NA,NA,NA,NA,NA,NA
"1:111",2021-02-10,18643,26376,40034,49681,47170,44063,38236,45737,0,0,0,6,38,80,225,603,4222,0,NA,NA,NA,NA,NA,NA,88,111,98,168,168,158,133,168,0,0,0,0,1,1,3,21,NA,NA,NA,NA,NA,NA
