District LEA,District Description,2 or More Races Total,Asian Total,Black Total,Hispanic Total,Native American/Native Alaskan Total,Native Hawaiian/Pacific Islander Total,White Total,Student Total
407000,PEA RIDGE SCHOOL DISTRICT,30,16,25,183,35,4,1923,2216
5303000,PERRYVILLE SCHOOL DISTRICT,24,2,2,29,0,0,827,884
1104000,PIGGOTT SCHOOL DISTRICT,12,1,10,17,0,0,755,795
3541700,PINE BLUFF LIGHTHOUSE ACADEMY,2,1,213,3,0,0,3,222
3505000,PINE BLUFF SCHOOL DISTRICT,23,13,2680,39,5,1,38,2799
6103000,POCAHONTAS SCHOOL DISTRICT,72,18,15,67,5,201,1559,1937
5804000,POTTSVILLE SCHOOL DISTRICT,0,16,22,133,9,0,1588,1768
2703000,POYEN SCHOOL DISTRICT,12,2,1,18,0,0,488,521
7206000,PRAIRIE GROVE SCHOOL DISTRICT,47,23,43,139,61,5,1727,2045
5006000,PRESCOTT SCHOOL DISTRICT,0,10,366,65,12,0,460,913
6003000,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,433,290,5075,1098,48,5,4475,11424
1203000,QUITMAN SCHOOL DISTRICT,9,3,5,15,0,0,701,733
1106000,RECTOR SCHOOL DISTRICT,0,0,5,14,0,0,535,554
442700,RESPONSIVE ED SOLUTIONS NORTHWEST ARK CLASSICAL ACADEMY,30,300,63,84,5,0,566,1048
6053700,RESPONSIVE ED SOLUTIONS PREMIER HIGH SCHOOL OF LITTLE ROCK,3,0,107,4,1,0,10,125
6062700,RESPONSIVE ED SOLUTIONS PREMIER HIGH SCHOOL OF NORTH LITTLE ROCK,5,0,82,8,1,0,40,136
4706000,RIVERCREST SCHOOL DISTRICT,31,3,278,76,2,0,693,1083
1613000,RIVERSIDE SCHOOL DISTRICT,10,0,9,49,2,2,676,748
7307000,RIVERVIEW SCHOOL DISTRICT,75,2,109,176,0,1,795,1158
405000,ROGERS SCHOOL DISTRICT,469,290,234,7332,95,333,6602,15355
7310000,ROSE BUD SCHOOL DISTRICT,0,1,2,38,5,0,700,746
5805000,RUSSELLVILLE SCHOOL DISTRICT,258,77,335,1333,11,8,3190,5212
2502000,SALEM SCHOOL DISTRICT,26,2,3,19,3,0,797,850
6060700,SCHOLARMADE ACHIEVEMENT PLACE OF ARKANSAS,1,0,351,10,0,0,1,363
4204000,SCRANTON SCHOOL DISTRICT,6,17,2,16,0,0,410,451
6502000,SEARCY COUNTY SCHOOL DISTRICT,17,1,1,19,1,0,689,728
7311000,SEARCY SCHOOL DISTRICT,273,55,410,410,3,0,2796,3947
2705000,SHERIDAN SCHOOL DISTRICT,101,56,100,244,14,0,3588,4103
7104000,SHIRLEY SCHOOL DISTRICT,1,3,7,4,1,1,308,325
406000,SILOAM SPRINGS SCHOOL DISTRICT,221,131,48,1343,228,15,2188,4174
3806000,SLOAN-HENDRIX SCHOOL DISTRICT,5,2,3,14,2,0,675,701
7008000,SMACKOVER-NORPHLET SCHOOL DISTRICT,19,6,169,41,4,3,790,1032
1507000,SOUTH CONWAY COUNTY SCHOOL DISTRICT,157,9,380,173,8,6,1631,2364
5504000,SOUTH PIKE COUNTY SCHOOL DISTRICT,29,0,43,50,3,0,586,711
7105000,SOUTH SIDE SCHOOL DISTRICT(VANBUREN),18,2,2,8,3,0,460,493
3209000,SOUTHSIDE SCHOOL DISTRICT (INDEPENDENCE),29,8,38,101,8,1,1799,1984
2906000,SPRING HILL SCHOOL DISTRICT,31,2,5,31,3,1,495,568
7207000,SPRINGDALE SCHOOL DISTRICT,392,321,480,10481,113,2997,7098,21882
4003000,STAR CITY SCHOOL DISTRICT,48,5,255,122,2,0,944,1376
7009000,STRONG-HUTTIG SCHOOL DISTRICT,1,0,224,7,1,0,61,294
104000,STUTTGART SCHOOL DISTRICT,72,16,700,129,4,0,644,1565
4605000,TEXARKANA SCHOOL DISTRICT,190,16,2122,201,6,3,1342,3880
6058700,THE EXCEL CENTER,0,0,101,7,0,0,19,127
5605000,TRUMANN SCHOOL DISTRICT,69,7,180,101,1,0,1110,1468
7510000,TWO RIVERS SCHOOL DISTRICT,22,3,8,103,4,0,625,765
505000,VALLEY SPRINGS SCHOOL DISTRICT,7,5,4,13,2,0,800,831
1612000,VALLEY VIEW SCHOOL DISTRICT,71,108,105,129,6,2,2452,2873
1705000,VAN BUREN SCHOOL DISTRICT,380,132,155,1021,76,8,3634,5406
2307000,VILONIA SCHOOL DISTRICT,2,6,55,135,16,4,2745,2963
2503000,VIOLA SCHOOL DISTRICT,4,0,1,3,1,0,374,383
6401000,WALDRON SCHOOL DISTRICT,45,40,8,212,36,4,1054,1399
602000,WARREN SCHOOL DISTRICT,41,0,519,386,6,1,576,1529
3509000,WATSON CHAPEL SCHOOL DISTRICT,19,27,1823,37,1,0,241,2148
7208000,WEST FORK SCHOOL DISTRICT,44,10,5,44,17,0,787,907
1803000,WEST MEMPHIS SCHOOL DISTRICT,63,13,3843,91,1,0,1049,5060
1204000,WEST SIDE SCHOOL DIST(CLEBURNE),3,0,1,11,0,0,427,442
7509000,WESTERN YELL CO. SCHOOL DIST.,14,13,4,66,3,0,251,351
1602000,WESTSIDE CONS. SCH DIST(CRAIGH,29,0,29,60,1,0,1624,1743
3606000,WESTSIDE SCHOOL DIST(JOHNSON),3,13,0,27,2,0,537,582
7304000,WHITE CO. CENTRAL SCHOOL DIST.,19,1,2,75,1,0,696,794
3510000,WHITE HALL SCHOOL DISTRICT,78,98,686,84,5,12,1943,2906
1505000,WONDERVIEW SCHOOL DISTRICT,11,2,6,5,1,0,405,430
1304000,WOODLAWN SCHOOL DISTRICT,15,0,8,25,2,0,497,547
1905000,WYNNE SCHOOL DISTRICT,35,29,784,74,4,0,1642,2568
4502000,YELLVILLE-SUMMIT SCHOOL DISTRICT.,17,2,6,8,11,0,832,876
