"","Date","Name","Cumulative_Total","Active_Cases","Cumulative_Student_Cases","Cumulative_Faculty_Staff_Cases","Type"
"268",2021-09-27,"ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",53,5,NA,NA,"PUBLIC SCHOOL DISTRICT"
"449",2021-09-23,"ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",52,6,NA,NA,"PUBLIC SCHOOL DISTRICT"
"651",2021-09-20,"ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",50,6,NA,NA,"PUBLIC SCHOOL DISTRICT"
"863",2021-09-16,"ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",49,7,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1543",2021-09-06,"ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",38,6,27,0,"PUBLIC SCHOOL DISTRICT"
"1783",2021-09-02,"ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",37,7,25,0,"PUBLIC SCHOOL DISTRICT"
"2018",2021-08-30,"ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",36,6,25,0,"PUBLIC SCHOOL DISTRICT"
"2234",2021-08-26,"ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",33,6,22,0,"PUBLIC SCHOOL DISTRICT"
"2393",2021-08-23,"ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",30,6,19,0,"PUBLIC SCHOOL DISTRICT"
"2492",2021-08-19,"ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",28,12,18,0,"PUBLIC SCHOOL DISTRICT"
"2605",2021-08-16,"ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",27,21,16,0,"PUBLIC SCHOOL DISTRICT"
"57",2021-10-04,"ALMA SCHOOL DIST",123,10,88,13,"PUBLIC SCHOOL DISTRICT"
"5110",2021-09-30,"ALMA SCHOOL DIST",120,12,86,13,"PUBLIC SCHOOL DISTRICT"
"224",2021-09-27,"ALMA SCHOOL DIST",114,9,82,12,"PUBLIC SCHOOL DISTRICT"
"386",2021-09-23,"ALMA SCHOOL DIST",111,14,81,11,"PUBLIC SCHOOL DISTRICT"
"559",2021-09-20,"ALMA SCHOOL DIST",105,18,77,9,"PUBLIC SCHOOL DISTRICT"
"746",2021-09-16,"ALMA SCHOOL DIST",101,32,74,8,"PUBLIC SCHOOL DISTRICT"
"958",2021-09-13,"ALMA SCHOOL DIST",93,39,69,7,"PUBLIC SCHOOL DISTRICT"
"1172",2021-09-09,"ALMA SCHOOL DIST",73,34,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1405",2021-09-06,"ALMA SCHOOL DIST",56,32,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1661",2021-09-02,"ALMA SCHOOL DIST",46,29,33,0,"PUBLIC SCHOOL DISTRICT"
"1905",2021-08-30,"ALMA SCHOOL DIST",32,23,22,0,"PUBLIC SCHOOL DISTRICT"
"2114",2021-08-26,"ALMA SCHOOL DIST",30,24,21,0,"PUBLIC SCHOOL DISTRICT"
"2345",2021-08-23,"ALMA SCHOOL DIST",12,11,8,0,"PUBLIC SCHOOL DISTRICT"
"2510",2021-08-19,"ALMA SCHOOL DIST",10,9,6,0,"PUBLIC SCHOOL DISTRICT"
"864",2021-09-16,"ALPENA SCHOOL DIST",19,7,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1073",2021-09-13,"ALPENA SCHOOL DIST",17,8,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1316",2021-09-09,"ALPENA SCHOOL DIST",13,5,NA,NA,"PUBLIC SCHOOL DISTRICT"
"39",2021-10-04,"ARKADELPHIA SCHOOL DIST",60,12,NA,NA,"PUBLIC SCHOOL DISTRICT"
"4710",2021-09-30,"ARKADELPHIA SCHOOL DIST",57,14,NA,NA,"PUBLIC SCHOOL DISTRICT"
"219",2021-09-27,"ARKADELPHIA SCHOOL DIST",52,10,NA,NA,"PUBLIC SCHOOL DISTRICT"
"394",2021-09-23,"ARKADELPHIA SCHOOL DIST",47,12,41,0,"PUBLIC SCHOOL DISTRICT"
"615",2021-09-20,"ARKADELPHIA SCHOOL DIST",44,9,38,0,"PUBLIC SCHOOL DISTRICT"
"852",2021-09-16,"ARKADELPHIA SCHOOL DIST",41,8,35,0,"PUBLIC SCHOOL DISTRICT"
"1028",2021-09-13,"ARKADELPHIA SCHOOL DIST",37,13,30,0,"PUBLIC SCHOOL DISTRICT"
"1225",2021-09-09,"ARKADELPHIA SCHOOL DIST",32,16,27,0,"PUBLIC SCHOOL DISTRICT"
"1458",2021-09-06,"ARKADELPHIA SCHOOL DIST",25,16,23,0,"PUBLIC SCHOOL DISTRICT"
"1731",2021-09-02,"ARKADELPHIA SCHOOL DIST",22,13,20,0,"PUBLIC SCHOOL DISTRICT"
"2005",2021-08-30,"ARKADELPHIA SCHOOL DIST",13,7,12,0,"PUBLIC SCHOOL DISTRICT"
"2250",2021-08-26,"ARKADELPHIA SCHOOL DIST",9,5,8,0,"PUBLIC SCHOOL DISTRICT"
"10710",2021-09-30,"ARKANSAS ARTS ACADEMY",33,5,NA,NA,"PUBLIC SCHOOL DISTRICT"
"269",2021-09-27,"ARKANSAS ARTS ACADEMY",32,5,NA,NA,"PUBLIC SCHOOL DISTRICT"
"450",2021-09-23,"ARKANSAS ARTS ACADEMY",31,6,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1277",2021-09-09,"ARKANSAS ARTS ACADEMY",24,8,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1505",2021-09-06,"ARKANSAS ARTS ACADEMY",23,10,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1775",2021-09-02,"ARKANSAS ARTS ACADEMY",20,8,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2031",2021-08-30,"ARKANSAS ARTS ACADEMY",15,5,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2218",2021-08-26,"ARKANSAS ARTS ACADEMY",15,7,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2406",2021-08-23,"ARKANSAS ARTS ACADEMY",11,5,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2407",2021-08-23,"ARKANSAS CONNECTIONS ACADEMY",7,5,7,0,"PUBLIC SCHOOL DISTRICT"
"711",2021-09-20,"ARKANSAS NORTHEASTERN COLLEGE, BLYTHEVILLE",20,7,NA,NA,"COLLEGE/UNIVERSITY"
"1600",2021-09-06,"ARKANSAS NORTHEASTERN COLLEGE, BLYTHEVILLE",10,6,NA,NA,"COLLEGE/UNIVERSITY"
"122",2021-10-04,"ARKANSAS STATE UNIVERSITY, JONESBORO",73,5,53,19,"COLLEGE/UNIVERSITY"
"13510",2021-09-30,"ARKANSAS STATE UNIVERSITY, JONESBORO",72,13,53,18,"COLLEGE/UNIVERSITY"
"305",2021-09-27,"ARKANSAS STATE UNIVERSITY, JONESBORO",71,16,52,18,"COLLEGE/UNIVERSITY"
"500",2021-09-23,"ARKANSAS STATE UNIVERSITY, JONESBORO",61,12,46,14,"COLLEGE/UNIVERSITY"
"699",2021-09-20,"ARKANSAS STATE UNIVERSITY, JONESBORO",57,16,43,13,"COLLEGE/UNIVERSITY"
"915",2021-09-16,"ARKANSAS STATE UNIVERSITY, JONESBORO",51,17,39,11,"COLLEGE/UNIVERSITY"
"1126",2021-09-13,"ARKANSAS STATE UNIVERSITY, JONESBORO",48,18,37,11,"COLLEGE/UNIVERSITY"
"1345",2021-09-09,"ARKANSAS STATE UNIVERSITY, JONESBORO",36,10,30,6,"COLLEGE/UNIVERSITY"
"1589",2021-09-06,"ARKANSAS STATE UNIVERSITY, JONESBORO",32,11,27,5,"COLLEGE/UNIVERSITY"
"1836",2021-09-02,"ARKANSAS STATE UNIVERSITY, JONESBORO",28,10,23,5,"COLLEGE/UNIVERSITY"
"2065",2021-08-30,"ARKANSAS STATE UNIVERSITY, JONESBORO",26,10,21,5,"COLLEGE/UNIVERSITY"
"2285",2021-08-26,"ARKANSAS STATE UNIVERSITY, JONESBORO",20,5,15,5,"COLLEGE/UNIVERSITY"
"2682",2021-08-16,"ARKANSAS STATE UNIVERSITY, JONESBORO",11,5,NA,NA,"COLLEGE/UNIVERSITY"
"117",2021-10-04,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",123,15,65,14,"COLLEGE/UNIVERSITY"
"13410",2021-09-30,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",119,19,62,14,"COLLEGE/UNIVERSITY"
"304",2021-09-27,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",110,17,60,11,"COLLEGE/UNIVERSITY"
"496",2021-09-23,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",103,22,57,9,"COLLEGE/UNIVERSITY"
"698",2021-09-20,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",96,21,54,9,"COLLEGE/UNIVERSITY"
"912",2021-09-16,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",92,30,50,9,"COLLEGE/UNIVERSITY"
"1121",2021-09-13,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",79,27,47,8,"COLLEGE/UNIVERSITY"
"1341",2021-09-09,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",65,19,39,5,"COLLEGE/UNIVERSITY"
"1584",2021-09-06,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",57,21,35,5,"COLLEGE/UNIVERSITY"
"1832",2021-09-02,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",48,13,28,5,"COLLEGE/UNIVERSITY"
"2064",2021-08-30,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",39,11,NA,NA,"COLLEGE/UNIVERSITY"
"2272",2021-08-26,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",35,16,NA,NA,"COLLEGE/UNIVERSITY"
"2438",2021-08-23,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",34,17,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2575",2021-08-19,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",25,12,NA,NA,"COLLEGE/UNIVERSITY"
"2676",2021-08-16,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",16,8,NA,NA,"COLLEGE/UNIVERSITY"
"10810",2021-09-30,"ARMOREL SCHOOL DIST",30,5,NA,NA,"PUBLIC SCHOOL DISTRICT"
"247",2021-09-27,"ARMOREL SCHOOL DIST",30,7,NA,NA,"PUBLIC SCHOOL DISTRICT"
"433",2021-09-23,"ARMOREL SCHOOL DIST",27,8,NA,NA,"PUBLIC SCHOOL DISTRICT"
"639",2021-09-20,"ARMOREL SCHOOL DIST",23,7,NA,NA,"PUBLIC SCHOOL DISTRICT"
"865",2021-09-16,"ARMOREL SCHOOL DIST",20,7,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2032",2021-08-30,"ARMOREL SCHOOL DIST",10,5,9,0,"PUBLIC SCHOOL DISTRICT"
"2235",2021-08-26,"ARMOREL SCHOOL DIST",8,6,8,0,"PUBLIC SCHOOL DISTRICT"
"90",2021-10-04,"ASHDOWN SCHOOL DIST",105,6,65,10,"PUBLIC SCHOOL DISTRICT"
"10910",2021-09-30,"ASHDOWN SCHOOL DIST",103,5,65,10,"PUBLIC SCHOOL DISTRICT"
"270",2021-09-27,"ASHDOWN SCHOOL DIST",99,5,64,7,"PUBLIC SCHOOL DISTRICT"
"437",2021-09-23,"ASHDOWN SCHOOL DIST",99,7,64,7,"PUBLIC SCHOOL DISTRICT"
"607",2021-09-20,"ASHDOWN SCHOOL DIST",96,10,63,7,"PUBLIC SCHOOL DISTRICT"
"795",2021-09-16,"ASHDOWN SCHOOL DIST",94,15,60,7,"PUBLIC SCHOOL DISTRICT"
"993",2021-09-13,"ASHDOWN SCHOOL DIST",91,19,58,6,"PUBLIC SCHOOL DISTRICT"
"1207",2021-09-09,"ASHDOWN SCHOOL DIST",81,19,50,6,"PUBLIC SCHOOL DISTRICT"
"1406",2021-09-06,"ASHDOWN SCHOOL DIST",71,32,43,5,"PUBLIC SCHOOL DISTRICT"
"1646",2021-09-02,"ASHDOWN SCHOOL DIST",67,35,37,5,"PUBLIC SCHOOL DISTRICT"
"1917",2021-08-30,"ASHDOWN SCHOOL DIST",41,19,25,5,"PUBLIC SCHOOL DISTRICT"
"2130",2021-08-26,"ASHDOWN SCHOOL DIST",37,19,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2346",2021-08-23,"ASHDOWN SCHOOL DIST",23,11,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2505",2021-08-19,"ASHDOWN SCHOOL DIST",20,10,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2621",2021-08-16,"ASHDOWN SCHOOL DIST",15,11,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1603",2021-09-06,"ASU - MOUNTAIN HOME",7,5,NA,NA,"COLLEGE/UNIVERSITY"
"123",2021-10-04,"ASU - NEWPORT",27,5,NA,NA,"COLLEGE/UNIVERSITY"
"14010",2021-09-30,"ASU - NEWPORT",27,7,NA,NA,"COLLEGE/UNIVERSITY"
"317",2021-09-27,"ASU - NEWPORT",24,5,NA,NA,"COLLEGE/UNIVERSITY"
"713",2021-09-20,"ASU - NEWPORT",18,7,NA,NA,"COLLEGE/UNIVERSITY"
"1604",2021-09-06,"ASU - NEWPORT",10,5,NA,NA,"COLLEGE/UNIVERSITY"
"1846",2021-09-02,"ASU - NEWPORT",8,5,NA,NA,"COLLEGE/UNIVERSITY"
"315",2021-09-27,"ASU - NEWPORT, JONESBORO",35,6,NA,NA,"COLLEGE/UNIVERSITY"
"508",2021-09-23,"ASU - NEWPORT, JONESBORO",34,7,NA,NA,"COLLEGE/UNIVERSITY"
"712",2021-09-20,"ASU - NEWPORT, JONESBORO",32,7,NA,NA,"COLLEGE/UNIVERSITY"
"924",2021-09-16,"ASU - NEWPORT, JONESBORO",29,7,NA,NA,"COLLEGE/UNIVERSITY"
"1132",2021-09-13,"ASU - NEWPORT, JONESBORO",27,9,NA,NA,"COLLEGE/UNIVERSITY"
"1349",2021-09-09,"ASU - NEWPORT, JONESBORO",23,7,NA,NA,"COLLEGE/UNIVERSITY"
"1593",2021-09-06,"ASU - NEWPORT, JONESBORO",21,8,NA,NA,"COLLEGE/UNIVERSITY"
"2071",2021-08-30,"ASU - NEWPORT, JONESBORO",13,6,NA,NA,"COLLEGE/UNIVERSITY"
"2280",2021-08-26,"ASU - NEWPORT, JONESBORO",12,7,NA,NA,"COLLEGE/UNIVERSITY"
"2286",2021-08-26,"ASU MID-SOUTH, WEST MEMPHIS",7,5,NA,NA,"COLLEGE/UNIVERSITY"
"318",2021-09-27,"ASU THREE RIVERS, MALVERN",24,5,10,5,"COLLEGE/UNIVERSITY"
"1601",2021-09-06,"ASU THREE RIVERS, MALVERN",14,6,NA,NA,"COLLEGE/UNIVERSITY"
"1840",2021-09-02,"ASU THREE RIVERS, MALVERN",12,8,NA,NA,"COLLEGE/UNIVERSITY"
"2066",2021-08-30,"ASU THREE RIVERS, MALVERN",12,9,NA,NA,"COLLEGE/UNIVERSITY"
"2278",2021-08-26,"ASU THREE RIVERS, MALVERN",10,8,NA,NA,"COLLEGE/UNIVERSITY"
"929",2021-09-16,"ASU, MOUNTAIN HOME",12,5,NA,NA,"COLLEGE/UNIVERSITY"
"926",2021-09-16,"ASU, NEWPORT",17,6,NA,NA,"COLLEGE/UNIVERSITY"
"451",2021-09-23,"ATKINS SCHOOL DIST",58,6,40,8,"PUBLIC SCHOOL DISTRICT"
"652",2021-09-20,"ATKINS SCHOOL DIST",55,6,37,8,"PUBLIC SCHOOL DISTRICT"
"866",2021-09-16,"ATKINS SCHOOL DIST",53,7,34,8,"PUBLIC SCHOOL DISTRICT"
"1029",2021-09-13,"ATKINS SCHOOL DIST",50,13,32,8,"PUBLIC SCHOOL DISTRICT"
"1211",2021-09-09,"ATKINS SCHOOL DIST",47,18,30,8,"PUBLIC SCHOOL DISTRICT"
"1450",2021-09-06,"ATKINS SCHOOL DIST",40,18,26,7,"PUBLIC SCHOOL DISTRICT"
"1687",2021-09-02,"ATKINS SCHOOL DIST",35,21,23,6,"PUBLIC SCHOOL DISTRICT"
"1942",2021-08-30,"ATKINS SCHOOL DIST",26,15,17,6,"PUBLIC SCHOOL DISTRICT"
"2195",2021-08-26,"ATKINS SCHOOL DIST",17,9,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2394",2021-08-23,"ATKINS SCHOOL DIST",11,6,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2532",2021-08-19,"ATKINS SCHOOL DIST",7,6,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2645",2021-08-16,"ATKINS SCHOOL DIST",7,7,NA,NA,"PUBLIC SCHOOL DISTRICT"
"254",2021-09-27,"AUGUSTA SCHOOL DIST",28,6,NA,NA,"PUBLIC SCHOOL DISTRICT"
"452",2021-09-23,"AUGUSTA SCHOOL DIST",28,6,NA,NA,"PUBLIC SCHOOL DISTRICT"
"653",2021-09-20,"AUGUSTA SCHOOL DIST",28,6,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1278",2021-09-09,"AUGUSTA SCHOOL DIST",22,8,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1487",2021-09-06,"AUGUSTA SCHOOL DIST",22,12,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1732",2021-09-02,"AUGUSTA SCHOOL DIST",19,13,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1997",2021-08-30,"AUGUSTA SCHOOL DIST",11,8,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2219",2021-08-26,"AUGUSTA SCHOOL DIST",11,7,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1555",2021-09-06,"BALD KNOB SCHOOL DIST",25,5,22,0,"PUBLIC SCHOOL DISTRICT"
"1740",2021-09-02,"BALD KNOB SCHOOL DIST",24,11,21,0,"PUBLIC SCHOOL DISTRICT"
"1923",2021-08-30,"BALD KNOB SCHOOL DIST",24,18,21,0,"PUBLIC SCHOOL DISTRICT"
"2169",2021-08-26,"BALD KNOB SCHOOL DIST",17,11,15,0,"PUBLIC SCHOOL DISTRICT"
"9510",2021-09-30,"BARTON",95,6,73,5,"PUBLIC SCHOOL DISTRICT"
"271",2021-09-27,"BARTON",93,5,72,5,"PUBLIC SCHOOL DISTRICT"
"403",2021-09-23,"BARTON",92,11,70,5,"PUBLIC SCHOOL DISTRICT"
"560",2021-09-20,"BARTON",89,18,70,5,"PUBLIC SCHOOL DISTRICT"
"762",2021-09-16,"BARTON",87,23,69,5,"PUBLIC SCHOOL DISTRICT"
"975",2021-09-13,"BARTON",78,26,60,5,"PUBLIC SCHOOL DISTRICT"
"1169",2021-09-09,"BARTON",68,41,53,5,"PUBLIC SCHOOL DISTRICT"
"1390",2021-09-06,"BARTON",60,40,46,5,"PUBLIC SCHOOL DISTRICT"
"1642",2021-09-02,"BARTON",49,37,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1936",2021-08-30,"BARTON",25,16,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2196",2021-08-26,"BARTON",16,9,NA,NA,"PUBLIC SCHOOL DISTRICT"
"21",2021-10-04,"BATESVILLE SCHOOL DIST",126,19,106,14,"PUBLIC SCHOOL DISTRICT"
"20100",2021-09-30,"BATESVILLE SCHOOL DIST",121,22,100,14,"PUBLIC SCHOOL DISTRICT"
"180",2021-09-27,"BATESVILLE SCHOOL DIST",110,21,90,14,"PUBLIC SCHOOL DISTRICT"
"359",2021-09-23,"BATESVILLE SCHOOL DIST",107,22,87,14,"PUBLIC SCHOOL DISTRICT"
"570",2021-09-20,"BATESVILLE SCHOOL DIST",95,16,77,12,"PUBLIC SCHOOL DISTRICT"
"813",2021-09-16,"BATESVILLE SCHOOL DIST",89,13,71,11,"PUBLIC SCHOOL DISTRICT"
"1044",2021-09-13,"BATESVILLE SCHOOL DIST",81,11,64,11,"PUBLIC SCHOOL DISTRICT"
"1230",2021-09-09,"BATESVILLE SCHOOL DIST",75,15,59,11,"PUBLIC SCHOOL DISTRICT"
"1446",2021-09-06,"BATESVILLE SCHOOL DIST",72,19,57,10,"PUBLIC SCHOOL DISTRICT"
"1654",2021-09-02,"BATESVILLE SCHOOL DIST",69,33,54,9,"PUBLIC SCHOOL DISTRICT"
"1885",2021-08-30,"BATESVILLE SCHOOL DIST",59,32,47,8,"PUBLIC SCHOOL DISTRICT"
"2104",2021-08-26,"BATESVILLE SCHOOL DIST",54,31,44,7,"PUBLIC SCHOOL DISTRICT"
"2324",2021-08-23,"BATESVILLE SCHOOL DIST",29,16,22,5,"PUBLIC SCHOOL DISTRICT"
"2493",2021-08-19,"BATESVILLE SCHOOL DIST",22,12,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2646",2021-08-16,"BATESVILLE SCHOOL DIST",14,7,NA,NA,"PUBLIC SCHOOL DISTRICT"
"6910",2021-09-30,"BAUXITE SCHOOL DIST",53,9,35,8,"PUBLIC SCHOOL DISTRICT"
"225",2021-09-27,"BAUXITE SCHOOL DIST",50,9,34,7,"PUBLIC SCHOOL DISTRICT"
"423",2021-09-23,"BAUXITE SCHOOL DIST",48,9,33,7,"PUBLIC SCHOOL DISTRICT"
"629",2021-09-20,"BAUXITE SCHOOL DIST",44,8,31,6,"PUBLIC SCHOOL DISTRICT"
"875",2021-09-16,"BAUXITE SCHOOL DIST",41,6,29,6,"PUBLIC SCHOOL DISTRICT"
"1063",2021-09-13,"BAUXITE SCHOOL DIST",37,9,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1290",2021-09-09,"BAUXITE SCHOOL DIST",24,7,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1506",2021-09-06,"BAUXITE SCHOOL DIST",24,10,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1741",2021-09-02,"BAUXITE SCHOOL DIST",21,11,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1983",2021-08-30,"BAUXITE SCHOOL DIST",18,9,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2533",2021-08-19,"BAUXITE SCHOOL DIST",9,6,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2647",2021-08-16,"BAUXITE SCHOOL DIST",10,7,NA,NA,"PUBLIC SCHOOL DISTRICT"
"876",2021-09-16,"BAY SCHOOL DIST",26,6,17,5,"PUBLIC SCHOOL DISTRICT"
"1052",2021-09-13,"BAY SCHOOL DIST",26,10,17,5,"PUBLIC SCHOOL DISTRICT"
"1232",2021-09-09,"BAY SCHOOL DIST",24,14,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1480",2021-09-06,"BAY SCHOOL DIST",19,13,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1742",2021-09-02,"BAY SCHOOL DIST",16,11,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2019",2021-08-30,"BAY SCHOOL DIST",7,6,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2251",2021-08-26,"BAY SCHOOL DIST",6,5,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1317",2021-09-09,"BEARDEN SCHOOL DIST",8,5,6,0,"PUBLIC SCHOOL DISTRICT"
"1556",2021-09-06,"BEARDEN SCHOOL DIST",7,5,6,0,"PUBLIC SCHOOL DISTRICT"
"29",2021-10-04,"BEEBE SCHOOL DIST",86,14,72,6,"PUBLIC SCHOOL DISTRICT"
"36",2021-09-30,"BEEBE SCHOOL DIST",86,16,72,6,"PUBLIC SCHOOL DISTRICT"
"226",2021-09-27,"BEEBE SCHOOL DIST",77,9,64,5,"PUBLIC SCHOOL DISTRICT"
"424",2021-09-23,"BEEBE SCHOOL DIST",74,9,61,5,"PUBLIC SCHOOL DISTRICT"
"590",2021-09-20,"BEEBE SCHOOL DIST",69,12,57,5,"PUBLIC SCHOOL DISTRICT"
"791",2021-09-16,"BEEBE SCHOOL DIST",66,16,54,5,"PUBLIC SCHOOL DISTRICT"
"1006",2021-09-13,"BEEBE SCHOOL DIST",61,17,49,5,"PUBLIC SCHOOL DISTRICT"
"1212",2021-09-09,"BEEBE SCHOOL DIST",54,18,42,5,"PUBLIC SCHOOL DISTRICT"
"1428",2021-09-06,"BEEBE SCHOOL DIST",47,23,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1688",2021-09-02,"BEEBE SCHOOL DIST",42,21,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1924",2021-08-30,"BEEBE SCHOOL DIST",35,18,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2145",2021-08-26,"BEEBE SCHOOL DIST",28,15,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2347",2021-08-23,"BEEBE SCHOOL DIST",18,11,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2534",2021-08-19,"BEEBE SCHOOL DIST",12,6,NA,NA,"PUBLIC SCHOOL DISTRICT"
"15",2021-10-04,"BENTON SCHOOL DIST",288,24,208,24,"PUBLIC SCHOOL DISTRICT"
"12100",2021-09-30,"BENTON SCHOOL DIST",283,34,203,24,"PUBLIC SCHOOL DISTRICT"
"168",2021-09-27,"BENTON SCHOOL DIST",270,36,193,21,"PUBLIC SCHOOL DISTRICT"
"340",2021-09-23,"BENTON SCHOOL DIST",263,52,187,21,"PUBLIC SCHOOL DISTRICT"
"526",2021-09-20,"BENTON SCHOOL DIST",244,61,170,21,"PUBLIC SCHOOL DISTRICT"
"736",2021-09-16,"BENTON SCHOOL DIST",209,55,143,18,"PUBLIC SCHOOL DISTRICT"
"956",2021-09-13,"BENTON SCHOOL DIST",166,43,112,14,"PUBLIC SCHOOL DISTRICT"
"1163",2021-09-09,"BENTON SCHOOL DIST",141,47,92,13,"PUBLIC SCHOOL DISTRICT"
"1380",2021-09-06,"BENTON SCHOOL DIST",115,51,79,12,"PUBLIC SCHOOL DISTRICT"
"1647",2021-09-02,"BENTON SCHOOL DIST",87,35,61,7,"PUBLIC SCHOOL DISTRICT"
"1892",2021-08-30,"BENTON SCHOOL DIST",70,27,49,7,"PUBLIC SCHOOL DISTRICT"
"2138",2021-08-26,"BENTON SCHOOL DIST",52,17,32,5,"PUBLIC SCHOOL DISTRICT"
"2320",2021-08-23,"BENTON SCHOOL DIST",44,18,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2484",2021-08-19,"BENTON SCHOOL DIST",31,14,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2611",2021-08-16,"BENTON SCHOOL DIST",25,15,NA,NA,"PUBLIC SCHOOL DISTRICT"
"11",2021-10-04,"BENTONVILLE SCHOOL DIST",480,28,356,60,"PUBLIC SCHOOL DISTRICT"
"10100",2021-09-30,"BENTONVILLE SCHOOL DIST",470,35,349,57,"PUBLIC SCHOOL DISTRICT"
"172",2021-09-27,"BENTONVILLE SCHOOL DIST",453,31,336,53,"PUBLIC SCHOOL DISTRICT"
"339",2021-09-23,"BENTONVILLE SCHOOL DIST",445,54,330,53,"PUBLIC SCHOOL DISTRICT"
"529",2021-09-20,"BENTONVILLE SCHOOL DIST",426,50,313,51,"PUBLIC SCHOOL DISTRICT"
"733",2021-09-16,"BENTONVILLE SCHOOL DIST",413,63,301,49,"PUBLIC SCHOOL DISTRICT"
"948",2021-09-13,"BENTONVILLE SCHOOL DIST",389,56,285,47,"PUBLIC SCHOOL DISTRICT"
"1152",2021-09-09,"BENTONVILLE SCHOOL DIST",361,73,260,43,"PUBLIC SCHOOL DISTRICT"
"1371",2021-09-06,"BENTONVILLE SCHOOL DIST",330,87,239,39,"PUBLIC SCHOOL DISTRICT"
"1620",2021-09-02,"BENTONVILLE SCHOOL DIST",316,104,222,36,"PUBLIC SCHOOL DISTRICT"
"1864",2021-08-30,"BENTONVILLE SCHOOL DIST",262,104,183,31,"PUBLIC SCHOOL DISTRICT"
