"","Date","Type","Name","Active_Cases","Cumulative_Active_cases","Cumulative_Faculty_Staff_Cases","Cumulative_Student_Cases","Cumulative_Total","All_Faculty_Staff_Total","All_Student_Total","Cumulative_Group_Total"
"237",2021-09-06,"COLLEGE/UNIVERSITY","NORTHWEST ARKANSAS COMMUNITY COLLEGE, BENTONVILLE",17,NA,5,21,48,NA,NA,NA
"238",2021-09-06,"COLLEGE/UNIVERSITY","ARKANSAS STATE UNIVERSITY, JONESBORO",11,NA,5,27,32,NA,NA,NA
"239",2021-09-06,"COLLEGE/UNIVERSITY","NATIONAL PARK COLLEGE, HOT SPRINGS",11,NA,NA,NA,32,NA,NA,NA
"240",2021-09-06,"COLLEGE/UNIVERSITY","JOHN BROWN UNIVERSITY, SILOAM SPRINGS",10,NA,10,8,26,NA,NA,NA
"241",2021-09-06,"COLLEGE/UNIVERSITY","U OF A AT MONTICELLO, MONTICELLO",10,NA,NA,NA,23,NA,NA,NA
"242",2021-09-06,"COLLEGE/UNIVERSITY","ASU - NEWPORT, JONESBORO",8,NA,NA,NA,21,NA,NA,NA
"243",2021-09-06,"COLLEGE/UNIVERSITY","U OF A PULASKI TECHNICAL COLLEGE, N. LITTLE ROCK",8,NA,NA,NA,28,NA,NA,NA
"245",2021-09-06,"COLLEGE/UNIVERSITY","UACC AT MORRILTON",8,NA,5,6,21,NA,NA,NA
"246",2021-09-06,"COLLEGE/UNIVERSITY","SOUTH ARKANSAS COMMUNITY COLLEGE, EL DORADO",7,NA,NA,NA,17,NA,NA,NA
"247",2021-09-06,"COLLEGE/UNIVERSITY","SOUTHEAST ARKANSAS COLLEGE, PINE BLUFF",7,NA,NA,NA,10,NA,NA,NA
"248",2021-09-06,"COLLEGE/UNIVERSITY","UACC AT HOPE-TEXARKANA, HOPE",7,NA,0,6,15,NA,NA,NA
"249",2021-09-06,"COLLEGE/UNIVERSITY","UNIVERSITY OF THE OZARKS, CLARKSVILLE",7,NA,0,7,10,NA,NA,NA
"250",2021-09-06,"COLLEGE/UNIVERSITY","ARKANSAS NORTHEASTERN COLLEGE, BLYTHEVILLE",6,NA,NA,NA,10,NA,NA,NA
"251",2021-09-06,"COLLEGE/UNIVERSITY","ASU THREE RIVERS, MALVERN",6,NA,NA,NA,14,NA,NA,NA
"252",2021-09-06,"COLLEGE/UNIVERSITY","LYON COLLEGE, BATESVILLE",6,NA,NA,NA,26,NA,NA,NA
"253",2021-09-06,"COLLEGE/UNIVERSITY","ASU - MOUNTAIN HOME",5,NA,NA,NA,7,NA,NA,NA
"254",2021-09-06,"COLLEGE/UNIVERSITY","ASU - NEWPORT",5,NA,NA,NA,10,NA,NA,NA
"255",2021-09-06,"COLLEGE/UNIVERSITY","PHILANDER SMITH COLLEGE, LITTLE ROCK",5,NA,NA,NA,8,NA,NA,NA
"256",2021-09-06,"COLLEGE/UNIVERSITY","UNIVERSITY OF ARKANSAS SYSTEM OFFICE, LITTLE ROCK",5,NA,0,7,7,NA,NA,NA
"257",2021-09-06,"COLLEGE/UNIVERSITY","TOTAL",705,NA,174,651,1411,NA,NA,NA
"258",2021-09-06,"COLLEGE/UNIVERSITY","NUMBER OF SCHOOLS LISTED: 30",NA,NA,NA,NA,NA,NA,NA,NA
"263",2021-09-06,"Totals among schools with less than 5 active cases.","PUBLIC SCHOOL DISTRICTS",NA,164,NA,NA,NA,103,355,536
"264",2021-09-06,"Totals among schools with less than 5 active cases.","PRIVATE SCHOOLS",NA,62,NA,NA,NA,49,143,207
"265",2021-09-06,"Totals among schools with less than 5 active cases.","COLLEGES/UNIVERSITIES",NA,57,NA,NA,NA,29,141,201
"270",2021-09-06,"Totals for all schools.","PUBLIC SCHOOL DISTRICTS",NA,4833,NA,NA,NA,1334,8261,11420
"271",2021-09-06,"Totals for all schools.","PRIVATE SCHOOLS",NA,96,NA,NA,NA,58,197,282
"272",2021-09-06,"Totals for all schools.","COLLEGES/UNIVERSITIES",NA,762,NA,NA,NA,203,792,1612
